hostname,modulename,modulepath
ET932KJK,mcupdate.dll,C:\Windows\system32\mcupdate_Genu
ET932KJK,volmgrx.sys,C:\Windows\System32\drivers\
ET932KJK,dxg.sys,C:\Windows\System32\drivers\
ET932KJK,lltdio.sys,C:\Windows\system32\DRIVERS\
ET932KJK,hwpolicy.sys,C:\Windows\System32\drivers\
ET932KJK,CLASSPNP.SYS,C:\Windows\system32\drivers\
ET932KJK,cng.sys,C:\Windows\System32\Drivers\
ET932KJK,luafv.sys,C:\Windows\system32\drivers\
ET932KJK,spldr.sys,C:\Windows\System32\Drivers\
ET932KJK,asyncmac.sys,C:\Windows\system32\DRIVERS\
ET932KJK,i8042prt.sys,C:\Windows\system32\drivers\
ET932KJK,ndiswan.sys,C:\Windows\system32\DRIVERS\
ET932KJK,disk.sys,C:\Windows\system32\drivers\
ET932KJK,srv.sys,C:\Windows\System32\DRIVERS\
ET932KJK,dump_storport.sys,C:\Windows\System32\Drivers\
ET932KJK,rdprefmp.sys,C:\Windows\system32\drivers\
ET932KJK,CompositeBus.sys,C:\Windows\system32\drivers\
ET932KJK,termdd.sys,C:\Windows\system32\drivers\
ET932KJK,volmgr.sys,C:\Windows\system32\drivers\
ET932KJK,discache.sys,C:\Windows\System32\drivers\
ET932KJK,NDIS.SYS,C:\Windows\system32\DRIVERS\
ET932KJK,srvnet.sys,C:\Windows\System32\DRIVERS\
ET932KJK,intelppm.sys,C:\Windows\system32\DRIVERS\
ET932KJK,storport.sys,C:\Windows\system32\drivers\
ET932KJK,rdpdr.sys,C:\Windows\System32\drivers\
ET932KJK,tdx.sys,C:\Windows\system32\DRIVERS\
ET932KJK,mup.sys,C:\Windows\System32\Drivers\
ET932KJK,tcpipreg.sys,C:\Windows\System32\drivers\
ET932KJK,afd.sys,C:\Windows\system32\drivers\
ET932KJK,mrxsmb.sys,C:\Windows\system32\DRIVERS\
ET932KJK,Ntfs.sys,C:\Windows\System32\Drivers\
ET932KJK,tssecsrv.sys,C:\Windows\System32\DRIVERS\
ET932KJK,kbdclass.sys,C:\Windows\system32\drivers\
ET932KJK,partmgr.sys,C:\Windows\System32\drivers\
ET932KJK,tunnel.sys,C:\Windows\system32\DRIVERS\
ET932KJK,ACPI.sys,C:\Windows\system32\drivers\
ET932KJK,raspptp.sys,C:\Windows\system32\DRIVERS\
ET932KJK,netbt.sys,C:\Windows\System32\DRIVERS\
ET932KJK,rdbss.sys,C:\Windows\system32\DRIVERS\
ET932KJK,wfplwf.sys,C:\Windows\system32\DRIVERS\
