hostname,modulename,modulepath
NE767GNV,TsUsbFlt.sys,C:\Windows\System32\drivers\
NE767GNV,ndistapi.sys,C:\Windows\System32\drivers\
NE767GNV,WUDFPf.sys,C:\Windows\System32\drivers\
NE767GNV,ndiswan.sys,C:\Windows\System32\drivers\
NE767GNV,ksecdd.sys,C:\Windows\System32\drivers\
NE767GNV,scfilter.sys,C:\Windows\System32\drivers\
NE767GNV,vmgencounter.sys,C:\Windows\System32\drivers\
NE767GNV,raspptp.sys,C:\Windows\System32\drivers\
NE767GNV,bfadi.sys,C:\Windows\System32\drivers\
NE767GNV,AGP440.sys,C:\Windows\System32\drivers\
NE767GNV,acpiex.sys,C:\Windows\System32\drivers\
NE767GNV,HpSAMD.sys,C:\Windows\System32\drivers\
NE767GNV,errdev.sys,C:\Windows\System32\drivers\
NE767GNV,GAGP30KX.SYS,C:\Windows\System32\drivers\
NE767GNV,vhdmp.sys,C:\Windows\System32\drivers\
NE767GNV,usbuhci.sys,C:\Windows\System32\drivers\
NE767GNV,ndisuio.sys,C:\Windows\System32\drivers\
NE767GNV,uaspstor.sys,C:\Windows\System32\drivers\
NE767GNV,mrxsmb20.sys,C:\Windows\System32\drivers\
NE767GNV,ql2300i.sys,C:\Windows\System32\drivers\
NE767GNV,partmgr.sys,C:\Windows\System32\drivers\
NE767GNV,afd.sys,C:\Windows\System32\drivers\
NE767GNV,storahci.sys,C:\Windows\System32\drivers\
NE767GNV,acpitime.sys,C:\Windows\System32\drivers\
NE767GNV,ahcache.sys,C:\Windows\System32\drivers\
NE767GNV,isapnp.sys,C:\Windows\System32\drivers\
NE767GNV,USBHUB3.SYS,C:\Windows\System32\drivers\
NE767GNV,rdpbus.sys,C:\Windows\System32\drivers\
NE767GNV,MsLbfoProvider.sys,C:\Windows\System32\drivers\
NE767GNV,hwpolicy.sys,C:\Windows\System32\drivers\
NE767GNV,msgpioclx.sys,C:\Windows\System32\drivers\
NE767GNV,IPMIDrv.sys,C:\Windows\System32\drivers\
NE767GNV,hidusb.sys,C:\Windows\System32\drivers\
NE767GNV,wanarp.sys,C:\Windows\System32\drivers\
NE767GNV,BasicDisplay.sys,C:\Windows\System32\drivers\
NE767GNV,vmbusr.sys,C:\Windows\System32\drivers\
NE767GNV,pciide.sys,C:\Windows\System32\drivers\
NE767GNV,pdc.sys,C:\Windows\System32\drivers\
NE767GNV,lsass.exe,C:\Windows\System32\
NE767GNV,fxppm.sys,C:\Windows\System32\drivers\
NE767GNV,rasl2tp.sys,C:\Windows\System32\drivers\
NE767GNV,mrxsmb10.sys,C:\Windows\System32\drivers\
NE767GNV,cdfs.sys,C:\Windows\System32\drivers\
NE767GNV,mouclass.sys,C:\Windows\System32\drivers\
NE767GNV,vdrvroot.sys,C:\Windows\System32\drivers\
NE767GNV,rdbss.sys,C:\Windows\System32\drivers\
NE767GNV,ndfltr.sys,C:\Windows\System32\drivers\
NE767GNV,amdsbs.sys,C:\Windows\System32\drivers\
NE767GNV,mrxsmb.sys,C:\Windows\System32\drivers\
NE767GNV,sisraid2.sys,C:\Windows\System32\drivers\
NE767GNV,swenum.sys,C:\Windows\System32\drivers\
NE767GNV,dmvsc.sys,C:\Windows\System32\drivers\
NE767GNV,ql40xx2i.sys,C:\Windows\System32\drivers\
NE767GNV,1394ohci.sys,C:\Windows\System32\drivers\
NE767GNV,filetrace.sys,C:\Windows\System32\drivers\
NE767GNV,ULIAGPKX.SYS,C:\Windows\System32\drivers\
NE767GNV,vpci.sys,C:\Windows\System32\drivers\
NE767GNV,http.sys,C:\Windows\System32\drivers\
NE767GNV,winverbs.sys,C:\Windows\System32\drivers\
NE767GNV,atapi.sys,C:\Windows\System32\drivers\
NE767GNV,svchost.exe,C:\Windows\System32\
NE767GNV,nvraid.sys,C:\Windows\System32\drivers\
NE767GNV,ws2ifsl.sys,C:\Windows\System32\drivers\
NE767GNV,bridge.sys,C:\Windows\System32\drivers\
NE767GNV,SerCx2.sys,C:\Windows\System32\drivers\
NE767GNV,terminpt.sys,C:\Windows\System32\drivers\
NE767GNV,amdk8.sys,C:\Windows\System32\drivers\
NE767GNV,evbda.sys,C:\Windows\System32\drivers\
NE767GNV,MTConfig.sys,C:\Windows\System32\drivers\
NE767GNV,condrv.sys,C:\Windows\System32\drivers\
NE767GNV,TsUsbGD.sys,C:\Windows\System32\drivers\
NE767GNV,tcpip.sys,C:\Windows\System32\drivers\
NE767GNV,hdaudbus.sys,C:\Windows\System32\drivers\
NE767GNV,bfadfcoei.sys,C:\Windows\System32\drivers\
NE767GNV,tsusbhub.sys,C:\Windows\System32\drivers\
NE767GNV,acpipmi.sys,C:\Windows\System32\drivers\
NE767GNV,arcsas.sys,C:\Windows\System32\drivers\
NE767GNV,sfloppy.sys,C:\Windows\System32\drivers\
NE767GNV,hyperkbd.sys,C:\Windows\System32\drivers\
NE767GNV,mountmgr.sys,C:\Windows\System32\drivers\
NE767GNV,mssmbios.sys,C:\Windows\System32\drivers\
NE767GNV,viaide.sys,C:\Windows\System32\drivers\
NE767GNV,adp80xx.sys,C:\Windows\System32\drivers\
NE767GNV,serenum.sys,C:\Windows\System32\drivers\
NE767GNV,rasacd.sys,C:\Windows\System32\drivers\
NE767GNV,qlfcoei.sys,C:\Windows\System32\drivers\
NE767GNV,ndiscap.sys,C:\Windows\System32\drivers\
NE767GNV,usbohci.sys,C:\Windows\System32\drivers\
NE767GNV,fileinfo.sys,C:\Windows\System32\drivers\
NE767GNV,disk.sys,C:\Windows\System32\drivers\
NE767GNV,vmstorfl.sys,C:\Windows\System32\drivers\
NE767GNV,netbios.sys,C:\Windows\System32\drivers\
NE767GNV,elxstor.sys,C:\Windows\System32\drivers\
NE767GNV,bxois.sys,C:\Windows\System32\drivers\
NE767GNV,mpsdrv.sys,C:\Windows\System32\drivers\
NE767GNV,i8042prt.sys,C:\Windows\System32\drivers\
NE767GNV,wtlmdrv.sys,C:\Windows\System32\drivers\
NE767GNV,amdsata.sys,C:\Windows\System32\drivers\
NE767GNV,pacer.sys,C:\Windows\System32\drivers\
NE767GNV,sermouse.sys,C:\Windows\System32\drivers\
NE767GNV,NdisVirtualBus.sys,C:\Windows\System32\drivers\
NE767GNV,FsDepends.sys,C:\Windows\System32\drivers\
NE767GNV,luafv.sys,C:\Windows\System32\drivers\
NE767GNV,winnat.sys,C:\Windows\System32\drivers\
NE767GNV,elxfcoe.sys,C:\Windows\System32\drivers\
NE767GNV,mouhid.sys,C:\Windows\System32\drivers\
NE767GNV,ibbus.sys,C:\Windows\System32\drivers\
NE767GNV,stexstor.sys,C:\Windows\System32\drivers\
NE767GNV,CompositeBus.sys,C:\Windows\System32\drivers\
NE767GNV,kbdclass.sys,C:\Windows\System32\drivers\
NE767GNV,sisraid4.sys,C:\Windows\System32\drivers\
NE767GNV,umbus.sys,C:\Windows\System32\drivers\
NE767GNV,PEAuth.sys,C:\Windows\System32\drivers\
NE767GNV,nsiproxy.sys,C:\Windows\System32\drivers\
NE767GNV,intelppm.sys,C:\Windows\System32\drivers\
NE767GNV,CmBatt.sys,C:\Windows\System32\drivers\
NE767GNV,SpbCx.sys,C:\Windows\System32\drivers\
NE767GNV,volsnap.sys,C:\Windows\System32\drivers\
NE767GNV,mshidkmdf.sys,C:\Windows\System32\drivers\
NE767GNV,msisadrv.sys,C:\Windows\System32\drivers\
NE767GNV,lltdio.sys,C:\Windows\System32\drivers\
NE767GNV,udfs.sys,C:\Windows\System32\drivers\
NE767GNV,uefi.sys,C:\Windows\System32\drivers\
NE767GNV,tpm.sys,C:\Windows\System32\drivers\
NE767GNV,acpipagr.sys,C:\Windows\System32\drivers\
NE767GNV,clfs.sys,C:\Windows\System32\drivers\
NE767GNV,srv2.sys,C:\Windows\System32\drivers\
NE767GNV,vms3cap.sys,C:\Windows\System32\drivers\
NE767GNV,wimmount.sys,C:\Windows\System32\drivers\
NE767GNV,bxvbda.sys,C:\Windows\System32\drivers\
NE767GNV,wacompen.sys,C:\Windows\System32\drivers\
NE767GNV,volmgr.sys,C:\Windows\System32\drivers\
NE767GNV,bxfcoe.sys,C:\Windows\System32\drivers\
NE767GNV,tdx.sys,C:\Windows\System32\drivers\
NE767GNV,spaceport.sys,C:\Windows\System32\drivers\
NE767GNV,sdstor.sys,C:\Windows\System32\drivers\
NE767GNV,monitor.sys,C:\Windows\System32\drivers\
NE767GNV,asyncmac.sys,C:\Windows\System32\drivers\
NE767GNV,dfsc.sys,C:\Windows\System32\drivers\
NE767GNV,bowser.sys,C:\Windows\System32\drivers\
NE767GNV,cng.sys,C:\Windows\System32\drivers\
NE767GNV,Vid.sys,C:\Windows\System32\drivers\
NE767GNV,amdppm.sys,C:\Windows\System32\drivers\
NE767GNV,netbt.sys,C:\Windows\System32\drivers\
NE767GNV,msiscsi.sys,C:\Windows\System32\drivers\
NE767GNV,3ware.sys,C:\Windows\System32\drivers\
NE767GNV,flpydisk.sys,C:\Windows\System32\drivers\
NE767GNV,megasr.sys,C:\Windows\System32\drivers\
NE767GNV,netvsc63.sys,C:\Windows\System32\drivers\
NE767GNV,lsi_sss.sys,C:\Windows\System32\drivers\
NE767GNV,xenbus.sys,C:\Windows\System32\drivers\
NE767GNV,kbdhid.sys,C:\Windows\System32\drivers\
NE767GNV,usbhub.sys,C:\Windows\System32\drivers\
NE767GNV,ksthunk.sys,C:\Windows\System32\drivers\
NE767GNV,mlx4_bus.sys,C:\Windows\System32\drivers\
NE767GNV,xenvbd.sys,C:\Windows\System32\drivers\
NE767GNV,npsvctrig.sys,C:\Windows\System32\drivers\
NE767GNV,hidbatt.sys,C:\Windows\System32\drivers\
NE767GNV,vmbus.sys,C:\Windows\System32\drivers\
NE767GNV,processr.sys,C:\Windows\System32\drivers\
NE767GNV,cdrom.sys,C:\Windows\System32\drivers\
NE767GNV,fdc.sys,C:\Windows\System32\drivers\
NE767GNV,UAGP35.SYS,C:\Windows\System32\drivers\
NE767GNV,nvstor.sys,C:\Windows\System32\drivers\
NE767GNV,wfplwfs.sys,C:\Windows\System32\drivers\
NE767GNV,VMBusHID.sys,C:\Windows\System32\drivers\
NE767GNV,serial.sys,C:\Windows\System32\drivers\
NE767GNV,rassstp.sys,C:\Windows\System32\drivers\
NE767GNV,rspndr.sys,C:\Windows\System32\drivers\
NE767GNV,usbehci.sys,C:\Windows\System32\drivers\
NE767GNV,modem.sys,C:\Windows\System32\drivers\
NE767GNV,ksecpkg.sys,C:\Windows\System32\drivers\
NE767GNV,rdpvideominiport.sys,C:\Windows\System32\drivers\
NE767GNV,smbdirect.sys,C:\Windows\System32\drivers\
NE767GNV,wmiacpi.sys,C:\Windows\System32\drivers\
NE767GNV,xenfilt.sys,C:\Windows\System32\drivers\
NE767GNV,umpass.sys,C:\Windows\System32\drivers\
NE767GNV,sbp2port.sys,C:\Windows\System32\drivers\
NE767GNV,stornvme.sys,C:\Windows\System32\drivers\
NE767GNV,vsmraid.sys,C:\Windows\System32\drivers\
NE767GNV,kdnic.sys,C:\Windows\System32\drivers\
NE767GNV,fltMgr.sys,C:\Windows\System32\drivers\
NE767GNV,amdxata.sys,C:\Windows\System32\drivers\
NE767GNV,SerCx.sys,C:\Windows\System32\drivers\
NE767GNV,cht4vx64.sys,C:\Windows\System32\drivers\
NE767GNV,appid.sys,C:\Windows\System32\drivers\
NE767GNV,winmad.sys,C:\Windows\System32\drivers\
NE767GNV,sacdrv.sys,C:\Windows\System32\drivers\
NE767GNV,storvsc.sys,C:\Windows\System32\drivers\
NE767GNV,tunnel.sys,C:\Windows\System32\drivers\
NE767GNV,tcpipreg.sys,C:\Windows\System32\drivers\
NE767GNV,acpi.sys,C:\Windows\System32\drivers\
NE767GNV,vpcivsp.sys,C:\Windows\System32\drivers\
NE767GNV,srvnet.sys,C:\Windows\System32\drivers\
NE767GNV,intelide.sys,C:\Windows\System32\drivers\
NE767GNV,srv.sys,C:\Windows\System32\drivers\
NE767GNV,iaStorV.sys,C:\Windows\System32\drivers\
NE767GNV,usbccgp.sys,C:\Windows\System32\drivers\
NE767GNV,raspppoe.sys,C:\Windows\System32\drivers\
NE767GNV,AWSNVMe.sys,C:\Windows\System32\drivers\
NE767GNV,volmgrx.sys,C:\Windows\System32\drivers\
NE767GNV,ndis.sys,C:\Windows\System32\drivers\
NE767GNV,lsi_sas3.sys,C:\Windows\System32\drivers\
NE767GNV,EC2WinUtilDriver.sys,C:\Windows\System32\drivers\
NE767GNV,pcw.sys,C:\Windows\System32\drivers\
NE767GNV,BasicRender.sys,C:\Windows\System32\drivers\
NE767GNV,pci.sys,C:\Windows\System32\drivers\
NE767GNV,Wdf01000.sys,C:\Windows\System32\drivers\
NE767GNV,UCX01000.SYS,C:\Windows\System32\drivers\
NE767GNV,xeniface.sys,C:\Windows\System32\drivers\
NE767GNV,pcmcia.sys,C:\Windows\System32\drivers\
NE767GNV,rdpdr.sys,C:\Windows\System32\drivers\
NE767GNV,NV_AGP.SYS,C:\Windows\System32\drivers\
NE767GNV,vxn64x64.sys,C:\Windows\System32\drivers\
NE767GNV,sdbus.sys,C:\Windows\System32\drivers\
NE767GNV,dxgkrnl.sys,C:\Windows\System32\drivers\
NE767GNV,iaStorAV.sys,C:\Windows\System32\drivers\
NE767GNV,usbprint.sys,C:\Windows\System32\drivers\
NE767GNV,VerifierExt.sys,C:\Windows\System32\drivers\
NE767GNV,agilevpn.sys,C:\Windows\System32\drivers\
NE767GNV,mvumis.sys,C:\Windows\System32\drivers\
NE767GNV,storvsp.sys,C:\Windows\System32\drivers\
NE767GNV,fcvsc.sys,C:\Windows\System32\drivers\
NE767GNV,mup.sys,C:\Windows\System32\drivers\
