hostname,modulename,modulepath
NL930NGM,bxois.sys,C:\Windows\System32\drivers\
NL930NGM,xennet.sys,C:\Windows\System32\drivers\
NL930NGM,ksecdd.sys,C:\Windows\System32\drivers\
NL930NGM,hdaudbus.sys,C:\Windows\System32\drivers\
NL930NGM,NdisVirtualBus.sys,C:\Windows\System32\drivers\
NL930NGM,sbp2port.sys,C:\Windows\System32\drivers\
NL930NGM,lsi_sas2.sys,C:\Windows\System32\drivers\
NL930NGM,pciide.sys,C:\Windows\System32\drivers\
NL930NGM,vmbus.sys,C:\Windows\System32\drivers\
NL930NGM,volmgrx.sys,C:\Windows\System32\drivers\
NL930NGM,processr.sys,C:\Windows\System32\drivers\
NL930NGM,uefi.sys,C:\Windows\System32\drivers\
NL930NGM,bfadi.sys,C:\Windows\System32\drivers\
NL930NGM,SerCx.sys,C:\Windows\System32\drivers\
NL930NGM,NV_AGP.SYS,C:\Windows\System32\drivers\
NL930NGM,arcsas.sys,C:\Windows\System32\drivers\
NL930NGM,netbt.sys,C:\Windows\System32\drivers\
NL930NGM,3ware.sys,C:\Windows\System32\drivers\
NL930NGM,luafv.sys,C:\Windows\System32\drivers\
NL930NGM,msiscsi.sys,C:\Windows\System32\drivers\
NL930NGM,ndisuio.sys,C:\Windows\System32\drivers\
NL930NGM,srvnet.sys,C:\Windows\System32\drivers\
NL930NGM,wimmount.sys,C:\Windows\System32\drivers\
NL930NGM,modem.sys,C:\Windows\System32\drivers\
NL930NGM,serenum.sys,C:\Windows\System32\drivers\
NL930NGM,rdpvideominiport.sys,C:\Windows\System32\drivers\
NL930NGM,agilevpn.sys,C:\Windows\System32\drivers\
NL930NGM,hidusb.sys,C:\Windows\System32\drivers\
NL930NGM,kdnic.sys,C:\Windows\System32\drivers\
NL930NGM,cdfs.sys,C:\Windows\System32\drivers\
NL930NGM,lsi_sas.sys,C:\Windows\System32\drivers\
NL930NGM,msgpioclx.sys,C:\Windows\System32\drivers\
NL930NGM,qlfcoei.sys,C:\Windows\System32\drivers\
NL930NGM,npsvctrig.sys,C:\Windows\System32\drivers\
NL930NGM,stornvme.sys,C:\Windows\System32\drivers\
NL930NGM,mountmgr.sys,C:\Windows\System32\drivers\
NL930NGM,spaceport.sys,C:\Windows\System32\drivers\
NL930NGM,usbehci.sys,C:\Windows\System32\drivers\
NL930NGM,BasicDisplay.sys,C:\Windows\System32\drivers\
NL930NGM,intelppm.sys,C:\Windows\System32\drivers\
NL930NGM,netvsc63.sys,C:\Windows\System32\drivers\
NL930NGM,ULIAGPKX.SYS,C:\Windows\System32\drivers\
NL930NGM,CmBatt.sys,C:\Windows\System32\drivers\
NL930NGM,dmvsc.sys,C:\Windows\System32\drivers\
NL930NGM,wmiacpi.sys,C:\Windows\System32\drivers\
NL930NGM,condrv.sys,C:\Windows\System32\drivers\
NL930NGM,uaspstor.sys,C:\Windows\System32\drivers\
NL930NGM,acpipagr.sys,C:\Windows\System32\drivers\
NL930NGM,IPMIDrv.sys,C:\Windows\System32\drivers\
NL930NGM,storahci.sys,C:\Windows\System32\drivers\
NL930NGM,evbda.sys,C:\Windows\System32\drivers\
NL930NGM,cng.sys,C:\Windows\System32\drivers\
NL930NGM,fileinfo.sys,C:\Windows\System32\drivers\
NL930NGM,elxstor.sys,C:\Windows\System32\drivers\
NL930NGM,SerCx2.sys,C:\Windows\System32\drivers\
NL930NGM,UCX01000.SYS,C:\Windows\System32\drivers\
