hostname,modulename,modulepath
SB559CLL,ntoskrnl.exe,C:\Windows\system32\
SB559CLL,i8042prt.sys,C:\Windows\system32\drivers\
SB559CLL,tdtcp.sys,C:\Windows\system32\drivers\
SB559CLL,vmstorfl.sys,C:\Windows\system32\drivers\
SB559CLL,volmgrx.sys,C:\Windows\System32\drivers\
SB559CLL,partmgr.sys,C:\Windows\System32\drivers\
SB559CLL,tssecsrv.sys,C:\Windows\System32\DRIVERS\
SB559CLL,fwpkclnt.sys,C:\Windows\System32\drivers\
SB559CLL,ks.sys,C:\Windows\system32\drivers\
SB559CLL,wfplwf.sys,C:\Windows\system32\DRIVERS\
SB559CLL,tunnel.sys,C:\Windows\system32\DRIVERS\
SB559CLL,serenum.sys,C:\Windows\system32\drivers\
SB559CLL,mrxsmb10.sys,C:\Windows\system32\DRIVERS\
SB559CLL,pvpanic.sys,C:\Windows\system32\drivers\
SB559CLL,Wdf01000.sys,C:\Windows\system32\drivers\
SB559CLL,vga.sys,C:\Windows\System32\drivers\
SB559CLL,dump_vioscsi.sys,C:\Windows\System32\Drivers\
SB559CLL,win32k.sys,C:\Windows\System32\
SB559CLL,WDFLDR.SYS,C:\Windows\system32\drivers\
SB559CLL,intelppm.sys,C:\Windows\system32\DRIVERS\
SB559CLL,luafv.sys,C:\Windows\system32\drivers\
SB559CLL,rspndr.sys,C:\Windows\system32\DRIVERS\
SB559CLL,srv2.sys,C:\Windows\System32\DRIVERS\
SB559CLL,netbios.sys,C:\Windows\system32\DRIVERS\
SB559CLL,srv.sys,C:\Windows\System32\DRIVERS\
SB559CLL,VIDEOPRT.SYS,C:\Windows\System32\drivers\
SB559CLL,CI.dll,C:\Windows\system32\
SB559CLL,msrpc.sys,C:\Windows\system32\DRIVERS\
SB559CLL,Npfs.SYS,C:\Windows\System32\Drivers\
SB559CLL,CompositeBus.sys,C:\Windows\system32\drivers\
SB559CLL,crashdmp.sys,C:\Windows\System32\Drivers\
SB559CLL,Msfs.SYS,C:\Windows\System32\Drivers\
SB559CLL,AgileVpn.sys,C:\Windows\system32\DRIVERS\
SB559CLL,TDI.SYS,C:\Windows\system32\DRIVERS\
SB559CLL,tcpipreg.sys,C:\Windows\System32\drivers\
SB559CLL,CLFS.SYS,C:\Windows\system32\
SB559CLL,kbdclass.sys,C:\Windows\system32\drivers\
SB559CLL,vioscsi.sys,C:\Windows\system32\drivers\
SB559CLL,RDPDD.dll,C:\Windows\System32\
SB559CLL,dfsc.sys,C:\Windows\System32\Drivers\
SB559CLL,mcupdate.dll,C:\Windows\system32\mcupdate_Genu
SB559CLL,fltmgr.sys,C:\Windows\system32\drivers\
SB559CLL,mountmgr.sys,C:\Windows\System32\drivers\
SB559CLL,dxg.sys,C:\Windows\System32\drivers\
SB559CLL,volsnap.sys,C:\Windows\system32\drivers\
SB559CLL,umbus.sys,C:\Windows\system32\drivers\
SB559CLL,PSHED.dll,C:\Windows\system32\
SB559CLL,rdpbus.sys,C:\Windows\system32\drivers\
SB559CLL,ksecdd.sys,C:\Windows\System32\Drivers\
SB559CLL,volmgr.sys,C:\Windows\system32\drivers\
SB559CLL,storport.sys,C:\Windows\system32\drivers\
SB559CLL,rdbss.sys,C:\Windows\system32\DRIVERS\
SB559CLL,hal.dll,C:\Windows\system32\
SB559CLL,netbt.sys,C:\Windows\System32\DRIVERS\
SB559CLL,spldr.sys,C:\Windows\System32\Drivers\
SB559CLL,blbdrive.sys,C:\Windows\system32\drivers\
SB559CLL,pacer.sys,C:\Windows\system32\DRIVERS\
SB559CLL,wanarp.sys,C:\Windows\system32\DRIVERS\
SB559CLL,mrxsmb.sys,C:\Windows\system32\DRIVERS\
SB559CLL,mpsdrv.sys,C:\Windows\System32\drivers\
SB559CLL,pcw.sys,C:\Windows\System32\drivers\
SB559CLL,mssmbios.sys,C:\Windows\system32\drivers\
SB559CLL,disk.sys,C:\Windows\system32\drivers\
SB559CLL,rdprefmp.sys,C:\Windows\system32\drivers\
SB559CLL,ACPI.sys,C:\Windows\system32\drivers\
SB559CLL,vdrvroot.sys,C:\Windows\system32\drivers\
SB559CLL,rdpencdd.sys,C:\Windows\system32\drivers\
SB559CLL,watchdog.sys,C:\Windows\System32\drivers\
SB559CLL,rassstp.sys,C:\Windows\system32\DRIVERS\
SB559CLL,Dxapi.sys,C:\Windows\System32\drivers\
SB559CLL,NDIS.SYS,C:\Windows\system32\DRIVERS\
SB559CLL,RDPCDD.sys,C:\Windows\System32\DRIVERS\
SB559CLL,nsiproxy.sys,C:\Windows\system32\drivers\
SB559CLL,ksecpkg.sys,C:\Windows\System32\Drivers\
SB559CLL,swenum.sys,C:\Windows\system32\drivers\
SB559CLL,mouclass.sys,C:\Windows\system32\drivers\
SB559CLL,kdcom.dll,C:\Windows\system32\
SB559CLL,mrxsmb20.sys,C:\Windows\system32\DRIVERS\
SB559CLL,CLASSPNP.SYS,C:\Windows\system32\drivers\
SB559CLL,peauth.sys,C:\Windows\system32\drivers\
SB559CLL,Null.SYS,C:\Windows\System32\Drivers\
SB559CLL,dump_storport.sys,C:\Windows\System32\Drivers\
SB559CLL,Ntfs.sys,C:\Windows\System32\Drivers\
SB559CLL,rasl2tp.sys,C:\Windows\system32\DRIVERS\
SB559CLL,NDProxy.SYS,C:\Windows\System32\Drivers\
SB559CLL,asyncmac.sys,C:\Windows\system32\DRIVERS\
SB559CLL,serial.sys,C:\Windows\system32\drivers\
SB559CLL,ndistapi.sys,C:\Windows\system32\DRIVERS\
SB559CLL,hwpolicy.sys,C:\Windows\System32\drivers\
SB559CLL,srvnet.sys,C:\Windows\System32\DRIVERS\
SB559CLL,afd.sys,C:\Windows\system32\drivers\
SB559CLL,sacdrv.sys,C:\Windows\system32\DRIVERS\
SB559CLL,termdd.sys,C:\Windows\system32\drivers\
SB559CLL,ndiswan.sys,C:\Windows\system32\DRIVERS\
SB559CLL,HTTP.sys,C:\Windows\system32\drivers\
SB559CLL,tcpip.sys,C:\Windows\System32\drivers\
SB559CLL,discache.sys,C:\Windows\System32\drivers\
SB559CLL,NETIO.SYS,C:\Windows\system32\DRIVERS\
SB559CLL,netkvm.sys,C:\Windows\system32\DRIVERS\
SB559CLL,TSDDD.dll,C:\Windows\System32\
SB559CLL,lltdio.sys,C:\Windows\system32\DRIVERS\
SB559CLL,cng.sys,C:\Windows\System32\Drivers\
SB559CLL,bowser.sys,C:\Windows\system32\DRIVERS\
SB559CLL,WMILIB.SYS,C:\Windows\system32\drivers\
SB559CLL,spsys.sys,C:\Windows\system32\drivers\
SB559CLL,amdxata.sys,C:\Windows\system32\drivers\
SB559CLL,msisadrv.sys,C:\Windows\system32\drivers\
SB559CLL,mup.sys,C:\Windows\System32\Drivers\
