hostname,modulename,modulepath
SE441YJP,nsiproxy.sys,C:\Windows\system32\drivers\
SE441YJP,vdrvroot.sys,C:\Windows\system32\drivers\
SE441YJP,lltdio.sys,C:\Windows\system32\DRIVERS\
SE441YJP,volmgr.sys,C:\Windows\system32\drivers\
SE441YJP,TDI.SYS,C:\Windows\system32\DRIVERS\
SE441YJP,mrxsmb.sys,C:\Windows\system32\DRIVERS\
SE441YJP,ndistapi.sys,C:\Windows\system32\DRIVERS\
SE441YJP,raspppoe.sys,C:\Windows\system32\DRIVERS\
SE441YJP,watchdog.sys,C:\Windows\System32\drivers\
SE441YJP,tdx.sys,C:\Windows\system32\DRIVERS\
SE441YJP,mcupdate.dll,C:\Windows\system32\mcupdate_Genu
SE441YJP,crashdmp.sys,C:\Windows\System32\Drivers\
SE441YJP,pci.sys,C:\Windows\system32\drivers\
SE441YJP,termdd.sys,C:\Windows\system32\drivers\
SE441YJP,ntoskrnl.exe,C:\Windows\system32\
SE441YJP,serenum.sys,C:\Windows\system32\drivers\
SE441YJP,NETIO.SYS,C:\Windows\system32\DRIVERS\
SE441YJP,partmgr.sys,C:\Windows\System32\drivers\
SE441YJP,srv.sys,C:\Windows\System32\DRIVERS\
SE441YJP,tunnel.sys,C:\Windows\system32\DRIVERS\
SE441YJP,CLFS.SYS,C:\Windows\system32\
SE441YJP,mountmgr.sys,C:\Windows\System32\drivers\
SE441YJP,Wdf01000.sys,C:\Windows\system32\drivers\
SE441YJP,kbdclass.sys,C:\Windows\system32\drivers\
SE441YJP,WDFLDR.SYS,C:\Windows\system32\drivers\
SE441YJP,dfsc.sys,C:\Windows\System32\Drivers\
SE441YJP,netbt.sys,C:\Windows\System32\DRIVERS\
SE441YJP,pcw.sys,C:\Windows\System32\drivers\
SE441YJP,Npfs.SYS,C:\Windows\System32\Drivers\
SE441YJP,pacer.sys,C:\Windows\system32\DRIVERS\
SE441YJP,RDPCDD.sys,C:\Windows\System32\DRIVERS\
SE441YJP,intelppm.sys,C:\Windows\system32\DRIVERS\
SE441YJP,rdpbus.sys,C:\Windows\system32\drivers\
SE441YJP,mouclass.sys,C:\Windows\system32\drivers\
SE441YJP,WMILIB.SYS,C:\Windows\system32\drivers\
SE441YJP,wfplwf.sys,C:\Windows\system32\DRIVERS\
SE441YJP,raspptp.sys,C:\Windows\system32\DRIVERS\
SE441YJP,srvnet.sys,C:\Windows\System32\DRIVERS\
SE441YJP,dump_storport.sys,C:\Windows\System32\Drivers\
SE441YJP,discache.sys,C:\Windows\System32\drivers\
SE441YJP,spldr.sys,C:\Windows\System32\Drivers\
SE441YJP,msisadrv.sys,C:\Windows\system32\drivers\
SE441YJP,mrxsmb10.sys,C:\Windows\system32\DRIVERS\
SE441YJP,hwpolicy.sys,C:\Windows\System32\drivers\
SE441YJP,storport.sys,C:\Windows\system32\drivers\
SE441YJP,msrpc.sys,C:\Windows\system32\DRIVERS\
SE441YJP,pvpanic.sys,C:\Windows\system32\drivers\
SE441YJP,vmstorfl.sys,C:\Windows\system32\drivers\
SE441YJP,VIDEOPRT.SYS,C:\Windows\System32\drivers\
SE441YJP,Null.SYS,C:\Windows\System32\Drivers\
SE441YJP,vga.sys,C:\Windows\System32\drivers\
SE441YJP,tcpipreg.sys,C:\Windows\System32\drivers\
SE441YJP,rasl2tp.sys,C:\Windows\system32\DRIVERS\
SE441YJP,RDPDD.dll,C:\Windows\System32\
SE441YJP,win32k.sys,C:\Windows\System32\
SE441YJP,HTTP.sys,C:\Windows\system32\drivers\
SE441YJP,AgileVpn.sys,C:\Windows\system32\DRIVERS\
SE441YJP,dump_vioscsi.sys,C:\Windows\System32\Drivers\
SE441YJP,rdpdr.sys,C:\Windows\System32\drivers\
SE441YJP,ks.sys,C:\Windows\system32\drivers\
SE441YJP,ksecpkg.sys,C:\Windows\System32\Drivers\
SE441YJP,sacdrv.sys,C:\Windows\system32\DRIVERS\
SE441YJP,blbdrive.sys,C:\Windows\system32\drivers\
SE441YJP,tcpip.sys,C:\Windows\System32\drivers\
SE441YJP,PSHED.dll,C:\Windows\system32\
SE441YJP,i8042prt.sys,C:\Windows\system32\drivers\
SE441YJP,mssmbios.sys,C:\Windows\system32\drivers\
SE441YJP,peauth.sys,C:\Windows\system32\drivers\
SE441YJP,asyncmac.sys,C:\Windows\system32\DRIVERS\
SE441YJP,bowser.sys,C:\Windows\system32\DRIVERS\
SE441YJP,cng.sys,C:\Windows\System32\Drivers\
SE441YJP,Fs_Rec.sys,C:\Windows\System32\Drivers\
SE441YJP,umbus.sys,C:\Windows\system32\drivers\
SE441YJP,hal.dll,C:\Windows\system32\
SE441YJP,Ntfs.sys,C:\Windows\System32\Drivers\
SE441YJP,volmgrx.sys,C:\Windows\System32\drivers\
SE441YJP,mrxsmb20.sys,C:\Windows\system32\DRIVERS\
SE441YJP,RDPWD.SYS,C:\Windows\System32\Drivers\
SE441YJP,NDProxy.SYS,C:\Windows\System32\Drivers\
SE441YJP,luafv.sys,C:\Windows\system32\drivers\
SE441YJP,NDIS.SYS,C:\Windows\system32\DRIVERS\
SE441YJP,mpsdrv.sys,C:\Windows\System32\drivers\
SE441YJP,CLASSPNP.SYS,C:\Windows\system32\drivers\
SE441YJP,rdpencdd.sys,C:\Windows\system32\drivers\
SE441YJP,ACPI.sys,C:\Windows\system32\drivers\
SE441YJP,CI.dll,C:\Windows\system32\
SE441YJP,rdprefmp.sys,C:\Windows\system32\drivers\
SE441YJP,tdtcp.sys,C:\Windows\system32\drivers\
SE441YJP,ndiswan.sys,C:\Windows\system32\DRIVERS\
SE441YJP,netbios.sys,C:\Windows\system32\DRIVERS\
SE441YJP,afd.sys,C:\Windows\system32\drivers\
SE441YJP,disk.sys,C:\Windows\system32\drivers\
SE441YJP,vioscsi.sys,C:\Windows\system32\drivers\
SE441YJP,rspndr.sys,C:\Windows\system32\DRIVERS\
SE441YJP,Msfs.SYS,C:\Windows\System32\Drivers\
SE441YJP,fltmgr.sys,C:\Windows\system32\drivers\
SE441YJP,spsys.sys,C:\Windows\system32\drivers\
SE441YJP,rassstp.sys,C:\Windows\system32\DRIVERS\
SE441YJP,ksecdd.sys,C:\Windows\System32\Drivers\
SE441YJP,CompositeBus.sys,C:\Windows\system32\drivers\
SE441YJP,kdcom.dll,C:\Windows\system32\
SE441YJP,tssecsrv.sys,C:\Windows\System32\DRIVERS\
SE441YJP,Dxapi.sys,C:\Windows\System32\drivers\
SE441YJP,netkvm.sys,C:\Windows\system32\DRIVERS\
