hostname,modulename,modulepath
SN238LVK,hal.dll,C:\Windows\system32\
SN238LVK,vga.sys,C:\Windows\System32\drivers\
SN238LVK,Null.SYS,C:\Windows\System32\Drivers\
SN238LVK,mountmgr.sys,C:\Windows\System32\drivers\
SN238LVK,kdcom.dll,C:\Windows\system32\
SN238LVK,srv.sys,C:\Windows\System32\DRIVERS\
SN238LVK,storport.sys,C:\Windows\system32\drivers\
SN238LVK,vmstorfl.sys,C:\Windows\system32\drivers\
SN238LVK,CLFS.SYS,C:\Windows\system32\
SN238LVK,crashdmp.sys,C:\Windows\System32\Drivers\
SN238LVK,intelppm.sys,C:\Windows\system32\DRIVERS\
SN238LVK,AgileVpn.sys,C:\Windows\system32\DRIVERS\
SN238LVK,lltdio.sys,C:\Windows\system32\DRIVERS\
SN238LVK,mup.sys,C:\Windows\System32\Drivers\
SN238LVK,win32k.sys,C:\Windows\System32\
SN238LVK,ndiswan.sys,C:\Windows\system32\DRIVERS\
SN238LVK,pvpanic.sys,C:\Windows\system32\drivers\
SN238LVK,ndistapi.sys,C:\Windows\system32\DRIVERS\
SN238LVK,wanarp.sys,C:\Windows\system32\DRIVERS\
SN238LVK,discache.sys,C:\Windows\System32\drivers\
SN238LVK,Fs_Rec.sys,C:\Windows\System32\Drivers\
SN238LVK,pacer.sys,C:\Windows\system32\DRIVERS\
SN238LVK,srvnet.sys,C:\Windows\System32\DRIVERS\
SN238LVK,msrpc.sys,C:\Windows\system32\DRIVERS\
SN238LVK,i8042prt.sys,C:\Windows\system32\drivers\
SN238LVK,fltmgr.sys,C:\Windows\system32\drivers\
SN238LVK,bowser.sys,C:\Windows\system32\DRIVERS\
SN238LVK,HTTP.sys,C:\Windows\system32\drivers\
SN238LVK,dfsc.sys,C:\Windows\System32\Drivers\
SN238LVK,dxg.sys,C:\Windows\System32\drivers\
SN238LVK,swenum.sys,C:\Windows\system32\drivers\
SN238LVK,tcpip.sys,C:\Windows\System32\drivers\
SN238LVK,mpsdrv.sys,C:\Windows\System32\drivers\
SN238LVK,raspptp.sys,C:\Windows\system32\DRIVERS\
SN238LVK,dump_storport.sys,C:\Windows\System32\Drivers\
SN238LVK,mssmbios.sys,C:\Windows\system32\drivers\
SN238LVK,spldr.sys,C:\Windows\System32\Drivers\
SN238LVK,mrxsmb20.sys,C:\Windows\system32\DRIVERS\
SN238LVK,fwpkclnt.sys,C:\Windows\System32\drivers\
SN238LVK,srv2.sys,C:\Windows\System32\DRIVERS\
SN238LVK,CompositeBus.sys,C:\Windows\system32\drivers\
SN238LVK,rdpencdd.sys,C:\Windows\system32\drivers\
SN238LVK,mcupdate.dll,C:\Windows\system32\mcupdate_Genu
SN238LVK,watchdog.sys,C:\Windows\System32\drivers\
SN238LVK,kbdclass.sys,C:\Windows\system32\drivers\
SN238LVK,Msfs.SYS,C:\Windows\System32\Drivers\
SN238LVK,sacdrv.sys,C:\Windows\system32\DRIVERS\
SN238LVK,serenum.sys,C:\Windows\system32\drivers\
SN238LVK,blbdrive.sys,C:\Windows\system32\drivers\
SN238LVK,serial.sys,C:\Windows\system32\drivers\
SN238LVK,Npfs.SYS,C:\Windows\System32\Drivers\
SN238LVK,VIDEOPRT.SYS,C:\Windows\System32\drivers\
SN238LVK,rdprefmp.sys,C:\Windows\system32\drivers\
SN238LVK,NDProxy.SYS,C:\Windows\System32\Drivers\
SN238LVK,netbt.sys,C:\Windows\System32\DRIVERS\
SN238LVK,rdbss.sys,C:\Windows\system32\DRIVERS\
SN238LVK,dump_vioscsi.sys,C:\Windows\System32\Drivers\
SN238LVK,nsiproxy.sys,C:\Windows\system32\drivers\
SN238LVK,hwpolicy.sys,C:\Windows\System32\drivers\
SN238LVK,mouclass.sys,C:\Windows\system32\drivers\
SN238LVK,mrxsmb.sys,C:\Windows\system32\DRIVERS\
SN238LVK,tunnel.sys,C:\Windows\system32\DRIVERS\
SN238LVK,netbios.sys,C:\Windows\system32\DRIVERS\
SN238LVK,CI.dll,C:\Windows\system32\
SN238LVK,netkvm.sys,C:\Windows\system32\DRIVERS\
SN238LVK,rassstp.sys,C:\Windows\system32\DRIVERS\
SN238LVK,tdtcp.sys,C:\Windows\system32\drivers\
SN238LVK,disk.sys,C:\Windows\system32\drivers\
SN238LVK,volsnap.sys,C:\Windows\system32\drivers\
SN238LVK,ntoskrnl.exe,C:\Windows\system32\
SN238LVK,Dxapi.sys,C:\Windows\System32\drivers\
SN238LVK,vioscsi.sys,C:\Windows\system32\drivers\
SN238LVK,tdx.sys,C:\Windows\system32\DRIVERS\
SN238LVK,msisadrv.sys,C:\Windows\system32\drivers\
SN238LVK,amdxata.sys,C:\Windows\system32\drivers\
SN238LVK,umbus.sys,C:\Windows\system32\drivers\
SN238LVK,vdrvroot.sys,C:\Windows\system32\drivers\
SN238LVK,Ntfs.sys,C:\Windows\System32\Drivers\
SN238LVK,mrxsmb10.sys,C:\Windows\system32\DRIVERS\
SN238LVK,ksecdd.sys,C:\Windows\System32\Drivers\
SN238LVK,CLASSPNP.SYS,C:\Windows\system32\drivers\
SN238LVK,NDIS.SYS,C:\Windows\system32\DRIVERS\
SN238LVK,volmgrx.sys,C:\Windows\System32\drivers\
SN238LVK,rdpdr.sys,C:\Windows\System32\drivers\
SN238LVK,luafv.sys,C:\Windows\system32\drivers\
SN238LVK,raspppoe.sys,C:\Windows\system32\DRIVERS\
SN238LVK,termdd.sys,C:\Windows\system32\drivers\
SN238LVK,Wdf01000.sys,C:\Windows\system32\drivers\
SN238LVK,spsys.sys,C:\Windows\system32\drivers\
SN238LVK,rspndr.sys,C:\Windows\system32\DRIVERS\
SN238LVK,PSHED.dll,C:\Windows\system32\
SN238LVK,peauth.sys,C:\Windows\system32\drivers\
SN238LVK,NETIO.SYS,C:\Windows\system32\DRIVERS\
SN238LVK,tcpipreg.sys,C:\Windows\System32\drivers\
SN238LVK,ksecpkg.sys,C:\Windows\System32\Drivers\
SN238LVK,volmgr.sys,C:\Windows\system32\drivers\
SN238LVK,WDFLDR.SYS,C:\Windows\system32\drivers\
SN238LVK,tssecsrv.sys,C:\Windows\System32\DRIVERS\
SN238LVK,WMILIB.SYS,C:\Windows\system32\drivers\
SN238LVK,rdpbus.sys,C:\Windows\system32\drivers\
SN238LVK,TDI.SYS,C:\Windows\system32\DRIVERS\
SN238LVK,RDPCDD.sys,C:\Windows\System32\DRIVERS\
SN238LVK,pci.sys,C:\Windows\system32\drivers\
SN238LVK,asyncmac.sys,C:\Windows\system32\DRIVERS\
SN238LVK,partmgr.sys,C:\Windows\System32\drivers\
SN238LVK,rasl2tp.sys,C:\Windows\system32\DRIVERS\
SN238LVK,RDPDD.dll,C:\Windows\System32\
SN238LVK,RDPWD.SYS,C:\Windows\System32\Drivers\
SN238LVK,cng.sys,C:\Windows\System32\Drivers\
SN238LVK,wfplwf.sys,C:\Windows\system32\DRIVERS\
