hostname,modulename,modulepath
SS944NSU,TDI.SYS,C:\Windows\system32\DRIVERS\
SS944NSU,kdcom.dll,C:\Windows\system32\
SS944NSU,win32k.sys,C:\Windows\System32\
SS944NSU,ACPI.sys,C:\Windows\system32\drivers\
SS944NSU,Npfs.SYS,C:\Windows\System32\Drivers\
SS944NSU,netbt.sys,C:\Windows\System32\DRIVERS\
SS944NSU,vioscsi.sys,C:\Windows\system32\drivers\
SS944NSU,rasl2tp.sys,C:\Windows\system32\DRIVERS\
SS944NSU,NDProxy.SYS,C:\Windows\System32\Drivers\
SS944NSU,mrxsmb20.sys,C:\Windows\system32\DRIVERS\
SS944NSU,spsys.sys,C:\Windows\system32\drivers\
SS944NSU,TSDDD.dll,C:\Windows\System32\
SS944NSU,sacdrv.sys,C:\Windows\system32\DRIVERS\
SS944NSU,mcupdate.dll,C:\Windows\system32\mcupdate_Genu
SS944NSU,Fs_Rec.sys,C:\Windows\System32\Drivers\
SS944NSU,discache.sys,C:\Windows\System32\drivers\
SS944NSU,fltmgr.sys,C:\Windows\system32\drivers\
SS944NSU,hal.dll,C:\Windows\system32\
SS944NSU,hwpolicy.sys,C:\Windows\System32\drivers\
SS944NSU,mouclass.sys,C:\Windows\system32\drivers\
SS944NSU,vga.sys,C:\Windows\System32\drivers\
SS944NSU,srv.sys,C:\Windows\System32\DRIVERS\
SS944NSU,RDPDD.dll,C:\Windows\System32\
SS944NSU,RDPWD.SYS,C:\Windows\System32\Drivers\
SS944NSU,kbdclass.sys,C:\Windows\system32\drivers\
SS944NSU,tdx.sys,C:\Windows\system32\DRIVERS\
SS944NSU,mpsdrv.sys,C:\Windows\System32\drivers\
SS944NSU,pci.sys,C:\Windows\system32\drivers\
SS944NSU,VIDEOPRT.SYS,C:\Windows\System32\drivers\
SS944NSU,volmgr.sys,C:\Windows\system32\drivers\
SS944NSU,WMILIB.SYS,C:\Windows\system32\drivers\
SS944NSU,mrxsmb10.sys,C:\Windows\system32\DRIVERS\
SS944NSU,nsiproxy.sys,C:\Windows\system32\drivers\
SS944NSU,ks.sys,C:\Windows\system32\drivers\
SS944NSU,luafv.sys,C:\Windows\system32\drivers\
SS944NSU,asyncmac.sys,C:\Windows\system32\DRIVERS\
SS944NSU,PSHED.dll,C:\Windows\system32\
SS944NSU,amdxata.sys,C:\Windows\system32\drivers\
SS944NSU,ntoskrnl.exe,C:\Windows\system32\
SS944NSU,i8042prt.sys,C:\Windows\system32\drivers\
SS944NSU,disk.sys,C:\Windows\system32\drivers\
SS944NSU,CLFS.SYS,C:\Windows\system32\
SS944NSU,tcpip.sys,C:\Windows\System32\drivers\
SS944NSU,vmstorfl.sys,C:\Windows\system32\drivers\
SS944NSU,pvpanic.sys,C:\Windows\system32\drivers\
SS944NSU,rdprefmp.sys,C:\Windows\system32\drivers\
SS944NSU,umbus.sys,C:\Windows\system32\drivers\
SS944NSU,serial.sys,C:\Windows\system32\drivers\
SS944NSU,netbios.sys,C:\Windows\system32\DRIVERS\
SS944NSU,ndistapi.sys,C:\Windows\system32\DRIVERS\
SS944NSU,tunnel.sys,C:\Windows\system32\DRIVERS\
SS944NSU,volsnap.sys,C:\Windows\system32\drivers\
SS944NSU,storport.sys,C:\Windows\system32\drivers\
SS944NSU,serenum.sys,C:\Windows\system32\drivers\
SS944NSU,ndiswan.sys,C:\Windows\system32\DRIVERS\
SS944NSU,dump_vioscsi.sys,C:\Windows\System32\Drivers\
SS944NSU,ksecdd.sys,C:\Windows\System32\Drivers\
SS944NSU,dxg.sys,C:\Windows\System32\drivers\
SS944NSU,netkvm.sys,C:\Windows\system32\DRIVERS\
SS944NSU,AgileVpn.sys,C:\Windows\system32\DRIVERS\
SS944NSU,volmgrx.sys,C:\Windows\System32\drivers\
SS944NSU,RDPCDD.sys,C:\Windows\System32\DRIVERS\
SS944NSU,mountmgr.sys,C:\Windows\System32\drivers\
SS944NSU,raspppoe.sys,C:\Windows\system32\DRIVERS\
SS944NSU,fwpkclnt.sys,C:\Windows\System32\drivers\
SS944NSU,watchdog.sys,C:\Windows\System32\drivers\
SS944NSU,pcw.sys,C:\Windows\System32\drivers\
SS944NSU,rspndr.sys,C:\Windows\system32\DRIVERS\
SS944NSU,afd.sys,C:\Windows\system32\drivers\
SS944NSU,srvnet.sys,C:\Windows\System32\DRIVERS\
SS944NSU,CompositeBus.sys,C:\Windows\system32\drivers\
SS944NSU,bowser.sys,C:\Windows\system32\DRIVERS\
SS944NSU,msrpc.sys,C:\Windows\system32\DRIVERS\
SS944NSU,NETIO.SYS,C:\Windows\system32\DRIVERS\
SS944NSU,Dxapi.sys,C:\Windows\System32\drivers\
SS944NSU,Msfs.SYS,C:\Windows\System32\Drivers\
SS944NSU,crashdmp.sys,C:\Windows\System32\Drivers\
