hostname,modulename,modulepath
WB281FHJ,mrxsmb.sys,C:\Windows\System32\drivers\
WB281FHJ,ksecpkg.sys,C:\Windows\System32\drivers\
WB281FHJ,vmgencounter.sys,C:\Windows\System32\drivers\
WB281FHJ,dmvsc.sys,C:\Windows\System32\drivers\
WB281FHJ,bfadi.sys,C:\Windows\System32\drivers\
WB281FHJ,pci.sys,C:\Windows\System32\drivers\
WB281FHJ,vhdmp.sys,C:\Windows\System32\drivers\
WB281FHJ,SerCx.sys,C:\Windows\System32\drivers\
WB281FHJ,winnat.sys,C:\Windows\System32\drivers\
WB281FHJ,fxppm.sys,C:\Windows\System32\drivers\
WB281FHJ,vms3cap.sys,C:\Windows\System32\drivers\
WB281FHJ,vxn64x64.sys,C:\Windows\System32\drivers\
WB281FHJ,vpcivsp.sys,C:\Windows\System32\drivers\
WB281FHJ,udfs.sys,C:\Windows\System32\drivers\
WB281FHJ,vmbus.sys,C:\Windows\System32\drivers\
WB281FHJ,sacdrv.sys,C:\Windows\System32\drivers\
WB281FHJ,rassstp.sys,C:\Windows\System32\drivers\
WB281FHJ,CompositeBus.sys,C:\Windows\System32\drivers\
WB281FHJ,EC2WinUtilDriver.sys,C:\Windows\System32\drivers\
WB281FHJ,serenum.sys,C:\Windows\System32\drivers\
WB281FHJ,BasicRender.sys,C:\Windows\System32\drivers\
WB281FHJ,mvumis.sys,C:\Windows\System32\drivers\
WB281FHJ,pacer.sys,C:\Windows\System32\drivers\
WB281FHJ,rspndr.sys,C:\Windows\System32\drivers\
WB281FHJ,serial.sys,C:\Windows\System32\drivers\
WB281FHJ,fdc.sys,C:\Windows\System32\drivers\
WB281FHJ,disk.sys,C:\Windows\System32\drivers\
WB281FHJ,amdsata.sys,C:\Windows\System32\drivers\
WB281FHJ,AWSNVMe.sys,C:\Windows\System32\drivers\
WB281FHJ,amdppm.sys,C:\Windows\System32\drivers\
WB281FHJ,srv2.sys,C:\Windows\System32\drivers\
WB281FHJ,UAGP35.SYS,C:\Windows\System32\drivers\
WB281FHJ,ipfltdrv.sys,C:\Windows\System32\drivers\
WB281FHJ,1394ohci.sys,C:\Windows\System32\drivers\
WB281FHJ,HpSAMD.sys,C:\Windows\System32\drivers\
WB281FHJ,rasl2tp.sys,C:\Windows\System32\drivers\
WB281FHJ,USBHUB3.SYS,C:\Windows\System32\drivers\
WB281FHJ,vpci.sys,C:\Windows\System32\drivers\
WB281FHJ,MTConfig.sys,C:\Windows\System32\drivers\
WB281FHJ,clfs.sys,C:\Windows\System32\drivers\
WB281FHJ,winverbs.sys,C:\Windows\System32\drivers\
WB281FHJ,tsusbhub.sys,C:\Windows\System32\drivers\
WB281FHJ,MsLbfoProvider.sys,C:\Windows\System32\drivers\
WB281FHJ,wtlmdrv.sys,C:\Windows\System32\drivers\
WB281FHJ,hwpolicy.sys,C:\Windows\System32\drivers\
WB281FHJ,wimmount.sys,C:\Windows\System32\drivers\
WB281FHJ,VSTXRAID.SYS,C:\Windows\System32\drivers\
WB281FHJ,storvsp.sys,C:\Windows\System32\drivers\
WB281FHJ,umpass.sys,C:\Windows\System32\drivers\
WB281FHJ,usbohci.sys,C:\Windows\System32\drivers\
WB281FHJ,xenfilt.sys,C:\Windows\System32\drivers\
WB281FHJ,IPMIDrv.sys,C:\Windows\System32\drivers\
WB281FHJ,nvraid.sys,C:\Windows\System32\drivers\
WB281FHJ,sisraid4.sys,C:\Windows\System32\drivers\
WB281FHJ,uaspstor.sys,C:\Windows\System32\drivers\
WB281FHJ,hdaudbus.sys,C:\Windows\System32\drivers\
WB281FHJ,condrv.sys,C:\Windows\System32\drivers\
WB281FHJ,kbdclass.sys,C:\Windows\System32\drivers\
WB281FHJ,TsUsbFlt.sys,C:\Windows\System32\drivers\
WB281FHJ,tpm.sys,C:\Windows\System32\drivers\
WB281FHJ,usbuhci.sys,C:\Windows\System32\drivers\
WB281FHJ,appid.sys,C:\Windows\System32\drivers\
WB281FHJ,atapi.sys,C:\Windows\System32\drivers\
WB281FHJ,winmad.sys,C:\Windows\System32\drivers\
WB281FHJ,elxstor.sys,C:\Windows\System32\drivers\
WB281FHJ,scfilter.sys,C:\Windows\System32\drivers\
WB281FHJ,intelide.sys,C:\Windows\System32\drivers\
WB281FHJ,usbprint.sys,C:\Windows\System32\drivers\
WB281FHJ,bfadfcoei.sys,C:\Windows\System32\drivers\
