hostname,modulename,modulepath
WN118DOT,intelppm.sys,C:\Windows\System32\drivers\
WN118DOT,afd.sys,C:\Windows\system32\drivers\
WN118DOT,condrv.sys,C:\Windows\System32\drivers\
WN118DOT,srv.sys,C:\Windows\System32\DRIVERS\
WN118DOT,mouclass.sys,C:\Windows\System32\drivers\
WN118DOT,spaceport.sys,C:\Windows\System32\drivers\
WN118DOT,rdpdr.sys,C:\Windows\System32\drivers\
WN118DOT,volmgrx.sys,C:\Windows\System32\drivers\
WN118DOT,ntosext.sys,C:\Windows\System32\drivers\
WN118DOT,win32kfull.sys,C:\Windows\System32\
WN118DOT,tdx.sys,C:\Windows\system32\DRIVERS\
WN118DOT,tcpip.sys,C:\Windows\System32\drivers\
WN118DOT,rdbss.sys,C:\Windows\system32\DRIVERS\
WN118DOT,serenum.sys,C:\Windows\System32\drivers\
WN118DOT,nsiproxy.sys,C:\Windows\system32\drivers\
WN118DOT,bowser.sys,C:\Windows\system32\DRIVERS\
WN118DOT,CEA.sys,C:\Windows\system32\drivers\
WN118DOT,ksecpkg.sys,C:\Windows\System32\Drivers\
WN118DOT,umbus.sys,C:\Windows\System32\drivers\
WN118DOT,volsnap.sys,C:\Windows\System32\drivers\
WN118DOT,dxgkrnl.sys,C:\Windows\System32\drivers\
WN118DOT,WMILIB.SYS,C:\Windows\System32\drivers\
WN118DOT,lltdio.sys,C:\Windows\system32\drivers\
WN118DOT,Npfs.SYS,C:\Windows\System32\Drivers\
WN118DOT,peauth.sys,C:\Windows\system32\drivers\
WN118DOT,PSHED.dll,C:\Windows\system32\
WN118DOT,srv2.sys,C:\Windows\System32\DRIVERS\
WN118DOT,WppRecorder.sys,C:\Windows\System32\Drivers\
WN118DOT,BOOTVID.dll,C:\Windows\system32\
WN118DOT,msrpc.sys,C:\Windows\System32\drivers\
WN118DOT,rspndr.sys,C:\Windows\system32\drivers\
WN118DOT,kdnic.sys,C:\Windows\System32\drivers\
WN118DOT,vioscsi.sys,C:\Windows\System32\drivers\
WN118DOT,CompositeBus.sys,C:\Windows\System32\DriverStore\FileRepository\compositebus.inf_amd64_a140581a8f8b58b7\
WN118DOT,crashdmp.sys,C:\Windows\System32\Drivers\
WN118DOT,mssmbios.sys,C:\Windows\System32\drivers\
WN118DOT,NdisVirtualBus.sys,C:\Windows\System32\drivers\
WN118DOT,NETIO.SYS,C:\Windows\system32\DRIVERS\
WN118DOT,pvpanic.sys,C:\Windows\System32\drivers\
WN118DOT,volmgr.sys,C:\Windows\System32\drivers\
WN118DOT,i8042prt.sys,C:\Windows\System32\drivers\
WN118DOT,ntoskrnl.exe,C:\Windows\system32\
WN118DOT,mountmgr.sys,C:\Windows\System32\drivers\
WN118DOT,gpuenergydrv.sys,C:\Windows\System32\drivers\
WN118DOT,RDPUDD.dll,C:\Windows\System32\
WN118DOT,win32kbase.sys,C:\Windows\System32\
WN118DOT,fwpkclnt.sys,C:\Windows\System32\drivers\
