hostname,modulename,modulepath
WW307KLP,mmcss.sys,C:\Windows\system32\drivers\
WW307KLP,dxgkrnl.sys,C:\Windows\System32\drivers\
WW307KLP,tm.sys,C:\Windows\System32\drivers\
WW307KLP,volsnap.sys,C:\Windows\System32\drivers\
WW307KLP,hal.dll,C:\Windows\system32\
WW307KLP,WDFLDR.SYS,C:\Windows\system32\drivers\
WW307KLP,srv2.sys,C:\Windows\System32\DRIVERS\
WW307KLP,NDIS.SYS,C:\Windows\system32\DRIVERS\
WW307KLP,Wof.sys,C:\Windows\System32\Drivers\
WW307KLP,ahcache.sys,C:\Windows\system32\DRIVERS\
WW307KLP,Msfs.SYS,C:\Windows\System32\Drivers\
WW307KLP,intelppm.sys,C:\Windows\System32\drivers\
WW307KLP,mslldp.sys,C:\Windows\system32\drivers\
WW307KLP,PSHED.dll,C:\Windows\system32\
WW307KLP,disk.sys,C:\Windows\System32\drivers\
WW307KLP,rdbss.sys,C:\Windows\system32\DRIVERS\
WW307KLP,condrv.sys,C:\Windows\System32\drivers\
WW307KLP,ntoskrnl.exe,C:\Windows\system32\
WW307KLP,tunnel.sys,C:\Windows\System32\drivers\
WW307KLP,netkvm.sys,C:\Windows\System32\drivers\
WW307KLP,msisadrv.sys,C:\Windows\System32\drivers\
WW307KLP,mcupdate.dll,C:\Windows\system32\mcupdate_Genu
WW307KLP,kdnic.sys,C:\Windows\System32\drivers\
WW307KLP,netbt.sys,C:\Windows\System32\DRIVERS\
WW307KLP,EhStorClass.sys,C:\Windows\System32\drivers\
WW307KLP,volmgr.sys,C:\Windows\System32\drivers\
WW307KLP,msrpc.sys,C:\Windows\System32\drivers\
WW307KLP,vdrvroot.sys,C:\Windows\System32\drivers\
WW307KLP,srv.sys,C:\Windows\System32\DRIVERS\
WW307KLP,tdx.sys,C:\Windows\system32\DRIVERS\
WW307KLP,TSDDD.dll,C:\Windows\System32\
WW307KLP,win32k.sys,C:\Windows\System32\
WW307KLP,WdFilter.sys,C:\Windows\system32\drivers\
WW307KLP,tbs.sys,C:\Windows\system32\drivers\
WW307KLP,afd.sys,C:\Windows\system32\drivers\
WW307KLP,spaceport.sys,C:\Windows\System32\drivers\
WW307KLP,i8042prt.sys,C:\Windows\System32\drivers\
WW307KLP,serial.sys,C:\Windows\System32\drivers\
WW307KLP,gpuenergydrv.sys,C:\Windows\System32\drivers\
WW307KLP,registry.sys,C:\Windows\System32\drivers\
WW307KLP,CLFS.SYS,C:\Windows\System32\drivers\
WW307KLP,dxgmms2.sys,C:\Windows\System32\drivers\
WW307KLP,swenum.sys,C:\Windows\System32\drivers\
WW307KLP,serenum.sys,C:\Windows\System32\drivers\
WW307KLP,clipsp.sys,C:\Windows\System32\drivers\
WW307KLP,ksecpkg.sys,C:\Windows\System32\Drivers\
WW307KLP,acpiex.sys,C:\Windows\System32\Drivers\
WW307KLP,terminpt.sys,C:\Windows\System32\drivers\
WW307KLP,mssmbios.sys,C:\Windows\System32\drivers\
WW307KLP,Fs_Rec.sys,C:\Windows\System32\Drivers\
WW307KLP,pcw.sys,C:\Windows\System32\drivers\
WW307KLP,WMILIB.SYS,C:\Windows\System32\drivers\
WW307KLP,partmgr.sys,C:\Windows\System32\drivers\
WW307KLP,CLASSPNP.SYS,C:\Windows\System32\drivers\
WW307KLP,TDI.SYS,C:\Windows\system32\DRIVERS\
WW307KLP,pci.sys,C:\Windows\System32\drivers\
WW307KLP,volume.sys,C:\Windows\System32\drivers\
WW307KLP,filecrypt.sys,C:\Windows\system32\drivers\
WW307KLP,vioscsi.sys,C:\Windows\System32\drivers\
WW307KLP,lltdio.sys,C:\Windows\system32\drivers\
WW307KLP,win32kfull.sys,C:\Windows\System32\
WW307KLP,storqosflt.sys,C:\Windows\system32\drivers\
WW307KLP,ACPI.sys,C:\Windows\System32\drivers\
WW307KLP,wcifs.sys,C:\Windows\system32\drivers\
WW307KLP,volmgrx.sys,C:\Windows\System32\drivers\
WW307KLP,srvnet.sys,C:\Windows\System32\DRIVERS\
WW307KLP,monitor.sys,C:\Windows\System32\drivers\
WW307KLP,watchdog.sys,C:\Windows\System32\drivers\
WW307KLP,CI.dll,C:\Windows\system32\
WW307KLP,NETIO.SYS,C:\Windows\system32\DRIVERS\
WW307KLP,bowser.sys,C:\Windows\system32\DRIVERS\
WW307KLP,dfsc.sys,C:\Windows\System32\Drivers\
WW307KLP,mpsdrv.sys,C:\Windows\System32\drivers\
WW307KLP,rdpvideominiport.sys,C:\Windows\System32\drivers\
WW307KLP,CompositeBus.sys,C:\Windows\System32\DriverStore\FileRepository\compositebus.inf_amd64_a140581a8f8b58b7\
