hostname,fullpath,filepath,drive,filename,fileextension,username
NC546YHJ,c:\Windows\System32\wercplsupport.dll,Windows\System32,c,wercplsupport.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\drivers\netbt.sys,Windows\System32\drivers,c,netbt.sys,sys,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\dhcpcore.dll,Windows\System32,c,dhcpcore.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\cortanamapihelper.dll,Windows\System32,c,cortanamapihelper.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\program files (x86)\openoffice 4\program\shlxthdl\ooofilt.dll,program files (x86)\openoffice 4\program\shlxthdl,c,ooofilt.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,C:\Windows\SysWOW64\mshta.exe,Windows\SysWOW64,C,mshta.exe,exe,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\windows.networking.networkoperators.hotspotauthentication.dll,Windows\System32,c,windows.networking.networkoperators.hotspotauthentication.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\msflacdecoder.dll,Windows\System32,c,msflacdecoder.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\wlidsvc.dll,Windows\System32,c,wlidsvc.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\nlasvc.dll,Windows\System32,c,nlasvc.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\wbem\WMIPIPRT.dll,Windows\System32\wbem,c,WMIPIPRT.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\SysWOW64\smartscreenps.dll,Windows\SysWOW64,c,smartscreenps.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\reportingcsp.dll,Windows\System32,c,reportingcsp.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\shimgvw.dll,Windows\System32,c,shimgvw.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\winmde.dll,Windows\System32,c,winmde.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\cngprovider.dll,Windows\System32,c,cngprovider.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\program files\McAfee\MSK\msksrvr.dll,program files\McAfee\MSK,c,msksrvr.dll,dll,BUILTIN\Administrators
NC546YHJ,c:\Windows\System32\drivers\processr.sys,Windows\System32\drivers,c,processr.sys,sys,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\SysWOW64\msaatext.dll,Windows\SysWOW64,c,msaatext.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\SysWOW64\windows.gaming.input.dll,Windows\SysWOW64,c,windows.gaming.input.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\drivers\tcpipreg.sys,Windows\System32\drivers,c,tcpipreg.sys,sys,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\recovery.dll,Windows\System32,c,recovery.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\VPNv2CSP.dll,Windows\System32,c,VPNv2CSP.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\SysWOW64\errordetailsupdate.dll,Windows\SysWOW64,c,errordetailsupdate.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\windows.cortana.onecore.dll,Windows\System32,c,windows.cortana.onecore.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\program files\McAfee\webadvisor\x64\ieplugin.dll,program files\McAfee\webadvisor\x64,c,ieplugin.dll,dll,BUILTIN\Administrators
NC546YHJ,c:\Windows\System32\drivers\nvme.sys,Windows\System32\drivers,c,nvme.sys,sys,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\Speech\Engines\TTS\msttsengine.dll,Windows\System32\Speech\Engines\TTS,c,msttsengine.dll,dll,NT AUTHORITY\SYSTEM
