hostname,name,pid,descriptivename,description,path,pathmd5sum,arguments,pathcertificatesubject,pathsignatureverified,pathsignaturedescription,pathcertificateissuer
EN377CQX,flpydisk,0,Floppy Disk Driver,,C:\Windows\System32\drivers\flpydisk.sys,34899d73ae208b44dc8d67c8781987f9,\SystemRoot\System32\drivers\flpydisk.sys,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Production PCA 2011
EN377CQX,FrameServer,0,Windows Camera Frame Server,Enables multiple clients to access video frames from camera devices.,C:\Windows\System32\svchost.exe,ff2c8f3fa2b179ecfe369e0aa3252362,C:\Windows\System32\svchost.exe -k Camera,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Production PCA 2011
EN377CQX,IKEEXT,0,IKE and AuthIP IPsec Keying Modules,The IKEEXT service hosts the Internet Key Exchange (IKE) and Authenticated Internet Protocol (AuthIP) keying modules. These keying modules are used for authentication and key exchange in Internet Protocol security (IPsec). Stopping or disabling the IKEEXT service will disable IKE and AuthIP key exchange with peer computers. IPsec is typically configured to use IKE or AuthIP; therefore  stopping or disabling the IKEEXT service might result in an IPsec failure and might compromise the security of the system. It is strongly recommended that you have the IKEEXT service running.,C:\Windows\System32\svchost.exe,ff2c8f3fa2b179ecfe369e0aa3252362,C:\Windows\system32\svchost.exe -k netsvcs -p,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Production PCA 2011
EN377CQX,acpiex,0,Microsoft ACPIEx Driver,,C:\Windows\System32\drivers\acpiex.sys,08f915d3c4973d9292e84599c89194f3,\SystemRoot\System32\Drivers\acpiex.sys,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Production PCA 2011
EN377CQX,DiagTrack,4052,Connected User Experiences and Telemetry,The Connected User Experiences and Telemetry service enables features that support in-application and connected user experiences. Additionally  this service manages the event driven collection and transmission of diagnostic and usage information (used to improve the experience and quality of the Windows Platform) when the diagnostics and usage privacy option settings are enabled under Feedback and Diagnostics.,C:\Windows\System32\svchost.exe,ff2c8f3fa2b179ecfe369e0aa3252362,C:\Windows\System32\svchost.exe -k utcsvc -p,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Production PCA 2011
EN377CQX,cdfs,0,CD/DVD File System Reader,ISO9660/Joliet File System Reader for CD/DVDs. (Core) (All pieces),C:\Windows\System32\drivers\cdfs.sys,3887fd6f83a5ebc0fb487b2ba100caf2,system32\DRIVERS\cdfs.sys,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Production PCA 2011
EN377CQX,mouhid,0,Mouse HID Driver,,C:\Windows\System32\drivers\mouhid.sys,45f75b7f38f5eccc8b115b37ee847813,\SystemRoot\System32\drivers\mouhid.sys,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Production PCA 2011
EN377CQX,shpamsvc,0,Shared PC Account Manager,Manages profiles and accounts on a SharedPC configured device,C:\Windows\System32\svchost.exe,ff2c8f3fa2b179ecfe369e0aa3252362,C:\Windows\System32\svchost.exe -k netsvcs -p,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Production PCA 2011
EN377CQX,bam,0,Background Activity Moderator Driver,Controls activity of background applications,C:\Windows\System32\drivers\bam.sys,65c52225d73abcacda6d0f07b2994c98,system32\drivers\bam.sys,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Production PCA 2011
EN377CQX,TPM,0,TPM,TPM Driver,C:\Windows\System32\drivers\tpm.sys,700377a342cd58a7ba55a626058bfeec,\SystemRoot\System32\drivers\tpm.sys,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Production PCA 2011
