hostname,pid,name,md5sum,signatureexists,signatureverified,description,certificatesubject,certificateissuer
EB447CLL,4216,C:\Windows\System32\en-US\user32.dll.mui,83cc880762bfd7cd6fc98f1fa5e55340,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB447CLL,6448,C:\Windows\System32\kerberos.dll,a0fcbdd84eb6151a456834cd81de59da,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB447CLL,3640,C:\Windows\System32\mswsock.dll,81a1b0b8d2a00e924b538eb77ea9b59c,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB447CLL,5132,C:\Windows\System32\secur32.dll,87dba08e5bda78f3ee9cc6a83596c9d9,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB447CLL,6196,C:\Windows\System32\kernel32.dll,9b1554a2622e176572648859f6c8212c,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB447CLL,6120,C:\Windows\System32\dhcpcsvc6.dll,9881847f67ad9c84c4e908201fdf8596,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB447CLL,5056,C:\Windows\System32\bcrypt.dll,b9f46af6e12e60ac1d5c9dca3e6975d4,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB447CLL,5056,C:\Windows\System32\lpk.dll,7e5c91743308175f521d2274f0cdbcef,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB447CLL,6196,C:\Windows\System32\schannel.dll,85b737f4700dff685009db8702eddf89,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB447CLL,2632,C:\Windows\System32\en-US\lsm.exe.mui,de81fe9b34cbdab69fff9d41f9e0fd09,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB447CLL,6176,C:\Windows\System32\ws2_32.dll,58cb6821e34b2483a011b8e10607e580,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB447CLL,1108,C:\Windows\System32\cryptbase.dll,fbd94b51dd709f69c5ef303ffda26a00,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB447CLL,3640,C:\Windows\System32\KernelBase.dll,4ff70996984a5e51241d49b183f8ec3b,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB447CLL,3640,C:\Windows\System32\ncrypt.dll,dd27f5c38399a85e5fa74bca4c8e5151,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB447CLL,5056,C:\Windows\System32\shell32.dll,b0a61132fe554caddb359466a49e1788,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB447CLL,6000,C:\Windows\System32\ntdll.dll,d12d8c0ab2d80209739ae444fddde49d,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB447CLL,4812,C:\Windows\System32\msasn1.dll,636a67564a0eea6843a588692b8140ad,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB447CLL,4216,C:\Windows\System32\ntdll.dll,d12d8c0ab2d80209739ae444fddde49d,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB447CLL,6252,C:\Windows\System32\rsaenh.dll,b5bcbdaf8d97bf91b58e0d05978ee1b7,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB447CLL,5781,C:\Users\jos.turne\AppData\Local\Temp\scoped_dir9616_4071\mcafee_trial_setup_433.0207.3919_key.exe,18b133d5712480398ade6add171137f5,false,false,,,
EB447CLL,6252,C:\Windows\System32\slc.dll,65d905293dc4cafa4fdc321fbc1cd9e3,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB447CLL,3640,C:\Windows\System32\userenv.dll,e200c766b9bfc926934f901214dfaafd,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB447CLL,5132,C:\Windows\System32\cryptsp.dll,d3f7016071cb526478caa710356bb39e,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB447CLL,6120,C:\Windows\System32\kernel32.dll,9b1554a2622e176572648859f6c8212c,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB447CLL,6176,C:\Windows\System32\oleaut32.dll,5ecdae7ccf7babb1b05c3ae915a867cf,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB447CLL,1316,C:\Windows\System32\mswsock.dll,81a1b0b8d2a00e924b538eb77ea9b59c,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB447CLL,5744,C:\Windows\System32\schannel.dll,85b737f4700dff685009db8702eddf89,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB447CLL,8,C:\Windows\Fonts\sserife.fon,f2a9a2671523763d3c79f966d1cab094,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB447CLL,4812,C:\Windows\System32\usp10.dll,a1e95979b20df4fa8b92b3b9248ed179,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB447CLL,3640,C:\Windows\System32\dhcpcsvc.dll,cc373fcff33d0f385caefcbbd344263b,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB447CLL,1316,C:\Windows\System32\wship6.dll,33cd8f3e3d62823db6eaa2d505992f3e,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB447CLL,4216,C:\Windows\System32\cryptbase.dll,fbd94b51dd709f69c5ef303ffda26a00,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB447CLL,3640,C:\Windows\System32\clbcatq.dll,e05a5f5b578b31e4a9fa46c88a5dcaf4,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB447CLL,3984,C:\Windows\System32\ntdll.dll,d12d8c0ab2d80209739ae444fddde49d,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB447CLL,5132,C:\Windows\System32\pnrpnsp.dll,e88c3b8f517dce46d3448165eb6f729e,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB447CLL,4812,C:\Windows\System32\profapi.dll,e5f2f3b35d87391b39d8b6a20c3f0282,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB447CLL,6448,C:\Windows\System32\imm32.dll,bfc0ba82668401f97735a24ade59f3f9,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB447CLL,1344,C:\Windows\System32\rpcrt4.dll,4411cb0727b7bc9f27181a612e2c737a,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB447CLL,6120,C:\Windows\System32\sspicli.dll,305b705f4d3f28e698421d1eb804e40a,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB447CLL,5132,C:\Windows\System32\slc.dll,65d905293dc4cafa4fdc321fbc1cd9e3,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB447CLL,4812,C:\Windows\System32\ws2_32.dll,58cb6821e34b2483a011b8e10607e580,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB447CLL,1316,C:\Windows\System32\pnrpsvc.dll,b9abbcd0091965ad1f0e61078c5ffe6f,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB447CLL,3984,C:\Windows\System32\shlwapi.dll,fa8550a3b7bf6dc42bc17e69bef950fe,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB447CLL,6176,C:\Windows\System32\srvcli.dll,dd4ac41c0ce2c12292dd923ce491ddae,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB447CLL,5056,C:\Windows\System32\en-US\crypt32.dll.mui,f86761aa352c561926ff04a5d6183597,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB447CLL,1344,C:\Windows\System32\user32.dll,aa4cd3028e70031f59f657db294d3701,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB447CLL,6120,C:\Windows\System32\crypt32.dll,7e7a1b2b15516140b1cffbb24fd0f62f,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB447CLL,5132,C:\Windows\System32\drttransport.dll,3b22cbef2a98eb01913fc2b7b9996be1,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB447CLL,6448,C:\Windows\System32\TSpkg.dll,15caf4afa236de2b39aae8bd302a08fb,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB447CLL,1316,C:\Windows\System32\crypt32.dll,7e7a1b2b15516140b1cffbb24fd0f62f,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB447CLL,6448,C:\Windows\System32\authz.dll,2a61238707e723c3be87974ada1eec73,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB447CLL,6120,C:\Windows\System32\ssdpapi.dll,f416293873ff9fcf258b1798c46c10af,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB447CLL,4216,C:\Windows\System32\apphelp.dll,e9969703175ba21362f6552dc8b23b03,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB447CLL,5056,C:\Windows\System32\schannel.dll,85b737f4700dff685009db8702eddf89,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB447CLL,1200,C:\Windows\System32\clbcatq.dll,e05a5f5b578b31e4a9fa46c88a5dcaf4,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB447CLL,6120,C:\Windows\System32\pnrpsvc.dll,b9abbcd0091965ad1f0e61078c5ffe6f,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB447CLL,5744,C:\Windows\System32\msasn1.dll,636a67564a0eea6843a588692b8140ad,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB447CLL,6176,C:\Windows\System32\cryptsp.dll,d3f7016071cb526478caa710356bb39e,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB447CLL,5132,C:\Windows\System32\pnrpsvc.dll,b9abbcd0091965ad1f0e61078c5ffe6f,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB447CLL,6176,C:\Windows\System32\winnsi.dll,d1e318b8789a97e19ccfa17db2624b89,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB447CLL,5356,C:\Windows\System32\en-US\KernelBase.dll.mui,a5d179ee13c581082a12579abb718c23,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
