hostname,pid,name,md5sum,signatureexists,signatureverified,description,certificatesubject,certificateissuer
EB466KUW,6168,C:\Windows\System32\IPHLPAPI.DLL,6e0fc5298048365b06addab3b291b963,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB466KUW,2448,C:\Windows\System32\cryptsp.dll,381a5bae2ce567395d006d3d34757610,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB466KUW,3948,C:\Windows\System32\kernel32.dll,226d55530543e7bc866be7c7d7053deb,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB466KUW,5568,C:\Windows\System32\svchost.exe,3720c76ddafd3a8604dbaa1ea25c66c9,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB466KUW,6088,C:\Windows\System32\ntdll.dll,9104e30f24b7fdb1be0268c3e151ca6a,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB466KUW,4252,C:\Windows\System32\drt.dll,3005d20f36bb8b3bfbf18e1ef3a62491,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB466KUW,6212,C:\Windows\System32\secur32.dll,d9fd41e57930925b48163f38ef45ce4a,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB466KUW,3948,C:\Windows\System32\cryptbase.dll,129f8869ccb0ada1b12cc5e636c53954,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB466KUW,3676,C:\Windows\System32\mswsock.dll,048d056b48db922c01f91e5d946359f1,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB466KUW,5108,C:\Windows\System32\RpcRtRemote.dll,1d965930802d72d51da9db6464f235f4,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB466KUW,5712,C:\Windows\System32\ntmarta.dll,a3a8cd4d2373fd36fb0f6dc12e51cb5a,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB466KUW,1048,C:\Windows\System32\userenv.dll,e51fccdd752ff434ad3a219d85ea5763,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB466KUW,456,C:\Windows\System32\psapi.dll,c00d45f20076d07c57d15e72f56995f6,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB466KUW,5064,C:\Windows\System32\ntdll.dll,9104e30f24b7fdb1be0268c3e151ca6a,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB466KUW,544,C:\Windows\System32\ncrypt.dll,60c4c8c3ac42bc5846ed800bec4f1922,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB466KUW,1932,C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe,0fd91ce0fa6f9bba859653a8097bb2b7,false,false,,,
EB466KUW,3252,C:\Windows\System32\sqmapi.dll,0490085a7f7118e48bea18ded53a5924,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB466KUW,2000,C:\Windows\System32\user32.dll,5b8dccac0254ba617ee187a4708a14e5,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB466KUW,4916,C:\Windows\System32\nsi.dll,769793daf9ba0435fc5cab999df407f5,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EB466KUW,1816,C:\Windows\System32\wship6.dll,14faad4e0c90ff7e5e5fe9af82ecaf13,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
