hostname,pid,name,md5sum,signatureexists,signatureverified,description,certificatesubject,certificateissuer
EE171MIY,4260,C:\Windows\System32\ntmarta.dll,4800dc3a4b30329a606171c54a188659,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EE171MIY,6324,C:\Windows\System32\kernel32.dll,840d1ee04395dc147430a55e80a10239,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EE171MIY,4260,C:\Windows\System32\svchost.exe,aa51ceaff93cd76a18af70c36d7c2899,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EE171MIY,3080,C:\Windows\System32\cryptsp.dll,933b67f31e60b044384631bd4c4694e5,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EE171MIY,3880,C:\Windows\System32\oleaut32.dll,74c9b271d35549a5b5c73163cf8a5301,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EE171MIY,3080,C:\Windows\System32\en-US\KernelBase.dll.mui,a9c90af4793c5aa398b55e2ff0eeaba5,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EE171MIY,3768,C:\Windows\System32\advapi32.dll,ea9955d1c6b19d0373b33cc0c2113882,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EE171MIY,4892,C:\Windows\System32\rsaenh.dll,d8aa7c113aaebadf0bb5c73f5a16a00d,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EE171MIY,3768,C:\Windows\Globalization\Sorting\SortDefault.nls,664f103433a3b8c2004365f685c3c893,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EE171MIY,6184,C:\Windows\System32\ws2_32.dll,fa3af4cf6cebcc665ed096a9491c0ee1,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EE171MIY,4260,C:\Windows\System32\P2PGraph.dll,5da468fb7ac7bb0e3199e26193ca94f9,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EE171MIY,3428,C:\Windows\System32\bcrypt.dll,25caa8b393fb2251763335dd6a31aa5a,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EE171MIY,3880,C:\Windows\System32\advapi32.dll,ea9955d1c6b19d0373b33cc0c2113882,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EE171MIY,3768,C:\Windows\System32\en-US\p2psvc.dll.mui,d8a911c488a0e470a938b757bb052ca8,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EE171MIY,4260,C:\Windows\System32\bcrypt.dll,25caa8b393fb2251763335dd6a31aa5a,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EE171MIY,6052,C:\Windows\System32\authz.dll,617b2f8bd0b373dae05cae7748fdf2fd,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
