hostname,pid,name,md5sum,signatureexists,signatureverified,description,certificatesubject,certificateissuer
EE827RRK,5848,C:\Windows\System32\xmllite.dll,4ae5b36bc6ae401c0569cb048b014f98,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EE827RRK,5260,C:\Windows\System32\locale.nls,a455a1eb5589387703b6cf7332cf2599,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EE827RRK,5848,C:\Windows\System32\schannel.dll,6e0a65e2e2e55ba579c399b33afdfdc5,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EE827RRK,1484,C:\Windows\System32\winmm.dll,787025f20cc7265c09fdd5e98d07b7f5,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EE827RRK,3164,C:\Windows\System32\drttransport.dll,0850a63ffc998603128eb47aa5222a91,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EE827RRK,1484,C:\Windows\System32\rsaenh.dll,a75f103dba9e8fb35727c0419b0b5d59,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EE827RRK,956,C:\Windows\System32\sxsstore.dll,a7d688e04d7ae93ce233a0c5aa828df4,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EE827RRK,3400,C:\Windows\System32\oleacc.dll,eb80b0c2313aea6b36f2305ab8954cf6,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EE827RRK,540,C:\Windows\SoftwareDistribution\DataStore\DataStore.edb,6a26b632854cad49c3b1c97a4275f136,true,false,The form specified for the subject is not one supported or known by the specified trust provider.,,
EE827RRK,540,C:\Windows\System32\lpk.dll,191dd4abc41854413a2a9068cf800bc4,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EE827RRK,32,C:\Windows\System32\PortableDeviceApi.dll,fddf9b5c3a71d9f1dff89bde4cfc011c,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EE827RRK,6360,C:\Windows\System32\IPHLPAPI.DLL,3d6fabfb506307adc9b86a22607665f6,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
