hostname,pid,name,md5sum,signatureexists,signatureverified,description,certificatesubject,certificateissuer
EN188FRX,3108,C:\Windows\System32\wship6.dll,f6084a4e19c0617a33c1981ef8e6f8f8,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EN188FRX,2932,C:\Windows\System32\cryptbase.dll,129f8869ccb0ada1b12cc5e636c53954,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EN188FRX,1960,C:\Windows\System32\gpapi.dll,a699407fcd6d893dedff0e272551fef2,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EN188FRX,3736,C:\Windows\System32\crypt32.dll,3301947fe6e912b3dbbd3c41ea7c8bfa,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EN188FRX,5180,C:\Windows\System32\msctf.dll,eb0cfda7b5d95d2e211bc30fda1554ab,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EN188FRX,4088,C:\Windows\System32\drt.dll,4d9edfdf5bf9bcd6c05d571d7bf51a9f,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EN188FRX,4944,C:\Windows\System32\sechost.dll,3a26c5b2e5e5d62aa1a0628f3b666189,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EN188FRX,2664,C:\Windows\System32\ncrypt.dll,2d77f4a1a2e9332f6b446269977d75a1,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EN188FRX,6440,C:\Windows\System32\authz.dll,871e3254f1757f0945270e9a325d5d98,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EN188FRX,2604,C:\Windows\System32\clbcatq.dll,3e0dd0ad55869f2e9d32642bed1d4cae,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EN188FRX,4994,C:\Windows\System32\usp10.dll,9f6d0f5466b0f997c34ce4dbd017d8df,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EN188FRX,693,C:\Program Files\internet explorer\iexplore.exe,dfbcc3e308cdec174302e84d0ce4fec2,false,false,,,
EN188FRX,1144,C:\Windows\System32\nsi.dll,106a70915f7d8a03df6b7262dfb82fce,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EN188FRX,6488,C:\Windows\System32\drttransport.dll,0850a63ffc998603128eb47aa5222a91,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EN188FRX,4172,C:\Windows\System32\gdi32.dll,ab400472d644e55c95ec412780994e63,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EN188FRX,1144,C:\Windows\System32\cryptbase.dll,129f8869ccb0ada1b12cc5e636c53954,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EN188FRX,1792,C:\Windows\System32\locale.nls,1cbd4eb4e17edd7119358bad8fe1245e,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EN188FRX,2828,C:\Windows\System32\esent.dll,ea01950499d084d47add84500bb313c8,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EN188FRX,2080,C:\Windows\System32\slc.dll,e2e164656e3ef21707cd187626cd9315,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EN188FRX,4060,C:\Windows\System32\mswsock.dll,f2c5fc6a30a8f94e90cdb659f3526bd4,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EN188FRX,4060,C:\Windows\System32\ole32.dll,619975d76f94eb66858009a220387592,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EN188FRX,5992,C:\Windows\System32\rsaenh.dll,ded4481a7a47e91a43f951d38a5c7023,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EN188FRX,2700,C:\Windows\System32\gdi32.dll,ab400472d644e55c95ec412780994e63,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EN188FRX,1892,C:\Windows\System32\slc.dll,e2e164656e3ef21707cd187626cd9315,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EN188FRX,1316,C:\Windows\System32\shlwapi.dll,1257cfba92b48e9b1b1687ef798037c4,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EN188FRX,3736,C:\Windows\System32\msvcrt.dll,63de5e54093ea8994289769ef1ac897d,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EN188FRX,4668,C:\Windows\System32\ssdpapi.dll,133817126dff82ef2bd44c3d510ef471,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EN188FRX,3872,C:\Windows\System32\drt.dll,4d9edfdf5bf9bcd6c05d571d7bf51a9f,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EN188FRX,6440,C:\Windows\System32\usp10.dll,9f6d0f5466b0f997c34ce4dbd017d8df,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EN188FRX,816,C:\Windows\System32\secur32.dll,928a0f2e21b583e0001f1c3baaea1ae7,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EN188FRX,4696,C:\Windows\System32\p2psvc.dll,a6c9c77953a1ea789633804c3c16bd82,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EN188FRX,5084,C:\Windows\System32\crypt32.dll,3301947fe6e912b3dbbd3c41ea7c8bfa,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EN188FRX,2732,C:\Windows\System32\en-US\p2psvc.dll.mui,31781a6a0d25471abf94c38d8d60ecd9,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EN188FRX,2832,C:\Windows\System32\imm32.dll,4c2187a81dc34e8e691a5eeb94f05730,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EN188FRX,2496,C:\Windows\System32\esent.dll,ea01950499d084d47add84500bb313c8,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EN188FRX,380,C:\Windows\System32\sspicli.dll,0c25827f6829de99c76757bad9382441,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EN188FRX,4060,C:\Windows\System32\rsaenh.dll,ded4481a7a47e91a43f951d38a5c7023,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EN188FRX,6352,C:\Windows\Globalization\Sorting\SortDefault.nls,11b9941920ddd343baeff44ccac228b1,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EN188FRX,5252,C:\Windows\System32\msvcrt.dll,63de5e54093ea8994289769ef1ac897d,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EN188FRX,1352,C:\Windows\System32\shlwapi.dll,1257cfba92b48e9b1b1687ef798037c4,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EN188FRX,5096,C:\Windows\System32\bcrypt.dll,4f93fbb95f69f62ec0e1896d87f63339,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EN188FRX,468,C:\Windows\System32\en-US\svchost.exe.mui,07df9a3227e1ae7f11a728ec6529d035,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
EN188FRX,4400,C:\Windows\System32\shell32.dll,1ed5888c214d057b49b14fc87cddb929,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
