hostname,pid,name,md5sum,signatureexists,signatureverified,description,certificatesubject,certificateissuer
ET932KJK,5896,C:\Windows\System32\wtsapi32.dll,6e7457e3284472e10a61456d2579c660,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ET932KJK,4192,C:\Windows\System32\mswsock.dll,81a1b0b8d2a00e924b538eb77ea9b59c,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ET932KJK,544,C:\Windows\System32\taskhost.exe,20c40181c89c56ab36490a69d00c3f67,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ET932KJK,8,C:\Windows\System32\credssp.dll,66bb9891471f1e78605b6afaa250535e,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ET932KJK,849,C:\Windows\System32\user32.dll,248d2ef64f6f8c74b73ea7c5f101372b,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ET932KJK,4172,C:\Windows\System32\nsi.dll,b2ce611fb34419f68b9d8cdb266fca34,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ET932KJK,4972,C:\Windows\System32\apisetschema.dll,55fe41b09653cce7988d91bfb2aa061c,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ET932KJK,4192,C:\Windows\System32\imm32.dll,5d4b335f75923edb7717aa771cfe296f,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ET932KJK,1212,C:\Windows\System32\usp10.dll,d486d057dc7e51e8b99e8f8a87707929,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ET932KJK,8,C:\Windows\System32\advapi32.dll,d5c3ce2a0d52c7e41f2522e7f303c9bf,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ET932KJK,808,C:\Windows\System32\rpcrt4.dll,7b5eabcfc13793e79c344736f9497774,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ET932KJK,6452,C:\Windows\Fonts\timesbd.ttf,29db5b603ccf1dfdcd44c7f844547dd1,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ET932KJK,8,C:\Windows\System32\KernelBase.dll,ac7f2e23d6299c9525eecace01eaecce,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ET932KJK,4192,C:\Windows\System32\en-US\crypt32.dll.mui,a257f63de2ba4a32160a0c748611d62f,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ET932KJK,1212,C:\Windows\System32\msasn1.dll,636a67564a0eea6843a588692b8140ad,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ET932KJK,4172,C:\Windows\System32\cryptsp.dll,e7363b95ea61c6e9c75298fdcc6852ee,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ET932KJK,4972,C:\Windows\System32\drt.dll,23e520498e6b5d5a18e926c6a57ab09d,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ET932KJK,5896,C:\Windows\System32\winnsi.dll,56e59ee849f02d917bc5e430de4bfe11,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ET932KJK,8,C:\Windows\System32\wship6.dll,a0c91aa5f123862f073e88a2fd4061f9,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ET932KJK,3120,C:\Windows\System32\advapi32.dll,d5c3ce2a0d52c7e41f2522e7f303c9bf,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ET932KJK,808,C:\Windows\System32\cryptsp.dll,e7363b95ea61c6e9c75298fdcc6852ee,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ET932KJK,1212,C:\Windows\System32\locale.nls,dc654fb0f15fffa5d6a5597680bdb4a4,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ET932KJK,572,C:\Windows\System32\gdi32.dll,9222024e627a4a886a9f1cbdd9020989,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
