hostname,pid,name,md5sum,signatureexists,signatureverified,description,certificatesubject,certificateissuer
SB682YOC,2760,C:\Windows\System32\ntdll.dll,757bf8ee31f40c99e82935b8fa7a219c,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SB682YOC,3608,C:\Windows\System32\ntmarta.dll,850a02b748352abe8e96bb95b8ab61cd,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SB682YOC,3608,C:\Windows\System32\apisetschema.dll,5291a5bccbf8c1a47bd9ad547768a61a,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SB682YOC,3812,C:\Windows\System32\apisetschema.dll,5291a5bccbf8c1a47bd9ad547768a61a,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SB682YOC,3060,C:\Windows\System32\psapi.dll,b18584b07746f1d5fd8feea18a517546,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SB682YOC,3832,C:\Windows\System32\psapi.dll,b18584b07746f1d5fd8feea18a517546,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SB682YOC,4568,C:\Windows\System32\pnrpnsp.dll,2d8145ca17e2fd7c9f4a2af6ede5c102,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SB682YOC,380,C:\Windows\System32\crypt32.dll,4670fe7e9c316c594ba71e4bb21b32f4,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SB682YOC,3832,C:\Windows\System32\sqmapi.dll,0490085a7f7118e48bea18ded53a5924,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SB682YOC,3812,C:\Windows\System32\wship6.dll,0f7668a51b1574c33eca63581ab9a0a9,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SB682YOC,1984,C:\Windows\System32\en-US\p2psvc.dll.mui,ac40842dd08796928cd68156c86159ea,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SB682YOC,3608,C:\Windows\System32\msvcrt.dll,4ae02a3b9cfeacea82e61287786d7b67,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SB682YOC,3832,C:\Windows\System32\esent.dll,619f8989fe485b6d204524893bcc8a72,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SB682YOC,3544,C:\Windows\System32\msvcrt.dll,4ae02a3b9cfeacea82e61287786d7b67,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SB682YOC,4568,C:\Windows\System32\profapi.dll,78a2cf3a1bb7ed2936bf947719924919,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SB682YOC,3060,C:\Windows\System32\bcrypt.dll,b9f46af6e12e60ac1d5c9dca3e6975d4,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SB682YOC,1420,C:\Windows\System32\shlwapi.dll,f8398998c985c5e2a319276a690f464c,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SB682YOC,6032,C:\Windows\System32\ntdll.dll,757bf8ee31f40c99e82935b8fa7a219c,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SB682YOC,2684,C:\Windows\System32\ntdll.dll,757bf8ee31f40c99e82935b8fa7a219c,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SB682YOC,1984,C:\Windows\System32\pnrpnsp.dll,2d8145ca17e2fd7c9f4a2af6ede5c102,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SB682YOC,5060,C:\Windows\Globalization\Sorting\SortDefault.nls,cbf2ef4eca615658974cc9d71296dfca,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SB682YOC,5060,C:\Windows\System32\shlwapi.dll,f8398998c985c5e2a319276a690f464c,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SB682YOC,20,C:\Windows\System32\clbcatq.dll,4e9b6f8123b27702d05d40afe07601f2,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SB682YOC,368,C:\Windows\Fonts\segoeuii.ttf,86c33043aeec6802b0225c43d836485b,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
