hostname,pid,name,md5sum,signatureexists,signatureverified,description,certificatesubject,certificateissuer
SN493OSY,2220,C:\Windows\System32\wship6.dll,d7e3461243579b6980e3bd6514a4c067,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SN493OSY,1688,C:\Windows\System32\drt.dll,dec6460fd347bf7b7be89b421d17ce17,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SN493OSY,3044,C:\Windows\System32\en-US\winsrv.dll.mui,17cb6b764d7bcd45f3e648568c5c07ee,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SN493OSY,3272,C:\Windows\System32\FXSST.dll,c9e623946a75ff54510d08264c414e85,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SN493OSY,4228,C:\Windows\System32\ntmarta.dll,c31a7977eb6493f8b5600d75e1ef6157,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SN493OSY,1228,C:\Windows\System32\profapi.dll,2ad6a078bfb893c2ebdca954a69cbc92,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SN493OSY,4340,C:\Windows\System32\locale.nls,b8bf572d9f4709c38cc14ed7fcf23b6a,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SN493OSY,1084,C:\Windows\System32\credssp.dll,2353608769fbf2b0f361ee5132fe7333,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SN493OSY,6184,C:\Windows\System32\lpk.dll,751079ff2940bd2461bfbd355028bc5f,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SN493OSY,2312,C:\Windows\System32\dhcpcsvc.dll,44d4e39c23842d08a807e6468641165a,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SN493OSY,2680,C:\Windows\System32\drt.dll,dec6460fd347bf7b7be89b421d17ce17,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SN493OSY,4168,C:\Windows\System32\userenv.dll,7da82c597b9225f35fefd13393524768,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SN493OSY,3272,C:\ProgramData\Microsoft\Windows\Caches\{DDF571F2-BE98-426D-8288-1A9A39C3FDA2}.2.ver0x0000000000000002.db,e8adc7a15c12e41e5339c526d451ffb2,true,false,The form specified for the subject is not one supported or known by the specified trust provider.,,
SN493OSY,4200,C:\Windows\System32\KernelBase.dll,07471c6e0de622798386896050b34d8a,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SN493OSY,4928,C:\Windows\System32\ole32.dll,46669a810338ae677f6756a448236150,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SN493OSY,4200,C:\Windows\System32\shlwapi.dll,ad9921708eea25476966112360eab7a0,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SN493OSY,2156,C:\Windows\System32\credssp.dll,2353608769fbf2b0f361ee5132fe7333,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SN493OSY,1084,C:\Windows\System32\version.dll,41d715dce4f46d30b8067261cf71f45b,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SN493OSY,1116,C:\Windows\System32\esent.dll,fe611d188c51c28b594f41eb1a5ef7d6,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SN493OSY,3012,C:\Windows\System32\sechost.dll,d8c69101c759271c9e4bf1d0792ea8d4,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SN493OSY,5236,C:\Windows\System32\en-US\svchost.exe.mui,32daaf88f1270107b96cedcb6b8fc963,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SN493OSY,2896,C:\Windows\Globalization\Sorting\SortDefault.nls,1f8003dbc951ae3f725ae058be0df4ab,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SN493OSY,3340,C:\Windows\System32\rpcrt4.dll,5fb71a6c97db9de4eec462ec815d8f76,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SN493OSY,1072,C:\Windows\Globalization\Sorting\SortDefault.nls,1f8003dbc951ae3f725ae058be0df4ab,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SN493OSY,4468,C:\Windows\System32\ncrypt.dll,a72da4c213a5a48629c81cee49fd79aa,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SN493OSY,1116,C:\Windows\System32\nsi.dll,962361da99182c614971487f2c9fbfb5,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SN493OSY,2896,C:\Windows\System32\en-US\KernelBase.dll.mui,2af32f3ea24413832cceba1eb28287b0,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SN493OSY,4168,C:\Windows\System32\shlwapi.dll,ad9921708eea25476966112360eab7a0,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SN493OSY,116,C:\Windows\Globalization\Sorting\SortDefault.nls,1f8003dbc951ae3f725ae058be0df4ab,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SN493OSY,4740,C:\Windows\System32\userenv.dll,7da82c597b9225f35fefd13393524768,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SN493OSY,784,C:\Windows\System32\pnrpsvc.dll,35e1c696c38a23f33ab88008ececdbc0,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SN493OSY,1672,C:\Windows\System32\pnrpnsp.dll,a2f4c356bb373d83bd5187fc35ae8dbb,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SN493OSY,6080,C:\Windows\System32\credssp.dll,2353608769fbf2b0f361ee5132fe7333,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SN493OSY,6080,C:\Windows\System32\sspicli.dll,3b5e940cea6968ffc029ff1e8b77ad8a,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SN493OSY,4168,C:\Windows\System32\user32.dll,9e86289e0d133da03691620831011845,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SN493OSY,4168,C:\Windows\System32\gpapi.dll,4dbff06df62e4b7b6170c3b5c2f4cee6,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SN493OSY,6376,C:\Windows\System32\credssp.dll,2353608769fbf2b0f361ee5132fe7333,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SN493OSY,784,C:\Windows\System32\bcrypt.dll,dfc8d17103c27109d940545037ae9720,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SN493OSY,744,C:\Windows\System32\RpcRtRemote.dll,d615eebd0dd097c216d0a6758e9fbfde,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SN493OSY,2124,C:\Windows\System32\sechost.dll,d8c69101c759271c9e4bf1d0792ea8d4,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SN493OSY,1116,C:\Windows\System32\rsaenh.dll,b5bcbdaf8d97bf91b58e0d05978ee1b7,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SN493OSY,2852,C:\Windows\System32\dhcpcsvc6.dll,ac3634b127d86ed20bb0fbb9720b1ce2,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SN493OSY,5816,C:\Windows\System32\mswsock.dll,b0a22c1e0978efbd55589080e619e606,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SN493OSY,2156,C:\Windows\System32\en-US\crypt32.dll.mui,694dcda8b15da66ef6a06e64265484f2,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SN493OSY,6376,C:\Windows\System32\ncrypt.dll,a72da4c213a5a48629c81cee49fd79aa,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SN493OSY,4528,C:\Windows\System32\ole32.dll,46669a810338ae677f6756a448236150,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
