hostname,pid,name,md5sum,signatureexists,signatureverified,description,certificatesubject,certificateissuer
WN118DOT,2856,C:\Windows\System32\ntdll.dll,985b64b7e6c677394d3c8855035ab2d8,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WN118DOT,1500,C:\Windows\System32\xmllite.dll,886abab6f47b9e564597cbdb55b95e8a,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WN118DOT,2480,C:\Windows\System32\en-US\crypt32.dll.mui,074328cc3d71ac8295618163af4ef616,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WN118DOT,4544,C:\Windows\System32\msxml6r.dll,c038694be48570c866c82351cc1fe9ff,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WN118DOT,5656,C:\Windows\System32\en-US\crypt32.dll.mui,074328cc3d71ac8295618163af4ef616,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WN118DOT,1312,C:\Windows\System32\IPHLPAPI.DLL,2310844625a5e8a94cccfced82463cdd,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WN118DOT,4613,c:\program files\common files\mcafee\modulecore\modulecoreservice.exe,4bed9dc4d14aa6df140d1123fe16814d,false,false,,,
WN118DOT,5152,C:\Windows\System32\d3d10_1.dll,375444c7758f54d53474db2bee5011bf,true,true,The file is signed and the signature was verified.,Microsoft Windows,
WN118DOT,1248,C:\Windows\System32\P2PGraph.dll,0c19af818aff70f02a569c1661d32b6b,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WN118DOT,2856,C:\Windows\System32\ws2_32.dll,90e4099e76716b591a80b50fd275de08,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WN118DOT,2636,C:\Windows\System32\shell32.dll,19ca01eafe93833f97cd6c0555368b2c,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WN118DOT,1496,C:\Windows\System32\wscapi.dll,d6b93b7d60437f7e0b3dfce6cec43ebb,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WN118DOT,2030,C:\Users\emismit11\AppData\Local\slack\app-3.1.1\slack.exe,1ee01bd4ec4e7d8f6ffe283c9c5bb28a,false,false,,,
WN118DOT,3548,C:\Windows\System32\authz.dll,617b2f8bd0b373dae05cae7748fdf2fd,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WN118DOT,5760,C:\Windows\System32\msctf.dll,3ab9db234dd86aa7cfcb15c87113507b,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WN118DOT,5152,C:\Windows\Globalization\Sorting\SortDefault.nls,69f193fbe92357b4eb12e851597b9b7c,true,true,The file is signed and the signature was verified.,Microsoft Windows,
WN118DOT,5656,C:\Windows\System32\gdi32.dll,350ebfd1fe593eebc8054681f55d4ee9,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WN118DOT,1496,C:\Windows\System32\timedate.cpl,322ed191e52bd3b30d03961e5adc6731,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
