hostname,name,arguments,username,path,pid
EN732CSS,wininit.exe,wininit.exe,NT AUTHORITY\SYSTEM,C:\Windows\system32,6428
EN732CSS,McPvTray.exe,"""C:\Program Files\McAfee\MAT\McPvTray.exe""",emismit11,C:\Program Files\McAfee\MAT,5816
EN732CSS,Microsoft.Notes.exe,"""C:\Program Files\WindowsApps\Microsoft.MicrosoftStickyNotes_3.0.119.0_x64__8wekyb3d8bbwe\Microsoft.Notes.exe"" -ServerName:App.AppX495fygk72hjw82j58ny5h3nr8hpsd8vs.mca",emismit11,C:\Program Files\WindowsApps\Microsoft.MicrosoftStickyNotes_3.0.119.0_x64__8wekyb3d8bbwe,3393
EN732CSS,McDiReg.exe,C:\ProgramData\McAfee\Direct\McDiReg.exe -MONITOR_PI2 9508,emismit11,C:\ProgramData\McAfee\Direct,958
EN732CSS,mcshield.exe,"""C:\Program Files\Common Files\McAfee\AMCore\mcshield.exe""",emismit11,C:\Program Files\Common Files\McAfee\AMCore,1431
EN732CSS,bash.exe,"""C:\Program Files\Git\usr\bin\bash.exe""",zar.gar,C:\Program Files\Git\usr\bin,2306
EN732CSS,git-bash.exe,"""C:\Program Files\Git\git-bash.exe"" ""--cd=C:\Users\zar.gar\Desktop.""",zar.gar,C:\Program Files\Git,4850
EN732CSS,tvnserver.exe,"""C:\Program Files\TightVNC\tvnserver.exe"" -service",zar.gar,C:\Program Files\TightVNC,4050
EN732CSS,VBoxService.exe,C:\Windows\System32\VBoxService.exe,NT AUTHORITY\SYSTEM,C:\Windows\System32,2356
EN732CSS,mchost.exe,"""C:\Program Files\Common Files\McAfee\Platform\Core\mchost.exe"" {e05dd3fd-ba47-4235-85a5-3789db83c8e1} /pid=444",emismit11,C:\Program Files\Common Files\McAfee\Platform\Core,6073
EN732CSS,Explorer.EXE,C:\Windows\Explorer.EXE,NT AUTHORITY\SYSTEM,C:\Windows,4340
EN732CSS,tvnserver.exe,"""C:\Program Files\TightVNC\tvnserver.exe"" -controlservice -slave",zar.gar,C:\Program Files\TightVNC,2750
EN732CSS,iexplore.exe,"""C:\Program Files\internet explorer\iexplore.exe"" ",zar.gar,C:\Program Files\internet explorer,227
EN732CSS,McInstruTrack.exe,C:\ProgramData\McAfee\McInstruTrack\McInstruTrack.exe /SP:0,emismit11,C:\ProgramData\McAfee\McInstruTrack,6346
EN732CSS,svchost.exe,C:\Windows\system32\svchost.exe -k RPCSS,NT AUTHORITY\SYSTEM,C:\Windows\system32,3824
EN732CSS,wmpnetwk.exe,"""C:\Program Files\Windows Media Player\wmpnetwk.exe""",NT AUTHORITY\SYSTEM,C:\Program Files\Windows Media Player,488
EN732CSS,SearchProtocolHost.exe,"""C:\Windows\system32\SearchProtocolHost.exe"" Global\UsGthrFltPipeMssGthrPipe15_ Global\UsGthrCtrlFltPipeMssGthrPipe15 1 -2147483646 ""Software\Microsoft\Windows Search"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT; MS Search 4.0 Robot)"" ""C:\ProgramData\Microsoft\Search\Data\Temp\usgthrsvc"" ""DownLevelDaemon"" ",NT AUTHORITY\SYSTEM,C:\Windows\system32,3556
EN732CSS,SearchIndexer.exe,C:\Windows\system32\SearchIndexer.exe /Embedding,NT AUTHORITY\SYSTEM,C:\Windows\system32,3788
EN732CSS,services.exe,C:\Windows\system32\services.exe,NT AUTHORITY\SYSTEM,C:\Windows\system32,5832
EN732CSS,McApExe.exe,"""C:\Program Files\Common Files\McAfee\VSCore_18_6\McApExe.exe""",emismit11,C:\Program Files\Common Files\McAfee\VSCore_18_6,523
EN732CSS,UIHost.exe,"""C:\Program Files\McAfee\WebAdvisor\UIHost.exe"" ",emismit11,C:\Program Files\McAfee\WebAdvisor,3820
EN732CSS,svchost.exe,C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork,NT AUTHORITY\SYSTEM,C:\Windows\system32,240
EN732CSS,lsass.exe,C:\Windows\system32\lsass.exe,NT AUTHORITY\SYSTEM,C:\Windows\system32,56
EN732CSS,wuauclt.exe,"""C:\Windows\system32\wuauclt.exe""",NT AUTHORITY\SYSTEM,C:\Windows\system32,5612
EN732CSS,PEFService.exe,"""C:\Program Files\Common Files\McAfee\PEF\CORE\PEFService.exe""",emismit11,C:\Program Files\Common Files\McAfee\PEF\CORE,2248
EN732CSS,sppsvc.exe,C:\Windows\system32\sppsvc.exe,NT AUTHORITY\SYSTEM,C:\Windows\system32,5236
EN732CSS,svchost.exe,C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted,NT AUTHORITY\SYSTEM,C:\Windows\System32,1768
EN732CSS,McAMTaskAgent.exe,"""C:\Program Files\Common Files\McAfee\TaskScheduler\McAMTaskAgent.exe"" -Embedding",emismit11,C:\Program Files\Common Files\McAfee\TaskScheduler,2780
EN732CSS,svchost.exe,C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted,NT AUTHORITY\SYSTEM,C:\Windows\System32,220
EN732CSS,mcuicnt.exe,"""C:\Program Files\Common Files\mcafee\Platform\mcuicnt.exe"" ""C:\Program Files\Common Files\McAfee\ActWiz\mcactwiz.dll"" nosplash:",emismit11,C:\Program Files\Common Files\mcafee\Platform,5087
