hostname,name,arguments,username,path,pid
ET703OSY,svchost.exe,C:\Windows\system32\svchost.exe -k DcomLaunch,NT AUTHORITY\SYSTEM,C:\Windows\system32,176
ET703OSY,ProtectedModuleHost.exe,"""C:\\Program Files\\Common Files\\McAfee\ModuleCore\\ProtectedModuleHost.exe""",isasanch,C:\Program Files\Common Files\McAfee\ModuleCore,2026
ET703OSY,Dwm.exe,"""C:\Windows\system32\Dwm.exe""",NT AUTHORITY\SYSTEM,C:\Windows\system32,6216
ET703OSY,winlogon.exe,winlogon.exe,NT AUTHORITY\SYSTEM,C:\Windows\system32,2136
ET703OSY,lsm.exe,C:\Windows\system32\lsm.exe,NT AUTHORITY\SYSTEM,C:\Windows\system32,776
ET703OSY,services.exe,C:\Windows\system32\services.exe,NT AUTHORITY\SYSTEM,C:\Windows\system32,4356
ET703OSY,ModuleCoreService.exe,ModuleCoreService.exe /startUserModeHosting=4_TIME_TO_DIE,isasanch,c:\program files\common files\mcafee\modulecore,5936
ET703OSY,armsvc.exe,"""C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\armsvc.exe""",evamartin46,C:\Program Files (x86)\Common Files\Adobe\ARM\1.0,6349
ET703OSY,OneDrive.exe,"""C:\Users\evamartin46\AppData\Local\Microsoft\OneDrive\OneDrive.exe"" ",evamartin46,C:\Users\evamartin46\AppData\Local\Microsoft\OneDrive,5772
ET703OSY,svchost.exe,C:\Windows\system32\svchost.exe -k NetworkServiceNetworkRestricted,NT AUTHORITY\SYSTEM,C:\Windows\system32,5648
ET703OSY,spoolsv.exe,C:\Windows\System32\spoolsv.exe,NT AUTHORITY\SYSTEM,C:\Windows\System32,2980
ET703OSY,Wireshark.exe,"""C:\Program Files\Wireshark\Wireshark.exe"" ",emismit11,C:\Program Files\Wireshark,1029
ET703OSY,mcafee_trial_setup_433.0207.3919_key.exe,"""C:\Users\isasanch\AppData\Local\Temp\scoped_dir9616_4071\mcafee_trial_setup_433.0207.3919_key.exe"" ",isasanch,C:\Users\isasanch\AppData\Local\Temp\scoped_dir9616_4071,3586
ET703OSY,mcshield.exe,"""C:\Program Files\Common Files\McAfee\AMCore\mcshield.exe""",isasanch,C:\Program Files\Common Files\McAfee\AMCore,1702
ET703OSY,mcuicnt.exe,"""C:\Program Files\Common Files\mcafee\Platform\mcuicnt.exe"" ""C:\Program Files\Common Files\McAfee\ActWiz\mcactwiz.dll"" nosplash:",isasanch,C:\Program Files\Common Files\mcafee\Platform,1690
ET703OSY,dllhost.exe,C:\Windows\system32\dllhost.exe /Processid:{02D4B3F1-FD88-11D1-960D-00805FC79235},NT AUTHORITY\SYSTEM,C:\Windows\system32,1588
ET703OSY,svchost.exe,C:\Windows\system32\svchost.exe -k netsvcs,NT AUTHORITY\SYSTEM,C:\Windows\system32,5672
ET703OSY,MFEAvSvc.exe,"""C:\Program Files\McAfee\MfeAV\MFEAvSvc.exe""",isasanch,C:\Program Files\McAfee\MfeAV,321
ET703OSY,mchost.exe,"""C:\Program Files\Common Files\McAfee\Platform\Core\mchost.exe"" {e05dd3fd-ba47-4235-85a5-3789db83c8e1} /pid=444",isasanch,C:\Program Files\Common Files\McAfee\Platform\Core,6366
ET703OSY,MMSSHOST.EXE,"""C:\Program Files\Common Files\McAfee\MMSSHost\MMSSHOST.EXE"" MMSCOM homenetsvc",isasanch,C:\Program Files\Common Files\McAfee\MMSSHost,5279
ET703OSY,ServiceHost.exe,"""C:\Program Files\McAfee\WebAdvisor\ServiceHost.exe""",isasanch,C:\Program Files\McAfee\WebAdvisor,5211
ET703OSY,UIHost.exe,"""C:\Program Files\McAfee\WebAdvisor\UIHost.exe"" ",isasanch,C:\Program Files\McAfee\WebAdvisor,4829
ET703OSY,taskhost.exe,"""taskhost.exe""",NT AUTHORITY\SYSTEM,C:\Windows\system32,4312
ET703OSY,mintty.exe,"usr\bin\mintty.exe --nodaemon -o AppID=GitForWindows.Bash -o AppLaunchCmd=""C:\Program Files\Git\git-bash.exe"" -o AppName=""Git Bash"" -i ""C:\Program Files\Git\git-bash.exe"" --store-taskbar-properties -- /usr/bin/bash --login -i",evamartin46,C:\Program Files\Git\usr\bin,4920
ET703OSY,AcroRd32.exe,"""C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe"" ",isasanch,C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader,3833
ET703OSY,PEFService.exe,"""C:\Program Files\Common Files\McAfee\PEF\CORE\PEFService.exe""",isasanch,C:\Program Files\Common Files\McAfee\PEF\CORE,2076
ET703OSY,iexplore.exe,"""C:\Program Files\internet explorer\iexplore.exe"" ",evamartin46,C:\Program Files\internet explorer,2493
ET703OSY,svchost.exe,C:\Windows\system32\svchost.exe -k regsvc,NT AUTHORITY\SYSTEM,C:\Windows\system32,3556
ET703OSY,AcroRd32.exe,"""C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe"" --type=renderer /prefetch:1",isasanch,C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader,1054
ET703OSY,bash.exe,"""C:\Program Files\Git\usr\bin\bash.exe""",evamartin46,C:\Program Files\Git\usr\bin,3570
ET703OSY,svchost.exe,C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted,NT AUTHORITY\SYSTEM,C:\Windows\System32,2052
ET703OSY,Microsoft.Notes.exe,"""C:\Program Files\WindowsApps\Microsoft.MicrosoftStickyNotes_3.0.119.0_x64__8wekyb3d8bbwe\Microsoft.Notes.exe"" -ServerName:App.AppX495fygk72hjw82j58ny5h3nr8hpsd8vs.mca",emismit11,C:\Program Files\WindowsApps\Microsoft.MicrosoftStickyNotes_3.0.119.0_x64__8wekyb3d8bbwe,4742
ET703OSY,csrss.exe,%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024 20480 768 Windows=On SubSystemType=Windows ServerDll=basesrv 1 ServerDll=winsrv:UserServerDllInitialization 3 ServerDll=winsrv:ConServerDllInitialization 2 ServerDll=sxssrv 4 ProfileControl=Off MaxRequestThreads=16,NT AUTHORITY\SYSTEM,C:\Windows\system32,4328
