hostname,name,arguments,username,path,pid
NE767GNV,PEFService.exe,"""C:\Program Files\Common Files\McAfee\PEF\CORE\PEFService.exe""",mas.perr,C:\Program Files\Common Files\McAfee\PEF\CORE,4641
NE767GNV,slack.exe,"""C:\Users\isl.davi87\AppData\Local\slack\app-3.1.1\slack.exe"" --type=renderer --disable-pinch --no-sandbox --primordial-pipe-token=B3F36050C50A99BD488162270E67D4DD --lang=en-GB --standard-schemes=slack-resources slack-sounds slack-webapp-dev --app-user-model-id=com.squirrel.slack.slack --app-path=""C:\Users\isl.davi87\AppData\Local\slack\app-3.1.1\resources\app.asar"" --node-integration=true --webview-tag=false --no-sandbox --preload=""C:\Users\isl.davi87\AppData\Local\slack\app-3.1.1\resources\app.asar\src\static\index.js"" --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --content-image-texture-target=0 0 3553;0 1 3553;0 2 3553;0 3 3553;0 4 3553;0 5 3553;0 6 3553;0 7 3553;0 8 3553;0 9 3553;0 10 3553;0 11 3553;0 12 3553;0 13 3553;0 14 3553;0 15 3553;0 16 3553;1 0 3553;1 1 3553;1 2 3553;1 3 3553;1 4 3553;1 5 3553;1 6 3553;1 7 3553;1 8 3553;1 9 3553;1 10 3553;1 11 3553;1 12 3553;1 13 3553;1 14 3553;1 15 3553;1 16 3553;2 0 3553;2 1 3553;2 2 3553;2 3 3553;2 4 3553;2 5 3553;2 6 3553;2 7 3553;2 8 3553;2 9 3553;2 10 3553;2 11 3553;2 12 3553;2 13 3553;2 14 3553;2 15 3553;2 16 3553;3 0 3553;3 1 3553;3 2 3553;3 3 3553;3 4 3553;3 5 3553;3 6 3553;3 7 3553;3 8 3553;3 9 3553;3 10 3553;3 11 3553;3 12 3553;3 13 3553;3 14 3553;3 15 3553;3 16 3553;4 0 3553;4 1 3553;4 2 3553;4 3 3553;4 4 3553;4 5 3553;4 6 3553;4 7 3553;4 8 3553;4 9 3553;4 10 3553;4 11 3553;4 12 3553;4 13 3553;4 14 3553;4 15 3553;4 16 3553 --service-request-channel-token=B3F36050C50A99BD488162270E67D4DD --renderer-client-id=8 --mojo-platform-channel-handle=2336 /prefetch:1",isl.davi87,C:\Users\isl.davi87\AppData\Local\slack\app-3.1.1,1052
NE767GNV,svchost.exe,C:\Windows\System32\svchost.exe -k utcsvc,NT AUTHORITY\SYSTEM,C:\Windows\System32,2708
NE767GNV,mcshield.exe,"""C:\Program Files\Common Files\McAfee\AMCore\mcshield.exe""",mas.perr,C:\Program Files\Common Files\McAfee\AMCore,4914
NE767GNV,tvnserver.exe,"""C:\Program Files\TightVNC\tvnserver.exe"" -service",mas.perr,C:\Program Files\TightVNC,2208
NE767GNV,svchost.exe,C:\Windows\system32\svchost.exe -k DcomLaunch,NT AUTHORITY\SYSTEM,C:\Windows\system32,3852
NE767GNV,OneDrive.exe,"""C:\Users\victoria.morga\AppData\Local\Microsoft\OneDrive\OneDrive.exe"" ",victoria.morga,C:\Users\victoria.morga\AppData\Local\Microsoft\OneDrive,2133
NE767GNV,slack.exe,"C:\Users\isl.davi87\AppData\Local\slack\app-3.1.1\slack.exe --reporter-url=https://slack.com/apps/breakpad?instanceUid=c116fa6f-e78f-4f7e-9927-09567265c493&amp;version=3.1.1&amp;channel=prod --application-name=Slack ""--crashes-directory=C:\Users\isl.davi87\AppData\Local\Temp\Slack Crashes"" --v=1",isl.davi87,C:\Users\isl.davi87\AppData\Local\slack\app-3.1.1,5109
NE767GNV,taskhostex.exe,taskhostex.exe ,NT AUTHORITY\SYSTEM,C:\Windows\system32,680
NE767GNV,dwm.exe,"""dwm.exe""",NT AUTHORITY\SYSTEM,C:\Windows\system32,2468
NE767GNV,McCSPServiceHost.exe,"""C:\Program Files\Common Files\McAfee\CSP\3.0.127.0\\McCSPServiceHost.exe""",mas.perr,C:\Program Files\Common Files\McAfee\CSP\3.0.127.0,5414
NE767GNV,slack.exe,"""C:\Users\isl.davi87\AppData\Local\slack\app-3.1.1\slack.exe"" --type=gpu-process --no-sandbox --supports-dual-gpus=false --gpu-driver-bug-workarounds=7 10 11 20 24 26 43 63 76 --disable-gl-extensions=""GL_KHR_blend_equation_advanced GL_KHR_blend_equation_advanced_coherent"" --gpu-vendor-id=0x8086 --gpu-device-id=0x0a16 --gpu-driver-vendor=""Intel Corporation"" --gpu-driver-version=20.19.15.4331 --gpu-driver-date=11-18-2015 --service-request-channel-token=801A57F64621336F74806802DB83B30B --mojo-platform-channel-handle=1628 /prefetch:2",isl.davi87,C:\Users\isl.davi87\AppData\Local\slack\app-3.1.1,4317
NE767GNV,Explorer.EXE,C:\Windows\Explorer.EXE,NT AUTHORITY\SYSTEM,C:\Windows,6284
NE767GNV,mchost.exe,"""C:\Program Files\Common Files\McAfee\Platform\Core\mchost.exe"" {e05dd3fd-ba47-4235-85a5-3789db83c8e1} /pid=444",mas.perr,C:\Program Files\Common Files\McAfee\Platform\Core,6488
NE767GNV,ServiceHost.exe,"""C:\Program Files\McAfee\WebAdvisor\ServiceHost.exe""",mas.perr,C:\Program Files\McAfee\WebAdvisor,3661
NE767GNV,MFEAvSvc.exe,"""C:\Program Files\McAfee\MfeAV\MFEAvSvc.exe""",mas.perr,C:\Program Files\McAfee\MfeAV,5991
NE767GNV,McDiReg.exe,C:\ProgramData\McAfee\Direct\McDiReg.exe -MONITOR_PI2 9508,mas.perr,C:\ProgramData\McAfee\Direct,2569
NE767GNV,svchost.exe,C:\Windows\system32\svchost.exe -k LocalService,NT AUTHORITY\SYSTEM,C:\Windows\system32,6464
NE767GNV,vncviewer.exe,"""C:\Program Files\RealVNC\VNC Viewer\vncviewer.exe"" ",mas.perr,C:\Program Files\RealVNC\VNC Viewer,1701
NE767GNV,svchost.exe,C:\Windows\system32\svchost.exe -k RPCSS,NT AUTHORITY\SYSTEM,C:\Windows\system32,220
NE767GNV,msdtc.exe,C:\Windows\System32\msdtc.exe,NT AUTHORITY\SYSTEM,C:\Windows\System32,5424
NE767GNV,McAMTaskAgent.exe,"""C:\Program Files\Common Files\McAfee\TaskScheduler\McAMTaskAgent.exe"" -Embedding",mas.perr,C:\Program Files\Common Files\McAfee\TaskScheduler,2519
NE767GNV,McPvTray.exe,"""C:\Program Files\McAfee\MAT\McPvTray.exe""",mas.perr,C:\Program Files\McAfee\MAT,6272
NE767GNV,winlogon.exe,winlogon.exe,NT AUTHORITY\SYSTEM,C:\Windows\system32,4600
NE767GNV,LogonUI.exe,"""LogonUI.exe"" /flags:0x0",NT AUTHORITY\SYSTEM,C:\Windows\system32,6468
NE767GNV,MMSSHOST.EXE,"""C:\Program Files\Common Files\McAfee\MMSSHost\MMSSHOST.EXE"" MMSCOM homenetsvc",mas.perr,C:\Program Files\Common Files\McAfee\MMSSHost,6380
NE767GNV,tvnserver.exe,"""C:\Program Files\TightVNC\tvnserver.exe"" -controlservice -slave",mas.perr,C:\Program Files\TightVNC,5069
NE767GNV,mcuicnt.exe,"""C:\Program Files\Common Files\mcafee\Platform\mcuicnt.exe"" ""C:\Program Files\Common Files\McAfee\ActWiz\mcactwiz.dll"" nosplash:",mas.perr,C:\Program Files\Common Files\mcafee\Platform,5574
NE767GNV,svchost.exe,C:\Windows\system32\svchost.exe -k netsvcs,NT AUTHORITY\SYSTEM,C:\Windows\system32,5756
NE767GNV,UIHost.exe,"""C:\Program Files\McAfee\WebAdvisor\UIHost.exe"" ",mas.perr,C:\Program Files\McAfee\WebAdvisor,3830
NE767GNV,dwm.exe,"""dwm.exe""",NT AUTHORITY\SYSTEM,C:\Windows\system32,5912
NE767GNV,spoolsv.exe,C:\Windows\System32\spoolsv.exe,NT AUTHORITY\SYSTEM,C:\Windows\System32,1736
NE767GNV,svchost.exe,C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork,NT AUTHORITY\SYSTEM,C:\Windows\system32,4996
NE767GNV,svchost.exe,C:\Windows\System32\svchost.exe -k termsvcs,NT AUTHORITY\SYSTEM,C:\Windows\System32,348
NE767GNV,svchost.exe,C:\Windows\system32\svchost.exe -k NetworkService,NT AUTHORITY\SYSTEM,C:\Windows\system32,716
NE767GNV,svchost.exe,C:\Windows\system32\svchost.exe -k NetworkServiceNetworkRestricted,NT AUTHORITY\SYSTEM,C:\Windows\system32,2940
NE767GNV,wininit.exe,wininit.exe,NT AUTHORITY\SYSTEM,C:\Windows\system32,2548
NE767GNV,svchost.exe,C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted,NT AUTHORITY\SYSTEM,C:\Windows\System32,3604
NE767GNV,modulecoreservice.exe,"""c:\program files\common files\mcafee\modulecore\modulecoreservice.exe""",mas.perr,c:\program files\common files\mcafee\modulecore,4223
NE767GNV,ProtectedModuleHost.exe,"""C:\\Program Files\\Common Files\\McAfee\ModuleCore\\ProtectedModuleHost.exe""",mas.perr,C:\Program Files\Common Files\McAfee\ModuleCore,4160
NE767GNV,ModuleCoreService.exe,ModuleCoreService.exe /startUserModeHosting=4_TIME_TO_DIE,mas.perr,c:\program files\common files\mcafee\modulecore,1560
NE767GNV,lsass.exe,C:\Windows\system32\lsass.exe,NT AUTHORITY\SYSTEM,C:\Windows\system32,1504
NE767GNV,McInstruTrack.exe,C:\ProgramData\McAfee\McInstruTrack\McInstruTrack.exe /SP:0,mas.perr,C:\ProgramData\McAfee\McInstruTrack,5365
NE767GNV,McApExe.exe,"""C:\Program Files\Common Files\McAfee\VSCore_18_6\McApExe.exe""",mas.perr,C:\Program Files\Common Files\McAfee\VSCore_18_6,5075
NE767GNV,mavinject.exe,C:\Windows\System32\mavinject.exe 6464 /INJECTRUNNING C:\Windows\assembly\regedit.dll,NT AUTHORITY\SYSTEM,C:\Windows\System32\mavinject.exe,4452
NE767GNV,iexplore.exe,"""C:\Program Files\internet explorer\iexplore.exe"" ",isl.davi87,C:\Program Files\internet explorer,211
NE767GNV,slack.exe,"""C:\Users\isl.davi87\AppData\Local\slack\app-3.1.1\slack.exe""",isl.davi87,C:\Users\isl.davi87\AppData\Local\slack\app-3.1.1,4937
NE767GNV,svchost.exe,C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted,NT AUTHORITY\SYSTEM,C:\Windows\System32,5120
NE767GNV,wmiprvse.exe,C:\Windows\system32\wbem\wmiprvse.exe,NT AUTHORITY\SYSTEM,C:\Windows\system32\wbem,1440
NE767GNV,pcalua.exe,C:\Windows\System32\pcalua.exe -a C:\Windows\Microsoft.NET\assembly\RegSvcs.dll,victoria.morga,C:\Windows\System32\pcalua.exe,2884
