hostname,name,arguments,username,path,pid
NS596QQL,dllhost.exe,C:\Windows\system32\dllhost.exe /Processid:{02D4B3F1-FD88-11D1-960D-00805FC79235},NT AUTHORITY\SYSTEM,C:\Windows\system32,5808
NS596QQL,svchost.exe,C:\Windows\system32\svchost.exe -k DcomLaunch,NT AUTHORITY\SYSTEM,C:\Windows\system32,5636
NS596QQL,McApExe.exe,"""C:\Program Files\Common Files\McAfee\VSCore_18_6\McApExe.exe""",bryanhil,C:\Program Files\Common Files\McAfee\VSCore_18_6,6383
NS596QQL,mcshield.exe,"""C:\Program Files\Common Files\McAfee\AMCore\mcshield.exe""",bryanhil,C:\Program Files\Common Files\McAfee\AMCore,2115
NS596QQL,McCSPServiceHost.exe,"""C:\Program Files\Common Files\McAfee\CSP\3.0.127.0\\McCSPServiceHost.exe""",bryanhil,C:\Program Files\Common Files\McAfee\CSP\3.0.127.0,3052
NS596QQL,svchost.exe,C:\Windows\system32\svchost.exe -k regsvc,NT AUTHORITY\SYSTEM,C:\Windows\system32,6408
NS596QQL,vncviewer.exe,"""C:\Program Files\RealVNC\VNC Viewer\vncviewer.exe"" ",vionelso32,C:\Program Files\RealVNC\VNC Viewer,2310
NS596QQL,McAMTaskAgent.exe,"""C:\Program Files\Common Files\McAfee\TaskScheduler\McAMTaskAgent.exe"" -Embedding",bryanhil,C:\Program Files\Common Files\McAfee\TaskScheduler,2679
NS596QQL,SkypeBackgroundHost.exe,"""C:\Program Files\WindowsApps\Microsoft.SkypeApp_14.33.41.0_x64__kzf8qxf38zg5c\SkypeBackgroundHost.exe"" -ServerName:SkypeBackgroundHost",landcoop,C:\Program Files\WindowsApps\Microsoft.SkypeApp_14.33.41.0_x64__kzf8qxf38zg5c,3404
NS596QQL,ServiceHost.exe,"""C:\Program Files\McAfee\WebAdvisor\ServiceHost.exe""",bryanhil,C:\Program Files\McAfee\WebAdvisor,5430
NS596QQL,ProtectedModuleHost.exe,"""C:\\Program Files\\Common Files\\McAfee\ModuleCore\\ProtectedModuleHost.exe""",bryanhil,C:\Program Files\Common Files\McAfee\ModuleCore,3499
NS596QQL,mchost.exe,"""C:\Program Files\Common Files\McAfee\Platform\Core\mchost.exe"" {e05dd3fd-ba47-4235-85a5-3789db83c8e1} /pid=444",bryanhil,C:\Program Files\Common Files\McAfee\Platform\Core,5046
NS596QQL,msdtc.exe,C:\Windows\System32\msdtc.exe,NT AUTHORITY\SYSTEM,C:\Windows\System32,5956
NS596QQL,UIHost.exe,"""C:\Program Files\McAfee\WebAdvisor\UIHost.exe"" ",bryanhil,C:\Program Files\McAfee\WebAdvisor,4521
NS596QQL,lsm.exe,C:\Windows\system32\lsm.exe,NT AUTHORITY\SYSTEM,C:\Windows\system32,4760
NS596QQL,winlogon.exe,winlogon.exe,NT AUTHORITY\SYSTEM,C:\Windows\system32,2820
NS596QQL,McPvTray.exe,"""C:\Program Files\McAfee\MAT\McPvTray.exe""",bryanhil,C:\Program Files\McAfee\MAT,1991
NS596QQL,McDiReg.exe,C:\ProgramData\McAfee\Direct\McDiReg.exe -MONITOR_PI2 9508,bryanhil,C:\ProgramData\McAfee\Direct,735
NS596QQL,svchost.exe,C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork,NT AUTHORITY\SYSTEM,C:\Windows\system32,1208
NS596QQL,csrss.exe,%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024 20480 768 Windows=On SubSystemType=Windows ServerDll=basesrv 1 ServerDll=winsrv:UserServerDllInitialization 3 ServerDll=winsrv:ConServerDllInitialization 2 ServerDll=sxssrv 4 ProfileControl=Off MaxRequestThreads=16,NT AUTHORITY\SYSTEM,C:\Windows\system32,4064
NS596QQL,services.exe,C:\Windows\system32\services.exe,NT AUTHORITY\SYSTEM,C:\Windows\system32,2052
NS596QQL,svchost.exe,C:\Windows\System32\svchost.exe -k termsvcs,NT AUTHORITY\SYSTEM,C:\Windows\System32,6368
