hostname,name,arguments,username,path,pid
SN119CQX,Dwm.exe,"""C:\Windows\system32\Dwm.exe""",NT AUTHORITY\SYSTEM,C:\Windows\system32,4452
SN119CQX,Microsoft.Notes.exe,"""C:\Program Files\WindowsApps\Microsoft.MicrosoftStickyNotes_3.0.119.0_x64__8wekyb3d8bbwe\Microsoft.Notes.exe"" -ServerName:App.AppX495fygk72hjw82j58ny5h3nr8hpsd8vs.mca",adri.thom,C:\Program Files\WindowsApps\Microsoft.MicrosoftStickyNotes_3.0.119.0_x64__8wekyb3d8bbwe,1254
SN119CQX,opera_crashreporter.exe,"C:\Users\adri.thom\AppData\Local\Programs\Opera\56.0.3051.52\opera_crashreporter.exe --type=crashpad-handler /prefetch:7 --monitor-self-annotation=ptype=crashpad-handler ""--database=C:\Users\adri.thom\AppData\Roaming\Opera Software\Opera Stable\Crash Reports"" ""--crash-count-file=C:\Users\adri.thom\AppData\Roaming\Opera Software\Opera Stable\crash_count.txt"" --url=https://crashstats-collector.opera.com/collector/submit --annotation=channel=Stable --annotation=plat=Win64 --annotation=prod=OperaDesktop --annotation=ver=56.0.3051.52 --initial-client-data=0x238 0x304 0x30c 0x320 0x308 0x7ffb51313108 0x7ffb51313118 0x7ffb51313128",adri.thom,C:\Users\adri.thom\AppData\Local\Programs\Opera\56.0.3051.52,6414
SN119CQX,McCSPServiceHost.exe,"""C:\Program Files\Common Files\McAfee\CSP\3.0.127.0\\McCSPServiceHost.exe""",adri.thom,C:\Program Files\Common Files\McAfee\CSP\3.0.127.0,4986
SN119CQX,GitHubDesktop.exe,"""C:\Users\adri.thom\AppData\Local\GitHubDesktop\app-1.4.3\GitHubDesktop.exe"" --squirrel-firstrun",adri.thom,C:\Users\adri.thom\AppData\Local\GitHubDesktop\app-1.4.3,4008
SN119CQX,McPvTray.exe,"""C:\Program Files\McAfee\MAT\McPvTray.exe""",adri.thom,C:\Program Files\McAfee\MAT,1489
SN119CQX,kitty-0.70.0.6.exe,"""C:\Users\adri.thom\Documents\kitty-0.70.0.6.exe"" ",adri.thom,C:\Users\adri.thom\Documents,5260
SN119CQX,opera.exe,"""C:\Users\adri.thom\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=6930244878569528683 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=6930244878569528683 --renderer-client-id=3 --mojo-platform-channel-handle=2904 /prefetch:1",adri.thom,C:\Users\adri.thom\AppData\Local\Programs\Opera\56.0.3051.52,2739
SN119CQX,mcafee_trial_setup_433.0207.3919_key.exe,"""C:\Users\adri.thom\AppData\Local\Temp\scoped_dir9616_4071\mcafee_trial_setup_433.0207.3919_key.exe"" ",adri.thom,C:\Users\adri.thom\AppData\Local\Temp\scoped_dir9616_4071,2124
SN119CQX,tvnserver.exe,"""C:\Program Files\TightVNC\tvnserver.exe"" -service",jackrod,C:\Program Files\TightVNC,1900
SN119CQX,ProtectedModuleHost.exe,"""C:\\Program Files\\Common Files\\McAfee\ModuleCore\\ProtectedModuleHost.exe""",adri.thom,C:\Program Files\Common Files\McAfee\ModuleCore,4699
SN119CQX,opera.exe,"""C:\Users\adri.thom\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --start-maximized --ran-launcher",adri.thom,C:\Users\adri.thom\AppData\Local\Programs\Opera\56.0.3051.52,2105
SN119CQX,svchost.exe,C:\Windows\System32\svchost.exe -k utcsvc,NT AUTHORITY\SYSTEM,C:\Windows\System32,4300
SN119CQX,mcuicnt.exe,"""C:\Program Files\Common Files\mcafee\Platform\mcuicnt.exe"" ""C:\Program Files\Common Files\McAfee\ActWiz\mcactwiz.dll"" nosplash:",adri.thom,C:\Program Files\Common Files\mcafee\Platform,3669
SN119CQX,svchost.exe,C:\Windows\system32\svchost.exe -k NetworkServiceNetworkRestricted,NT AUTHORITY\SYSTEM,C:\Windows\system32,2924
SN119CQX,svchost.exe,C:\Windows\system32\svchost.exe -k netsvcs,NT AUTHORITY\SYSTEM,C:\Windows\system32,5412
SN119CQX,svchost.exe,C:\Windows\system32\svchost.exe -k LocalService,NT AUTHORITY\SYSTEM,C:\Windows\system32,3244
SN119CQX,csrss.exe,%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024 20480 768 Windows=On SubSystemType=Windows ServerDll=basesrv 1 ServerDll=winsrv:UserServerDllInitialization 3 ServerDll=winsrv:ConServerDllInitialization 2 ServerDll=sxssrv 4 ProfileControl=Off MaxRequestThreads=16,NT AUTHORITY\SYSTEM,C:\Windows\system32,2388
SN119CQX,svchost.exe,C:\Windows\System32\svchost.exe -k NetworkService,NT AUTHORITY\SYSTEM,C:\Windows\System32,3056
SN119CQX,ModuleCoreService.exe,ModuleCoreService.exe /startUserModeHosting=4_TIME_TO_DIE,adri.thom,c:\program files\common files\mcafee\modulecore,3600
SN119CQX,modulecoreservice.exe,"""c:\program files\common files\mcafee\modulecore\modulecoreservice.exe""",adri.thom,c:\program files\common files\mcafee\modulecore,2396
SN119CQX,opera.exe,"""C:\Users\adri.thom\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=12376823585177401963 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=12376823585177401963 --renderer-client-id=7 --mojo-platform-channel-handle=2368 /prefetch:1",adri.thom,C:\Users\adri.thom\AppData\Local\Programs\Opera\56.0.3051.52,4974
SN119CQX,iexplore.exe,"""C:\Program Files\internet explorer\iexplore.exe"" ",jackrod,C:\Program Files\internet explorer,1646
SN119CQX,wininit.exe,wininit.exe,NT AUTHORITY\SYSTEM,C:\Windows\system32,5648
SN119CQX,taskhost.exe,"""taskhost.exe""",NT AUTHORITY\SYSTEM,C:\Windows\system32,3256
SN119CQX,winlogon.exe,winlogon.exe,NT AUTHORITY\SYSTEM,C:\Windows\system32,4420
SN119CQX,MFEAvSvc.exe,"""C:\Program Files\McAfee\MfeAV\MFEAvSvc.exe""",adri.thom,C:\Program Files\McAfee\MfeAV,729
SN119CQX,msdtc.exe,C:\Windows\System32\msdtc.exe,NT AUTHORITY\SYSTEM,C:\Windows\System32,3620
SN119CQX,dllhost.exe,C:\Windows\system32\dllhost.exe /Processid:{3EAE8C5E-B51F-4CBD-9DCE-FA6AA0BDF8B8},NT AUTHORITY\SYSTEM,C:\Windows\system32,6488
SN119CQX,opera.exe,"""C:\Users\adri.thom\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=2685998191293934672 --lang=en-GB --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=2685998191293934672 --renderer-client-id=12 --mojo-platform-channel-handle=4360 /prefetch:1",adri.thom,C:\Users\adri.thom\AppData\Local\Programs\Opera\56.0.3051.52,905
SN119CQX,GitHubDesktop.exe,"""C:\Users\adri.thom\AppData\Local\GitHubDesktop\app-1.4.3\GitHubDesktop.exe"" --type=gpu-process --no-sandbox --supports-dual-gpus=false --gpu-driver-bug-workarounds=9 12 13 23 27 29 49 70 84 --disable-gl-extensions=""GL_KHR_blend_equation_advanced GL_KHR_blend_equation_advanced_coherent"" --gpu-vendor-id=0x8086 --gpu-device-id=0x0a16 --gpu-driver-vendor=""Intel Corporation"" --gpu-driver-version=20.19.15.4331 --gpu-driver-date=11-18-2015 --service-request-channel-token=29571E74A71F5219E432184D13D76C95 --mojo-platform-channel-handle=1732 /prefetch:2",adri.thom,C:\Users\adri.thom\AppData\Local\GitHubDesktop\app-1.4.3,2861
SN119CQX,McApExe.exe,"""C:\Program Files\Common Files\McAfee\VSCore_18_6\McApExe.exe""",adri.thom,C:\Program Files\Common Files\McAfee\VSCore_18_6,5782
SN119CQX,lsass.exe,C:\Windows\system32\lsass.exe,NT AUTHORITY\SYSTEM,C:\Windows\system32,4372
SN119CQX,services.exe,C:\Windows\system32\services.exe,NT AUTHORITY\SYSTEM,C:\Windows\system32,3572
SN119CQX,mchost.exe,"""C:\Program Files\Common Files\McAfee\Platform\Core\mchost.exe"" {e05dd3fd-ba47-4235-85a5-3789db83c8e1} /pid=444",adri.thom,C:\Program Files\Common Files\McAfee\Platform\Core,4500
SN119CQX,opera.exe,"""C:\Users\adri.thom\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe"" --type=renderer --field-trial-handle=1640 14609910000652164441 9538679763400238678 131072 --service-pipe-token=16451249972883912486 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --with-feature:installer-experiment-test=off --with-feature:installer-use-minimal-package=off --with-feature:installer-simplified-ui=on --ab_tests=DNA-70598-test:DNA-70598 --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --service-request-channel-token=16451249972883912486 --renderer-client-id=4 --mojo-platform-channel-handle=3140 /prefetch:1",adri.thom,C:\Users\adri.thom\AppData\Local\Programs\Opera\56.0.3051.52,1958
SN119CQX,ServiceHost.exe,"""C:\Program Files\McAfee\WebAdvisor\ServiceHost.exe""",adri.thom,C:\Program Files\McAfee\WebAdvisor,3042
SN119CQX,OneDrive.exe,"""C:\Users\jackrod\AppData\Local\Microsoft\OneDrive\OneDrive.exe"" ",jackrod,C:\Users\jackrod\AppData\Local\Microsoft\OneDrive,938
SN119CQX,svchost.exe,C:\Windows\System32\svchost.exe -k termsvcs,NT AUTHORITY\SYSTEM,C:\Windows\System32,704
SN119CQX,WINWORD.EXE,"""C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE"" ",jackrod,C:\Program Files\Microsoft Office\root\Office16,5968
SN119CQX,svchost.exe,C:\Windows\system32\svchost.exe -k regsvc,NT AUTHORITY\SYSTEM,C:\Windows\system32,4012
SN119CQX,smss.exe,\SystemRoot\System32\smss.exe,NT AUTHORITY\SYSTEM,\SystemRoot\System32,4204
SN119CQX,mcshield.exe,"""C:\Program Files\Common Files\McAfee\AMCore\mcshield.exe""",adri.thom,C:\Program Files\Common Files\McAfee\AMCore,5631
SN119CQX,dllhost.exe,C:\Windows\system32\dllhost.exe /Processid:{02D4B3F1-FD88-11D1-960D-00805FC79235},NT AUTHORITY\SYSTEM,C:\Windows\system32,2148
SN119CQX,McInstruTrack.exe,C:\ProgramData\McAfee\McInstruTrack\McInstruTrack.exe /SP:0,adri.thom,C:\ProgramData\McAfee\McInstruTrack,1356
SN119CQX,svchost.exe,C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork,NT AUTHORITY\SYSTEM,C:\Windows\system32,5628
SN119CQX,McDiReg.exe,"""C:\ProgramData\McAfee\Direct\McDiReg.exe"" ",adri.thom,C:\ProgramData\McAfee\Direct,4124
SN119CQX,svchost.exe,C:\Windows\system32\svchost.exe -k RPCSS,NT AUTHORITY\SYSTEM,C:\Windows\system32,3112
SN119CQX,svchost.exe,C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted,NT AUTHORITY\SYSTEM,C:\Windows\System32,696
SN119CQX,tvnserver.exe,"""C:\Program Files\TightVNC\tvnserver.exe"" -controlservice -slave",jackrod,C:\Program Files\TightVNC,5255
SN119CQX,MMSSHOST.EXE,"""C:\Program Files\Common Files\McAfee\MMSSHost\MMSSHOST.EXE"" MMSCOM homenetsvc",adri.thom,C:\Program Files\Common Files\McAfee\MMSSHost,6271
SN119CQX,LogonUI.exe,"""LogonUI.exe"" /flags:0x0",NT AUTHORITY\SYSTEM,C:\Windows\system32,532
SN119CQX,conhost.exe,"\??\C:\Windows\system32\conhost.exe ""-29887463320281528418771495882049435123649789771-108284301750553232-1762948263",NT AUTHORITY\SYSTEM,C:\Windows\system32,472
SN119CQX,McDiReg.exe,C:\ProgramData\McAfee\Direct\McDiReg.exe -MONITOR_PI2 9508,adri.thom,C:\ProgramData\McAfee\Direct,2207
SN119CQX,McAMTaskAgent.exe,"""C:\Program Files\Common Files\McAfee\TaskScheduler\McAMTaskAgent.exe"" -Embedding",adri.thom,C:\Program Files\Common Files\McAfee\TaskScheduler,3513
SN119CQX,vncviewer.exe,"""C:\Program Files\RealVNC\VNC Viewer\vncviewer.exe"" ",jackrod,C:\Program Files\RealVNC\VNC Viewer,4765
SN119CQX,UIHost.exe,"""C:\Program Files\McAfee\WebAdvisor\UIHost.exe"" ",adri.thom,C:\Program Files\McAfee\WebAdvisor,441
SN119CQX,PEFService.exe,"""C:\Program Files\Common Files\McAfee\PEF\CORE\PEFService.exe""",adri.thom,C:\Program Files\Common Files\McAfee\PEF\CORE,1691
SN119CQX,svchost.exe,C:\Windows\system32\svchost.exe -k DcomLaunch,NT AUTHORITY\SYSTEM,C:\Windows\system32,660
SN119CQX,svchost.exe,C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted,NT AUTHORITY\SYSTEM,C:\Windows\System32,560
SN119CQX,lsm.exe,C:\Windows\system32\lsm.exe,NT AUTHORITY\SYSTEM,C:\Windows\system32,252
