hostname,name,arguments,username,path,pid
SN238LVK,MMSSHOST.EXE,"""C:\Program Files\Common Files\McAfee\MMSSHost\MMSSHOST.EXE"" MMSCOM homenetsvc",jus.ande92,C:\Program Files\Common Files\McAfee\MMSSHost,253
SN238LVK,lsass.exe,C:\Windows\system32\lsass.exe,NT AUTHORITY\SYSTEM,C:\Windows\system32,3464
SN238LVK,winlogon.exe,winlogon.exe,NT AUTHORITY\SYSTEM,C:\Windows\system32,156
SN238LVK,McDiReg.exe,"""C:\ProgramData\McAfee\Direct\McDiReg.exe"" ",jus.ande92,C:\ProgramData\McAfee\Direct,5521
SN238LVK,tvnserver.exe,"""C:\Program Files\TightVNC\tvnserver.exe"" -controlservice -slave",jus.ande92,C:\Program Files\TightVNC,1574
SN238LVK,cmd.exe,"""C:\Windows\system32\cmd.exe"" ",evamartin46,C:\Windows\system32,992
SN238LVK,mcshield.exe,"""C:\Program Files\Common Files\McAfee\AMCore\mcshield.exe""",jus.ande92,C:\Program Files\Common Files\McAfee\AMCore,2532
SN238LVK,svchost.exe,C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted,NT AUTHORITY\SYSTEM,C:\Windows\System32,988
SN238LVK,MFEAvSvc.exe,"""C:\Program Files\McAfee\MfeAV\MFEAvSvc.exe""",jus.ande92,C:\Program Files\McAfee\MfeAV,2010
SN238LVK,ServiceHost.exe,"""C:\Program Files\McAfee\WebAdvisor\ServiceHost.exe""",jus.ande92,C:\Program Files\McAfee\WebAdvisor,3740
SN238LVK,LogonUI.exe,"""LogonUI.exe"" /flags:0x0",NT AUTHORITY\SYSTEM,C:\Windows\system32,5808
SN238LVK,lsm.exe,C:\Windows\system32\lsm.exe,NT AUTHORITY\SYSTEM,C:\Windows\system32,520
SN238LVK,svchost.exe,C:\Windows\System32\svchost.exe -k utcsvc,NT AUTHORITY\SYSTEM,C:\Windows\System32,4748
SN238LVK,McApExe.exe,"""C:\Program Files\Common Files\McAfee\VSCore_18_6\McApExe.exe""",jus.ande92,C:\Program Files\Common Files\McAfee\VSCore_18_6,1452
SN238LVK,svchost.exe,C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork,NT AUTHORITY\SYSTEM,C:\Windows\system32,5460
SN238LVK,mchost.exe,"""C:\Program Files\Common Files\McAfee\Platform\Core\mchost.exe"" {e05dd3fd-ba47-4235-85a5-3789db83c8e1} /pid=444",jus.ande92,C:\Program Files\Common Files\McAfee\Platform\Core,4534
SN238LVK,smss.exe,\SystemRoot\System32\smss.exe,NT AUTHORITY\SYSTEM,\SystemRoot\System32,6232
SN238LVK,dllhost.exe,C:\Windows\system32\dllhost.exe /Processid:{02D4B3F1-FD88-11D1-960D-00805FC79235},NT AUTHORITY\SYSTEM,C:\Windows\system32,1752
SN238LVK,McInstruTrack.exe,C:\ProgramData\McAfee\McInstruTrack\McInstruTrack.exe /SP:0,jus.ande92,C:\ProgramData\McAfee\McInstruTrack,5298
SN238LVK,svchost.exe,C:\Windows\system32\svchost.exe -k DcomLaunch,NT AUTHORITY\SYSTEM,C:\Windows\system32,5192
SN238LVK,UIHost.exe,"""C:\Program Files\McAfee\WebAdvisor\UIHost.exe"" ",jus.ande92,C:\Program Files\McAfee\WebAdvisor,848
SN238LVK,svchost.exe,C:\Windows\System32\svchost.exe -k termsvcs,NT AUTHORITY\SYSTEM,C:\Windows\System32,4532
SN238LVK,wininit.exe,wininit.exe,NT AUTHORITY\SYSTEM,C:\Windows\system32,3768
SN238LVK,slack.exe,"C:\Users\dieg.gre\AppData\Local\slack\app-3.1.1\slack.exe --reporter-url=https://slack.com/apps/breakpad?instanceUid=c116fa6f-e78f-4f7e-9927-09567265c493&amp;version=3.1.1&amp;channel=prod --application-name=Slack ""--crashes-directory=C:\Users\dieg.gre\AppData\Local\Temp\Slack Crashes"" --v=1",dieg.gre,C:\Users\dieg.gre\AppData\Local\slack\app-3.1.1,2809
SN238LVK,vncviewer.exe,"""C:\Program Files\RealVNC\VNC Viewer\vncviewer.exe"" ",jus.ande92,C:\Program Files\RealVNC\VNC Viewer,4650
SN238LVK,csrss.exe,%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024 20480 768 Windows=On SubSystemType=Windows ServerDll=basesrv 1 ServerDll=winsrv:UserServerDllInitialization 3 ServerDll=winsrv:ConServerDllInitialization 2 ServerDll=sxssrv 4 ProfileControl=Off MaxRequestThreads=16,NT AUTHORITY\SYSTEM,C:\Windows\system32,904
SN238LVK,OneDrive.exe,"""C:\Users\jus.ande92\AppData\Local\Microsoft\OneDrive\OneDrive.exe"" ",jus.ande92,C:\Users\jus.ande92\AppData\Local\Microsoft\OneDrive,2427
SN238LVK,svchost.exe,C:\Windows\system32\svchost.exe -k RPCSS,NT AUTHORITY\SYSTEM,C:\Windows\system32,420
SN238LVK,PEFService.exe,"""C:\Program Files\Common Files\McAfee\PEF\CORE\PEFService.exe""",jus.ande92,C:\Program Files\Common Files\McAfee\PEF\CORE,1790
SN238LVK,tvnserver.exe,"""C:\Program Files\TightVNC\tvnserver.exe"" -service",jus.ande92,C:\Program Files\TightVNC,2477
SN238LVK,svchost.exe,C:\Windows\system32\svchost.exe -k LocalService,NT AUTHORITY\SYSTEM,C:\Windows\system32,5764
