hostname,name,arguments,username,path,pid
SN703NSU,ModuleCoreService.exe,ModuleCoreService.exe /startUserModeHosting=4_TIME_TO_DIE,jonatha.harr78,c:\program files\common files\mcafee\modulecore,2916
SN703NSU,svchost.exe,C:\Windows\System32\svchost.exe -k utcsvc,NT AUTHORITY\SYSTEM,C:\Windows\System32,584
SN703NSU,tvnserver.exe,"""C:\Program Files\TightVNC\tvnserver.exe"" -service",samevans,C:\Program Files\TightVNC,1772
SN703NSU,services.exe,C:\Windows\system32\services.exe,NT AUTHORITY\SYSTEM,C:\Windows\system32,4692
SN703NSU,mcuicnt.exe,"""C:\Program Files\Common Files\mcafee\Platform\mcuicnt.exe"" ""C:\Program Files\Common Files\McAfee\ActWiz\mcactwiz.dll"" nosplash:",jonatha.harr78,C:\Program Files\Common Files\mcafee\Platform,1393
SN703NSU,PEFService.exe,"""C:\Program Files\Common Files\McAfee\PEF\CORE\PEFService.exe""",jonatha.harr78,C:\Program Files\Common Files\McAfee\PEF\CORE,305
SN703NSU,McDiReg.exe,"""C:\ProgramData\McAfee\Direct\McDiReg.exe"" ",jonatha.harr78,C:\ProgramData\McAfee\Direct,2804
SN703NSU,csrss.exe,%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024 20480 768 Windows=On SubSystemType=Windows ServerDll=basesrv 1 ServerDll=winsrv:UserServerDllInitialization 3 ServerDll=winsrv:ConServerDllInitialization 2 ServerDll=sxssrv 4 ProfileControl=Off MaxRequestThreads=16,NT AUTHORITY\SYSTEM,C:\Windows\system32,3580
SN703NSU,svchost.exe,C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork,NT AUTHORITY\SYSTEM,C:\Windows\system32,3692
SN703NSU,dllhost.exe,C:\Windows\system32\dllhost.exe /Processid:{3EAE8C5E-B51F-4CBD-9DCE-FA6AA0BDF8B8},NT AUTHORITY\SYSTEM,C:\Windows\system32,5948
SN703NSU,svchost.exe,C:\Windows\system32\svchost.exe -k RPCSS,NT AUTHORITY\SYSTEM,C:\Windows\system32,5112
SN703NSU,Dwm.exe,"""C:\Windows\system32\Dwm.exe""",NT AUTHORITY\SYSTEM,C:\Windows\system32,2364
SN703NSU,UIHost.exe,"""C:\Program Files\McAfee\WebAdvisor\UIHost.exe"" ",jonatha.harr78,C:\Program Files\McAfee\WebAdvisor,2009
SN703NSU,mchost.exe,"""C:\Program Files\Common Files\McAfee\Platform\Core\mchost.exe"" {e05dd3fd-ba47-4235-85a5-3789db83c8e1} /pid=444",jonatha.harr78,C:\Program Files\Common Files\McAfee\Platform\Core,1373
SN703NSU,dllhost.exe,C:\Windows\system32\dllhost.exe /Processid:{02D4B3F1-FD88-11D1-960D-00805FC79235},NT AUTHORITY\SYSTEM,C:\Windows\system32,4524
SN703NSU,svchost.exe,C:\Windows\system32\svchost.exe -k regsvc,NT AUTHORITY\SYSTEM,C:\Windows\system32,6456
SN703NSU,MFEAvSvc.exe,"""C:\Program Files\McAfee\MfeAV\MFEAvSvc.exe""",jonatha.harr78,C:\Program Files\McAfee\MfeAV,5580
SN703NSU,iexplore.exe,"""C:\Program Files\internet explorer\iexplore.exe"" ",samevans,C:\Program Files\internet explorer,1253
SN703NSU,KeePassXC.exe,"""C:\Program Files\KeePassXC\KeePassXC.exe"" ",jonatha.harr78,C:\Program Files\KeePassXC,3131
SN703NSU,svchost.exe,C:\Windows\system32\svchost.exe -k LocalService,NT AUTHORITY\SYSTEM,C:\Windows\system32,1312
SN703NSU,modulecoreservice.exe,"""c:\program files\common files\mcafee\modulecore\modulecoreservice.exe""",jonatha.harr78,c:\program files\common files\mcafee\modulecore,3812
SN703NSU,spoolsv.exe,C:\Windows\System32\spoolsv.exe,NT AUTHORITY\SYSTEM,C:\Windows\System32,232
SN703NSU,taskhost.exe,"""taskhost.exe""",NT AUTHORITY\SYSTEM,C:\Windows\system32,3940
SN703NSU,LogonUI.exe,"""LogonUI.exe"" /flags:0x0",NT AUTHORITY\SYSTEM,C:\Windows\system32,364
SN703NSU,svchost.exe,C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted,NT AUTHORITY\SYSTEM,C:\Windows\System32,664
SN703NSU,McCSPServiceHost.exe,"""C:\Program Files\Common Files\McAfee\CSP\3.0.127.0\\McCSPServiceHost.exe""",jonatha.harr78,C:\Program Files\Common Files\McAfee\CSP\3.0.127.0,2633
SN703NSU,mcafee_trial_setup_433.0207.3919_key.exe,"""C:\Users\jonatha.harr78\AppData\Local\Temp\scoped_dir9616_4071\mcafee_trial_setup_433.0207.3919_key.exe"" ",jonatha.harr78,C:\Users\jonatha.harr78\AppData\Local\Temp\scoped_dir9616_4071,5754
SN703NSU,lsm.exe,C:\Windows\system32\lsm.exe,NT AUTHORITY\SYSTEM,C:\Windows\system32,596
SN703NSU,McPvTray.exe,"""C:\Program Files\McAfee\MAT\McPvTray.exe""",jonatha.harr78,C:\Program Files\McAfee\MAT,971
SN703NSU,svchost.exe,C:\Windows\System32\svchost.exe -k termsvcs,NT AUTHORITY\SYSTEM,C:\Windows\System32,2316
