hostname,name,arguments,username,path,pid
WB281FHJ,McApExe.exe,"""C:\Program Files\Common Files\McAfee\VSCore_18_6\McApExe.exe""",bryanhil,C:\Program Files\Common Files\McAfee\VSCore_18_6,5707
WB281FHJ,svchost.exe,C:\Windows\System32\svchost.exe -k termsvcs,NT AUTHORITY\SYSTEM,C:\Windows\System32,5408
WB281FHJ,mchost.exe,"""C:\Program Files\Common Files\McAfee\Platform\Core\mchost.exe"" {e05dd3fd-ba47-4235-85a5-3789db83c8e1} /pid=444",bryanhil,C:\Program Files\Common Files\McAfee\Platform\Core,3733
WB281FHJ,McDiReg.exe,"""C:\ProgramData\McAfee\Direct\McDiReg.exe"" ",bryanhil,C:\ProgramData\McAfee\Direct,2708
WB281FHJ,McPvTray.exe,"""C:\Program Files\McAfee\MAT\McPvTray.exe""",bryanhil,C:\Program Files\McAfee\MAT,2357
WB281FHJ,svchost.exe,C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork,NT AUTHORITY\SYSTEM,C:\Windows\system32,5752
WB281FHJ,dwm.exe,"""dwm.exe""",NT AUTHORITY\SYSTEM,C:\Windows\system32,5292
WB281FHJ,iexplore.exe,"""C:\Program Files\internet explorer\iexplore.exe"" ",bryanhil,C:\Program Files\internet explorer,2361
WB281FHJ,McDiReg.exe,C:\ProgramData\McAfee\Direct\McDiReg.exe -MONITOR_PI2 9508,bryanhil,C:\ProgramData\McAfee\Direct,527
WB281FHJ,svchost.exe,C:\Windows\system32\svchost.exe -k DcomLaunch,NT AUTHORITY\SYSTEM,C:\Windows\system32,2480
WB281FHJ,LogonUI.exe,"""LogonUI.exe"" /flags:0x0",NT AUTHORITY\SYSTEM,C:\Windows\system32,5280
WB281FHJ,tvnserver.exe,"""C:\Program Files\TightVNC\tvnserver.exe"" -controlservice -slave",jos.turne,C:\Program Files\TightVNC,4540
WB281FHJ,ProtectedModuleHost.exe,"""C:\\Program Files\\Common Files\\McAfee\ModuleCore\\ProtectedModuleHost.exe""",bryanhil,C:\Program Files\Common Files\McAfee\ModuleCore,1911
WB281FHJ,soffice.bin,"""C:\Program Files (x86)\OpenOffice 4\program\soffice.exe"" ""-env:OOO_CWD=2C:\\Program Files (x86)\\OpenOffice 4""",jos.turne,C:\Program Files (x86)\OpenOffice 4\program,2948
WB281FHJ,OneDrive.exe,"""C:\Users\bryanhil\AppData\Local\Microsoft\OneDrive\OneDrive.exe"" ",bryanhil,C:\Users\bryanhil\AppData\Local\Microsoft\OneDrive,4251
