hostname,name,arguments,username,path,pid
WE156YJT,McInstruTrack.exe,C:\ProgramData\McAfee\McInstruTrack\McInstruTrack.exe /SP:0,isl.davi87,C:\ProgramData\McAfee\McInstruTrack,2368
WE156YJT,svchost.exe,C:\Windows\system32\svchost.exe -k NetworkService,NT AUTHORITY\SYSTEM,C:\Windows\system32,2408
WE156YJT,wmpnetwk.exe,"""C:\Program Files\Windows Media Player\wmpnetwk.exe""",NT AUTHORITY\SYSTEM,C:\Program Files\Windows Media Player,6168
WE156YJT,sqlservr.exe,"""C:\Program Files\Microsoft SQL Server\MSSQL14.SQLEXPRESS\MSSQL\Binn\sqlservr.exe"" -sSQLEXPRESS",iriwoo99,C:\Program Files\Microsoft SQL Server\MSSQL14.SQLEXPRESS\MSSQL\Binn,4817
WE156YJT,svchost.exe,C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted,NT AUTHORITY\SYSTEM,C:\Windows\System32,2704
WE156YJT,McAMTaskAgent.exe,"""C:\Program Files\Common Files\McAfee\TaskScheduler\McAMTaskAgent.exe"" -Embedding",isl.davi87,C:\Program Files\Common Files\McAfee\TaskScheduler,3077
WE156YJT,sppsvc.exe,C:\Windows\system32\sppsvc.exe,NT AUTHORITY\SYSTEM,C:\Windows\system32,5608
WE156YJT,lsm.exe,C:\Windows\system32\lsm.exe,NT AUTHORITY\SYSTEM,C:\Windows\system32,5912
WE156YJT,McPvTray.exe,"""C:\Program Files\McAfee\MAT\McPvTray.exe""",isl.davi87,C:\Program Files\McAfee\MAT,6383
WE156YJT,MMSSHOST.EXE,"""C:\Program Files\Common Files\McAfee\MMSSHost\MMSSHOST.EXE"" MMSCOM homenetsvc",isl.davi87,C:\Program Files\Common Files\McAfee\MMSSHost,2895
WE156YJT,McCSPServiceHost.exe,"""C:\Program Files\Common Files\McAfee\CSP\3.0.127.0\\McCSPServiceHost.exe""",isl.davi87,C:\Program Files\Common Files\McAfee\CSP\3.0.127.0,2355
WE156YJT,UIHost.exe,"""C:\Program Files\McAfee\WebAdvisor\UIHost.exe"" ",isl.davi87,C:\Program Files\McAfee\WebAdvisor,467
WE156YJT,Explorer.EXE,C:\Windows\Explorer.EXE,NT AUTHORITY\SYSTEM,C:\Windows,1988
WE156YJT,vncviewer.exe,"""C:\Program Files\RealVNC\VNC Viewer\vncviewer.exe"" ",isl.davi87,C:\Program Files\RealVNC\VNC Viewer,4878
WE156YJT,modulecoreservice.exe,"""c:\program files\common files\mcafee\modulecore\modulecoreservice.exe""",isl.davi87,c:\program files\common files\mcafee\modulecore,4433
WE156YJT,conhost.exe,\??\C:\Windows\system32\conhost.exe,NT AUTHORITY\SYSTEM,C:\Windows\system32,5652
WE156YJT,spoolsv.exe,C:\Windows\System32\spoolsv.exe,NT AUTHORITY\SYSTEM,C:\Windows\System32,1436
WE156YJT,svchost.exe,C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork,NT AUTHORITY\SYSTEM,C:\Windows\system32,3292
WE156YJT,services.exe,C:\Windows\system32\services.exe,NT AUTHORITY\SYSTEM,C:\Windows\system32,3768
WE156YJT,winlogon.exe,winlogon.exe,NT AUTHORITY\SYSTEM,C:\Windows\system32,2348
WE156YJT,mcuicnt.exe,"""C:\Program Files\Common Files\mcafee\Platform\mcuicnt.exe"" ""C:\Program Files\Common Files\McAfee\ActWiz\mcactwiz.dll"" nosplash:",isl.davi87,C:\Program Files\Common Files\mcafee\Platform,1470
WE156YJT,ProtectedModuleHost.exe,"""C:\\Program Files\\Common Files\\McAfee\ModuleCore\\ProtectedModuleHost.exe""",isl.davi87,C:\Program Files\Common Files\McAfee\ModuleCore,1219
WE156YJT,ServiceHost.exe,"""C:\Program Files\McAfee\WebAdvisor\ServiceHost.exe""",isl.davi87,C:\Program Files\McAfee\WebAdvisor,3827
WE156YJT,svchost.exe,C:\Windows\system32\svchost.exe -k netsvcs,NT AUTHORITY\SYSTEM,C:\Windows\system32,5800
WE156YJT,SearchIndexer.exe,C:\Windows\system32\SearchIndexer.exe /Embedding,NT AUTHORITY\SYSTEM,C:\Windows\system32,5968
WE156YJT,svchost.exe,C:\Windows\system32\svchost.exe -k LocalService,NT AUTHORITY\SYSTEM,C:\Windows\system32,3588
WE156YJT,tvnserver.exe,"""C:\Program Files\TightVNC\tvnserver.exe"" -service",isl.davi87,C:\Program Files\TightVNC,2410
WE156YJT,svchost.exe,C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted,NT AUTHORITY\SYSTEM,C:\Windows\System32,4004
WE156YJT,svchost.exe,C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation,NT AUTHORITY\SYSTEM,C:\Windows\system32,5004
WE156YJT,svchost.exe,C:\Windows\System32\svchost.exe -k secsvcs,NT AUTHORITY\SYSTEM,C:\Windows\System32,4680
WE156YJT,AcroRd32.exe,"""C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe"" ",isl.davi87,C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader,6097
WE156YJT,wininit.exe,wininit.exe,NT AUTHORITY\SYSTEM,C:\Windows\system32,2420
WE156YJT,AcroRd32.exe,"""C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe"" --type=renderer /prefetch:1",isl.davi87,C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader,5893
WE156YJT,taskhost.exe,"""taskhost.exe""",NT AUTHORITY\SYSTEM,C:\Windows\system32,2796
