hostname,modulename,modulepath
EB0005YAT,kdnic.sys,C:\Windows\System32\drivers\
EB0005YAT,msgpiowin32.sys,C:\Windows\System32\drivers\
EB0005YAT,dmvsc.sys,C:\Windows\System32\drivers\
EB0005YAT,filecrypt.sys,C:\Windows\System32\drivers\
EB0005YAT,hidbth.sys,C:\Windows\System32\drivers\
EB0005YAT,mrxsmb20.sys,C:\Windows\System32\drivers\
EB0005YAT,ETD.sys,C:\Windows\System32\drivers\
EB0005YAT,EhStorClass.sys,C:\Windows\System32\drivers\
EB0005YAT,mup.sys,C:\Windows\System32\drivers\
EB0005YAT,intelide.sys,C:\Windows\System32\drivers\
EB0005YAT,amdsata.sys,C:\Windows\System32\drivers\
EB0005YAT,rdpbus.sys,C:\Windows\System32\drivers\
EB0005YAT,mouhid.sys,C:\Windows\System32\drivers\
EB0005YAT,volmgrx.sys,C:\Windows\System32\drivers\
EB0005YAT,tpm.sys,C:\Windows\System32\drivers\
EB0005YAT,vmgid.sys,C:\Windows\System32\drivers\
EB0005YAT,evbda.sys,C:\Windows\System32\drivers\
EB0005YAT,intelppm.sys,C:\Windows\System32\drivers\
EB0005YAT,BasicDisplay.sys,C:\Windows\System32\drivers\
EB0005YAT,cdfs.sys,C:\Windows\System32\drivers\
EB0005YAT,amdxata.sys,C:\Windows\System32\drivers\
EB0005YAT,WUDFPf.sys,C:\Windows\System32\drivers\
EB0005YAT,mvumis.sys,C:\Windows\System32\drivers\
EB0005YAT,lltdio.sys,C:\Windows\System32\drivers\
EB0005YAT,hwpolicy.sys,C:\Windows\System32\drivers\
EB0005YAT,pacer.sys,C:\Windows\System32\drivers\
EB0005YAT,ndiscap.sys,C:\Windows\System32\drivers\
EB0005YAT,vwifibus.sys,C:\Windows\System32\drivers\
EB0005YAT,ETDSMBus.sys,C:\Windows\System32\drivers\
EB0005YAT,UcmUcsi.sys,C:\Windows\System32\drivers\
EB0005YAT,mpsdrv.sys,C:\Windows\System32\drivers\
EB0005YAT,bxvbda.sys,C:\Windows\System32\drivers\
EB0005YAT,IPMIDrv.sys,C:\Windows\System32\drivers\
EB0005YAT,ndiswan.sys,C:\Windows\System32\drivers\
EB0005YAT,TsUsbGD.sys,C:\Windows\System32\drivers\
EB0005YAT,tdx.sys,C:\Windows\System32\drivers\
EB0005YAT,vms3cap.sys,C:\Windows\System32\drivers\
EB0005YAT,NdisVirtualBus.sys,C:\Windows\System32\drivers\
EB0005YAT,iorate.sys,C:\Windows\System32\drivers\
EB0005YAT,mouclass.sys,C:\Windows\System32\drivers\
EB0005YAT,rdpvideominiport.sys,C:\Windows\System32\drivers\
EB0005YAT,amdsbs.sys,C:\Windows\System32\drivers\
EB0005YAT,ndistapi.sys,C:\Windows\System32\drivers\
EB0005YAT,umpass.sys,C:\Windows\System32\drivers\
EB0005YAT,tunnel.sys,C:\Windows\System32\drivers\
EB0005YAT,Ucx01000.sys,C:\Windows\System32\drivers\
EB0005YAT,tcpip.sys,C:\Windows\System32\drivers\
EB0005YAT,fltMgr.sys,C:\Windows\System32\drivers\
EB0005YAT,fileinfo.sys,C:\Windows\System32\drivers\
EB0005YAT,VmsProxy.sys,C:\Windows\System32\drivers\
EB0005YAT,SDFRd.sys,C:\Windows\System32\drivers\
EB0005YAT,adp80xx.sys,C:\Windows\System32\drivers\
EB0005YAT,HyperVideo.sys,C:\Windows\System32\drivers\
EB0005YAT,winnat.sys,C:\Windows\System32\drivers\
EB0005YAT,gpuenergydrv.sys,C:\Windows\System32\drivers\
EB0005YAT,RtsUer.sys,C:\Windows\System32\drivers\
EB0005YAT,lsi_sas.sys,C:\Windows\System32\drivers\
