hostname,modulename,modulepath
EE0006SWF,afd.sys,C:\Windows\system32\drivers\
EE0006SWF,wanarp.sys,C:\Windows\system32\DRIVERS\
EE0006SWF,msisadrv.sys,C:\Windows\system32\drivers\
EE0006SWF,ksecdd.sys,C:\Windows\System32\Drivers\
EE0006SWF,tcpip.sys,C:\Windows\System32\drivers\
EE0006SWF,volmgrx.sys,C:\Windows\System32\drivers\
EE0006SWF,i8042prt.sys,C:\Windows\system32\DRIVERS\
EE0006SWF,VIDEOPRT.SYS,C:\Windows\System32\drivers\
EE0006SWF,fltmgr.sys,C:\Windows\system32\drivers\
EE0006SWF,swenum.sys,C:\Windows\system32\DRIVERS\
EE0006SWF,fwpkclnt.sys,C:\Windows\System32\drivers\
EE0006SWF,rdyboost.sys,C:\Windows\System32\drivers\
EE0006SWF,fileinfo.sys,C:\Windows\system32\drivers\
EE0006SWF,dump_pciidex.sys,C:\Windows\System32\Drivers\
EE0006SWF,dump_dumpfve.sys,C:\Windows\System32\Drivers\
EE0006SWF,mrxsmb20.sys,C:\Windows\system32\DRIVERS\
EE0006SWF,ntoskrnl.exe,C:\Windows\system32\
EE0006SWF,VBoxGuest.sys,C:\Windows\system32\DRIVERS\
EE0006SWF,portcls.sys,C:\Windows\system32\drivers\
EE0006SWF,mssmbios.sys,C:\Windows\system32\DRIVERS\
EE0006SWF,nsiproxy.sys,C:\Windows\system32\drivers\
EE0006SWF,mrxsmb.sys,C:\Windows\system32\DRIVERS\
EE0006SWF,intelppm.sys,C:\Windows\system32\DRIVERS\
EE0006SWF,rassstp.sys,C:\Windows\system32\DRIVERS\
EE0006SWF,monitor.sys,C:\Windows\system32\DRIVERS\
EE0006SWF,Fs_Rec.sys,C:\Windows\System32\Drivers\
EE0006SWF,vmstorfl.sys,C:\Windows\system32\drivers\
EE0006SWF,mrxsmb10.sys,C:\Windows\system32\DRIVERS\
EE0006SWF,ndiswan.sys,C:\Windows\system32\DRIVERS\
EE0006SWF,ks.sys,C:\Windows\system32\DRIVERS\
EE0006SWF,kdcom.dll,C:\Windows\system32\
EE0006SWF,AgileVpn.sys,C:\Windows\system32\DRIVERS\
EE0006SWF,drmk.sys,C:\Windows\system32\drivers\
EE0006SWF,csc.sys,C:\Windows\system32\drivers\
EE0006SWF,mouhid.sys,C:\Windows\system32\DRIVERS\
EE0006SWF,ksthunk.sys,C:\Windows\system32\drivers\
EE0006SWF,raspppoe.sys,C:\Windows\system32\DRIVERS\
EE0006SWF,netbios.sys,C:\Windows\system32\DRIVERS\
EE0006SWF,CmBatt.sys,C:\Windows\system32\DRIVERS\
EE0006SWF,crashdmp.sys,C:\Windows\System32\Drivers\
EE0006SWF,NETIO.SYS,C:\Windows\system32\drivers\
EE0006SWF,netbt.sys,C:\Windows\System32\DRIVERS\
