hostname,modulename,modulepath
EN0004GYO,Npfs.SYS,C:\Windows\System32\Drivers\
EN0004GYO,fltmgr.sys,C:\Windows\system32\drivers\
EN0004GYO,umbus.sys,C:\Windows\system32\DRIVERS\
EN0004GYO,Beep.SYS,C:\Windows\System32\Drivers\
EN0004GYO,kbdclass.sys,C:\Windows\system32\DRIVERS\
EN0004GYO,mup.sys,C:\Windows\System32\Drivers\
EN0004GYO,rdprefmp.sys,C:\Windows\system32\drivers\
EN0004GYO,termdd.sys,C:\Windows\system32\DRIVERS\
EN0004GYO,ksthunk.sys,C:\Windows\system32\drivers\
EN0004GYO,drmk.sys,C:\Windows\system32\drivers\
EN0004GYO,intelppm.sys,C:\Windows\system32\DRIVERS\
EN0004GYO,HTTP.sys,C:\Windows\system32\drivers\
EN0004GYO,mrxsmb.sys,C:\Windows\system32\DRIVERS\
EN0004GYO,vdrvroot.sys,C:\Windows\system32\drivers\
EN0004GYO,afd.sys,C:\Windows\system32\drivers\
EN0004GYO,srv.sys,C:\Windows\System32\DRIVERS\
EN0004GYO,HIDCLASS.SYS,C:\Windows\system32\DRIVERS\
EN0004GYO,TSDDD.dll,C:\Windows\System32\
EN0004GYO,HDAudBus.sys,C:\Windows\system32\DRIVERS\
EN0004GYO,mrxsmb10.sys,C:\Windows\system32\DRIVERS\
EN0004GYO,vga.sys,C:\Windows\System32\drivers\
EN0004GYO,wfplwf.sys,C:\Windows\system32\DRIVERS\
EN0004GYO,rdpbus.sys,C:\Windows\system32\DRIVERS\
EN0004GYO,VBoxDisp.dll,C:\Windows\System32\
EN0004GYO,blbdrive.sys,C:\Windows\system32\DRIVERS\
EN0004GYO,CLFS.SYS,C:\Windows\system32\
EN0004GYO,tdx.sys,C:\Windows\system32\DRIVERS\
EN0004GYO,secdrv.SYS,C:\Windows\System32\Drivers\
EN0004GYO,mssmbios.sys,C:\Windows\system32\DRIVERS\
EN0004GYO,Msfs.SYS,C:\Windows\System32\Drivers\
EN0004GYO,rdbss.sys,C:\Windows\system32\DRIVERS\
EN0004GYO,wanarp.sys,C:\Windows\system32\DRIVERS\
EN0004GYO,rdyboost.sys,C:\Windows\System32\drivers\
EN0004GYO,monitor.sys,C:\Windows\system32\DRIVERS\
EN0004GYO,VBoxVideo.sys,C:\Windows\system32\DRIVERS\
EN0004GYO,peauth.sys,C:\Windows\system32\drivers\
EN0004GYO,VBoxGuest.sys,C:\Windows\system32\DRIVERS\
EN0004GYO,CmBatt.sys,C:\Windows\system32\DRIVERS\
EN0004GYO,hal.dll,C:\Windows\system32\
EN0004GYO,mountmgr.sys,C:\Windows\System32\drivers\
EN0004GYO,crashdmp.sys,C:\Windows\System32\Drivers\
EN0004GYO,netbt.sys,C:\Windows\System32\DRIVERS\
EN0004GYO,csc.sys,C:\Windows\system32\drivers\
EN0004GYO,volmgrx.sys,C:\Windows\System32\drivers\
EN0004GYO,WDFLDR.SYS,C:\Windows\system32\drivers\
EN0004GYO,portcls.sys,C:\Windows\system32\drivers\
EN0004GYO,TDI.SYS,C:\Windows\system32\DRIVERS\
EN0004GYO,usbhub.sys,C:\Windows\system32\DRIVERS\
EN0004GYO,rspndr.sys,C:\Windows\system32\DRIVERS\
EN0004GYO,nsiproxy.sys,C:\Windows\system32\drivers\
EN0004GYO,i8042prt.sys,C:\Windows\system32\DRIVERS\
EN0004GYO,hidusb.sys,C:\Windows\system32\DRIVERS\
EN0004GYO,fvevol.sys,C:\Windows\System32\DRIVERS\
EN0004GYO,tcpipreg.sys,C:\Windows\System32\drivers\
EN0004GYO,atapi.sys,C:\Windows\system32\drivers\
EN0004GYO,Dxapi.sys,C:\Windows\System32\drivers\
EN0004GYO,discache.sys,C:\Windows\System32\drivers\
EN0004GYO,raspppoe.sys,C:\Windows\system32\DRIVERS\
EN0004GYO,kdcom.dll,C:\Windows\system32\
EN0004GYO,volmgr.sys,C:\Windows\system32\drivers\
EN0004GYO,CI.dll,C:\Windows\system32\
EN0004GYO,Wdf01000.sys,C:\Windows\system32\drivers\
EN0004GYO,dfsc.sys,C:\Windows\System32\Drivers\
EN0004GYO,cng.sys,C:\Windows\System32\Drivers\
EN0004GYO,Null.SYS,C:\Windows\System32\Drivers\
EN0004GYO,HIDPARSE.SYS,C:\Windows\system32\DRIVERS\
EN0004GYO,dxg.sys,C:\Windows\System32\drivers\
EN0004GYO,amdxata.sys,C:\Windows\system32\drivers\
EN0004GYO,AgileVpn.sys,C:\Windows\system32\DRIVERS\
EN0004GYO,ksecdd.sys,C:\Windows\System32\Drivers\
EN0004GYO,swenum.sys,C:\Windows\system32\DRIVERS\
