hostname,modulename,modulepath
ES0001FTZ,lsi_sas.sys,C:\Windows\System32\drivers\
ES0001FTZ,VMBusHID.sys,C:\Windows\System32\drivers\
ES0001FTZ,vmgencounter.sys,C:\Windows\System32\drivers\
ES0001FTZ,isapnp.sys,C:\Windows\System32\drivers\
ES0001FTZ,bfadi.sys,C:\Windows\System32\drivers\
ES0001FTZ,bxfcoe.sys,C:\Windows\System32\drivers\
ES0001FTZ,swenum.sys,C:\Windows\System32\drivers\
ES0001FTZ,megasr.sys,C:\Windows\System32\drivers\
ES0001FTZ,BasicRender.sys,C:\Windows\System32\drivers\
ES0001FTZ,volmgr.sys,C:\Windows\System32\drivers\
ES0001FTZ,VSTXRAID.SYS,C:\Windows\System32\drivers\
ES0001FTZ,NdisVirtualBus.sys,C:\Windows\System32\drivers\
ES0001FTZ,iaStorAV.sys,C:\Windows\System32\drivers\
ES0001FTZ,lltdio.sys,C:\Windows\System32\drivers\
ES0001FTZ,rasacd.sys,C:\Windows\System32\drivers\
ES0001FTZ,ws2ifsl.sys,C:\Windows\System32\drivers\
ES0001FTZ,ipnat.sys,C:\Windows\System32\drivers\
ES0001FTZ,PEAuth.sys,C:\Windows\System32\drivers\
ES0001FTZ,fcvsc.sys,C:\Windows\System32\drivers\
ES0001FTZ,rspndr.sys,C:\Windows\System32\drivers\
ES0001FTZ,intelppm.sys,C:\Windows\System32\drivers\
ES0001FTZ,winmad.sys,C:\Windows\System32\drivers\
ES0001FTZ,HpSAMD.sys,C:\Windows\System32\drivers\
ES0001FTZ,bridge.sys,C:\Windows\System32\drivers\
ES0001FTZ,asyncmac.sys,C:\Windows\System32\drivers\
ES0001FTZ,processr.sys,C:\Windows\System32\drivers\
ES0001FTZ,bfadfcoei.sys,C:\Windows\System32\drivers\
ES0001FTZ,acpitime.sys,C:\Windows\System32\drivers\
ES0001FTZ,tpm.sys,C:\Windows\System32\drivers\
ES0001FTZ,AGP440.sys,C:\Windows\System32\drivers\
ES0001FTZ,vmbusr.sys,C:\Windows\System32\drivers\
ES0001FTZ,volsnap.sys,C:\Windows\System32\drivers\
ES0001FTZ,vpci.sys,C:\Windows\System32\drivers\
ES0001FTZ,storahci.sys,C:\Windows\System32\drivers\
ES0001FTZ,disk.sys,C:\Windows\System32\drivers\
ES0001FTZ,ndistapi.sys,C:\Windows\System32\drivers\
ES0001FTZ,ksthunk.sys,C:\Windows\System32\drivers\
ES0001FTZ,msisadrv.sys,C:\Windows\System32\drivers\
ES0001FTZ,acpipmi.sys,C:\Windows\System32\drivers\
ES0001FTZ,fdc.sys,C:\Windows\System32\drivers\
ES0001FTZ,usbprint.sys,C:\Windows\System32\drivers\
ES0001FTZ,HyperVideo.sys,C:\Windows\System32\drivers\
ES0001FTZ,tcpip.sys,C:\Windows\System32\drivers\
ES0001FTZ,srv.sys,C:\Windows\System32\drivers\
ES0001FTZ,1394ohci.sys,C:\Windows\System32\drivers\
ES0001FTZ,ndfltr.sys,C:\Windows\System32\drivers\
ES0001FTZ,clfs.sys,C:\Windows\System32\drivers\
ES0001FTZ,bxois.sys,C:\Windows\System32\drivers\
ES0001FTZ,rasl2tp.sys,C:\Windows\System32\drivers\
ES0001FTZ,hdaudbus.sys,C:\Windows\System32\drivers\
ES0001FTZ,nvraid.sys,C:\Windows\System32\drivers\
ES0001FTZ,vms3cap.sys,C:\Windows\System32\drivers\
ES0001FTZ,iaStorV.sys,C:\Windows\System32\drivers\
ES0001FTZ,USBHUB3.SYS,C:\Windows\System32\drivers\
ES0001FTZ,rdpbus.sys,C:\Windows\System32\drivers\
ES0001FTZ,WUDFPf.sys,C:\Windows\System32\drivers\
ES0001FTZ,appid.sys,C:\Windows\System32\drivers\
ES0001FTZ,Wdf01000.sys,C:\Windows\System32\drivers\
ES0001FTZ,ql2300i.sys,C:\Windows\System32\drivers\
ES0001FTZ,agilevpn.sys,C:\Windows\System32\drivers\
ES0001FTZ,dxgkrnl.sys,C:\Windows\System32\drivers\
ES0001FTZ,GAGP30KX.SYS,C:\Windows\System32\drivers\
ES0001FTZ,mouhid.sys,C:\Windows\System32\drivers\
ES0001FTZ,mshidkmdf.sys,C:\Windows\System32\drivers\
ES0001FTZ,vmbus.sys,C:\Windows\System32\drivers\
ES0001FTZ,fileinfo.sys,C:\Windows\System32\drivers\
ES0001FTZ,mrxsmb20.sys,C:\Windows\System32\drivers\
ES0001FTZ,CompositeBus.sys,C:\Windows\System32\drivers\
ES0001FTZ,sdbus.sys,C:\Windows\System32\drivers\
ES0001FTZ,tsusbhub.sys,C:\Windows\System32\drivers\
ES0001FTZ,NdisImPlatform.sys,C:\Windows\System32\drivers\
ES0001FTZ,bxvbda.sys,C:\Windows\System32\drivers\
ES0001FTZ,bowser.sys,C:\Windows\System32\drivers\
ES0001FTZ,CmBatt.sys,C:\Windows\System32\drivers\
ES0001FTZ,mvumis.sys,C:\Windows\System32\drivers\
ES0001FTZ,vxn64x64.sys,C:\Windows\System32\drivers\
ES0001FTZ,TsUsbGD.sys,C:\Windows\System32\drivers\
ES0001FTZ,i8042prt.sys,C:\Windows\System32\drivers\
ES0001FTZ,TsUsbFlt.sys,C:\Windows\System32\drivers\
ES0001FTZ,rassstp.sys,C:\Windows\System32\drivers\
ES0001FTZ,MTConfig.sys,C:\Windows\System32\drivers\
ES0001FTZ,mup.sys,C:\Windows\System32\drivers\
ES0001FTZ,NV_AGP.SYS,C:\Windows\System32\drivers\
ES0001FTZ,arcsas.sys,C:\Windows\System32\drivers\
ES0001FTZ,rdbss.sys,C:\Windows\System32\drivers\
ES0001FTZ,hidusb.sys,C:\Windows\System32\drivers\
ES0001FTZ,ibbus.sys,C:\Windows\System32\drivers\
ES0001FTZ,storvsp.sys,C:\Windows\System32\drivers\
ES0001FTZ,usbuhci.sys,C:\Windows\System32\drivers\
ES0001FTZ,qlfcoei.sys,C:\Windows\System32\drivers\
ES0001FTZ,lsi_sas3.sys,C:\Windows\System32\drivers\
ES0001FTZ,mouclass.sys,C:\Windows\System32\drivers\
ES0001FTZ,megasas.sys,C:\Windows\System32\drivers\
ES0001FTZ,afd.sys,C:\Windows\System32\drivers\
ES0001FTZ,kbdhid.sys,C:\Windows\System32\drivers\
ES0001FTZ,mssmbios.sys,C:\Windows\System32\drivers\
ES0001FTZ,npsvctrig.sys,C:\Windows\System32\drivers\
ES0001FTZ,elxfcoe.sys,C:\Windows\System32\drivers\
ES0001FTZ,tcpipreg.sys,C:\Windows\System32\drivers\
ES0001FTZ,usbohci.sys,C:\Windows\System32\drivers\
ES0001FTZ,srvnet.sys,C:\Windows\System32\drivers\
ES0001FTZ,stexstor.sys,C:\Windows\System32\drivers\
ES0001FTZ,mpsdrv.sys,C:\Windows\System32\drivers\
ES0001FTZ,pacer.sys,C:\Windows\System32\drivers\
ES0001FTZ,pcw.sys,C:\Windows\System32\drivers\
ES0001FTZ,FsDepends.sys,C:\Windows\System32\drivers\
ES0001FTZ,acpi.sys,C:\Windows\System32\drivers\
ES0001FTZ,ndis.sys,C:\Windows\System32\drivers\
ES0001FTZ,winverbs.sys,C:\Windows\System32\drivers\
