hostname,modulename,modulepath
NN0006WMC,storufs.sys,C:\Windows\System32\drivers\
NN0006WMC,NdisVirtualBus.sys,C:\Windows\System32\drivers\
NN0006WMC,serial.sys,C:\Windows\System32\drivers\
NN0006WMC,percsas3i.sys,C:\Windows\System32\drivers\
NN0006WMC,buttonconverter.sys,C:\Windows\System32\drivers\
NN0006WMC,scfilter.sys,C:\Windows\System32\drivers\
NN0006WMC,adp80xx.sys,C:\Windows\System32\drivers\
NN0006WMC,hdaudbus.sys,C:\Windows\System32\drivers\
NN0006WMC,serenum.sys,C:\Windows\System32\drivers\
NN0006WMC,kbdhid.sys,C:\Windows\System32\drivers\
NN0006WMC,Ucx01000.sys,C:\Windows\System32\drivers\
NN0006WMC,pci.sys,C:\Windows\System32\drivers\
NN0006WMC,wcnfs.sys,C:\Windows\System32\drivers\
NN0006WMC,bthenum.sys,C:\Windows\System32\drivers\
NN0006WMC,raspptp.sys,C:\Windows\System32\drivers\
NN0006WMC,clfs.sys,C:\Windows\System32\drivers\
NN0006WMC,mpsdrv.sys,C:\Windows\System32\drivers\
NN0006WMC,drmkaud.sys,C:\Windows\System32\drivers\
NN0006WMC,BasicRender.sys,C:\Windows\System32\drivers\
NN0006WMC,WpdUpFltr.sys,C:\Windows\System32\drivers\
NN0006WMC,Ndu.sys,C:\Windows\System32\drivers\
NN0006WMC,WdiWiFi.sys,C:\Windows\System32\drivers\
NN0006WMC,msisadrv.sys,C:\Windows\System32\drivers\
NN0006WMC,nsiproxy.sys,C:\Windows\System32\drivers\
NN0006WMC,pacer.sys,C:\Windows\System32\drivers\
NN0006WMC,usbhub.sys,C:\Windows\System32\drivers\
NN0006WMC,atapi.sys,C:\Windows\System32\drivers\
NN0006WMC,iaLPSS2i_GPIO2_BXT_P.sys,C:\Windows\System32\drivers\
NN0006WMC,lsi_sas2i.sys,C:\Windows\System32\drivers\
NN0006WMC,msgpioclx.sys,C:\Windows\System32\drivers\
NN0006WMC,amdsata.sys,C:\Windows\System32\drivers\
NN0006WMC,ipfltdrv.sys,C:\Windows\System32\drivers\
NN0006WMC,rdbss.sys,C:\Windows\System32\drivers\
NN0006WMC,Synth3dVsc.sys,C:\Windows\System32\drivers\
NN0006WMC,ItSas35i.sys,C:\Windows\System32\drivers\
NN0006WMC,1394ohci.sys,C:\Windows\System32\drivers\
NN0006WMC,IPMIDrv.sys,C:\Windows\System32\drivers\
NN0006WMC,dmvsc.sys,C:\Windows\System32\drivers\
NN0006WMC,WdmCompanionFilter.sys,C:\Windows\System32\drivers\
NN0006WMC,BTHUSB.SYS,C:\Windows\System32\drivers\
NN0006WMC,lxss.sys,C:\Windows\System32\drivers\
NN0006WMC,ahcache.sys,C:\Windows\System32\drivers\
NN0006WMC,USBHUB3.SYS,C:\Windows\System32\drivers\
NN0006WMC,amdsbs.sys,C:\Windows\System32\drivers\
NN0006WMC,WdBoot.sys,C:\Windows\System32\drivers\wd\
NN0006WMC,kbdclass.sys,C:\Windows\System32\drivers\
NN0006WMC,usbcir.sys,C:\Windows\System32\drivers\
