hostname,modulename,modulepath
NT0003VEO,stexstor.sys,C:\Windows\System32\drivers\
NT0003VEO,filetrace.sys,C:\Windows\System32\drivers\
NT0003VEO,ksthunk.sys,C:\Windows\System32\drivers\
NT0003VEO,kbdhid.sys,C:\Windows\System32\drivers\
NT0003VEO,HyperVideo.sys,C:\Windows\System32\drivers\
NT0003VEO,usbohci.sys,C:\Windows\System32\drivers\
NT0003VEO,sisraid4.sys,C:\Windows\System32\drivers\
NT0003VEO,fcvsc.sys,C:\Windows\System32\drivers\
NT0003VEO,ibbus.sys,C:\Windows\System32\drivers\
NT0003VEO,SerCx.sys,C:\Windows\System32\drivers\
NT0003VEO,MsLbfoProvider.sys,C:\Windows\System32\drivers\
NT0003VEO,pcw.sys,C:\Windows\System32\drivers\
NT0003VEO,USBHUB3.SYS,C:\Windows\System32\drivers\
NT0003VEO,iaStorV.sys,C:\Windows\System32\drivers\
NT0003VEO,Vid.sys,C:\Windows\System32\drivers\
NT0003VEO,cdfs.sys,C:\Windows\System32\drivers\
NT0003VEO,intelide.sys,C:\Windows\System32\drivers\
NT0003VEO,vmbusr.sys,C:\Windows\System32\drivers\
NT0003VEO,acpi.sys,C:\Windows\System32\drivers\
NT0003VEO,nvraid.sys,C:\Windows\System32\drivers\
NT0003VEO,pciide.sys,C:\Windows\System32\drivers\
NT0003VEO,kdnic.sys,C:\Windows\System32\drivers\
NT0003VEO,rasl2tp.sys,C:\Windows\System32\drivers\
NT0003VEO,pci.sys,C:\Windows\System32\drivers\
NT0003VEO,vsmraid.sys,C:\Windows\System32\drivers\
NT0003VEO,pacer.sys,C:\Windows\System32\drivers\
NT0003VEO,tdx.sys,C:\Windows\System32\drivers\
NT0003VEO,arcsas.sys,C:\Windows\System32\drivers\
NT0003VEO,ws2ifsl.sys,C:\Windows\System32\drivers\
NT0003VEO,tsusbhub.sys,C:\Windows\System32\drivers\
NT0003VEO,megasr.sys,C:\Windows\System32\drivers\
NT0003VEO,lsi_sas.sys,C:\Windows\System32\drivers\
NT0003VEO,tcpip.sys,C:\Windows\System32\drivers\
NT0003VEO,viaide.sys,C:\Windows\System32\drivers\
