hostname,modulename,modulepath
NT0009VLW,HdAudio.sys,C:\Windows\System32\drivers\
NT0009VLW,clfs.sys,C:\Windows\System32\drivers\
NT0009VLW,3ware.sys,C:\Windows\System32\drivers\
NT0009VLW,WdFilter.sys,C:\Windows\System32\drivers\wd\
NT0009VLW,mountmgr.sys,C:\Windows\System32\drivers\
NT0009VLW,pnpmem.sys,C:\Windows\System32\drivers\
NT0009VLW,wfplwfs.sys,C:\Windows\System32\drivers\
NT0009VLW,msgpioclx.sys,C:\Windows\System32\drivers\
NT0009VLW,VmsProxy.sys,C:\Windows\System32\drivers\
NT0009VLW,SpbCx.sys,C:\Windows\System32\drivers\
NT0009VLW,vwififlt.sys,C:\Windows\System32\drivers\
NT0009VLW,hidir.sys,C:\Windows\System32\drivers\
NT0009VLW,rassstp.sys,C:\Windows\System32\drivers\
NT0009VLW,mstee.sys,C:\Windows\System32\drivers\
NT0009VLW,CmBatt.sys,C:\Windows\System32\drivers\
NT0009VLW,cht4sx64.sys,C:\Windows\System32\drivers\
NT0009VLW,bthmodem.sys,C:\Windows\System32\drivers\
NT0009VLW,IPMIDrv.sys,C:\Windows\System32\drivers\
NT0009VLW,CAD.sys,C:\Windows\System32\drivers\
NT0009VLW,capimg.sys,C:\Windows\System32\drivers\
NT0009VLW,usbehci.sys,C:\Windows\System32\drivers\
NT0009VLW,MTConfig.sys,C:\Windows\System32\drivers\
NT0009VLW,appid.sys,C:\Windows\System32\drivers\
NT0009VLW,intelppm.sys,C:\Windows\System32\drivers\
NT0009VLW,BasicDisplay.sys,C:\Windows\System32\drivers\
NT0009VLW,mup.sys,C:\Windows\System32\drivers\
NT0009VLW,mvumis.sys,C:\Windows\System32\drivers\
NT0009VLW,rdbss.sys,C:\Windows\System32\drivers\
NT0009VLW,iaLPSS2i_I2C.sys,C:\Windows\System32\drivers\
NT0009VLW,IntcDAud.sys,C:\Windows\System32\drivers\
NT0009VLW,tdx.sys,C:\Windows\System32\drivers\
NT0009VLW,msgpiowin32.sys,C:\Windows\System32\drivers\
