hostname,modulename,modulepath
SB0003YAW,ndis.sys,C:\Windows\system32\drivers\
SB0003YAW,kdcom.dll,C:\Windows\system32\
SB0003YAW,umbus.sys,C:\Windows\system32\DRIVERS\
SB0003YAW,crashdmp.sys,C:\Windows\System32\Drivers\
SB0003YAW,Npfs.SYS,C:\Windows\System32\Drivers\
SB0003YAW,luafv.sys,C:\Windows\system32\drivers\
SB0003YAW,vdrvroot.sys,C:\Windows\system32\drivers\
SB0003YAW,amdxata.sys,C:\Windows\system32\drivers\
SB0003YAW,tcpip.sys,C:\Windows\System32\drivers\
SB0003YAW,rdpbus.sys,C:\Windows\system32\DRIVERS\
SB0003YAW,vga.sys,C:\Windows\System32\drivers\
SB0003YAW,mrxsmb20.sys,C:\Windows\system32\DRIVERS\
SB0003YAW,rdyboost.sys,C:\Windows\System32\drivers\
SB0003YAW,disk.sys,C:\Windows\system32\drivers\
SB0003YAW,tunnel.sys,C:\Windows\system32\DRIVERS\
SB0003YAW,HIDCLASS.SYS,C:\Windows\system32\DRIVERS\
SB0003YAW,TDI.SYS,C:\Windows\system32\DRIVERS\
SB0003YAW,USBPORT.SYS,C:\Windows\system32\DRIVERS\
SB0003YAW,mouclass.sys,C:\Windows\system32\DRIVERS\
SB0003YAW,msrpc.sys,C:\Windows\System32\Drivers\
SB0003YAW,srvnet.sys,C:\Windows\System32\DRIVERS\
SB0003YAW,swenum.sys,C:\Windows\system32\DRIVERS\
SB0003YAW,mouhid.sys,C:\Windows\system32\DRIVERS\
SB0003YAW,rasl2tp.sys,C:\Windows\system32\DRIVERS\
SB0003YAW,pacer.sys,C:\Windows\system32\DRIVERS\
SB0003YAW,NETIO.SYS,C:\Windows\system32\drivers\
SB0003YAW,Ntfs.sys,C:\Windows\System32\Drivers\
SB0003YAW,dump_msahci.sys,C:\Windows\System32\Drivers\
SB0003YAW,atapi.sys,C:\Windows\system32\drivers\
SB0003YAW,dfsc.sys,C:\Windows\System32\Drivers\
SB0003YAW,CI.dll,C:\Windows\system32\
SB0003YAW,mountmgr.sys,C:\Windows\System32\drivers\
SB0003YAW,VBoxVideo.sys,C:\Windows\system32\DRIVERS\
SB0003YAW,lltdio.sys,C:\Windows\system32\DRIVERS\
SB0003YAW,VBoxDisp.dll,C:\Windows\System32\
SB0003YAW,raspppoe.sys,C:\Windows\system32\DRIVERS\
SB0003YAW,cdfs.sys,C:\Windows\system32\DRIVERS\
SB0003YAW,usbhub.sys,C:\Windows\system32\DRIVERS\
SB0003YAW,netbt.sys,C:\Windows\System32\DRIVERS\
SB0003YAW,win32k.sys,C:\Windows\System32\
SB0003YAW,CompositeBus.sys,C:\Windows\system32\DRIVERS\
SB0003YAW,USBD.SYS,C:\Windows\system32\DRIVERS\
SB0003YAW,Wdf01000.sys,C:\Windows\system32\drivers\
SB0003YAW,monitor.sys,C:\Windows\system32\DRIVERS\
SB0003YAW,discache.sys,C:\Windows\System32\drivers\
SB0003YAW,mpsdrv.sys,C:\Windows\System32\drivers\
SB0003YAW,cdrom.sys,C:\Windows\system32\DRIVERS\
SB0003YAW,dump_dumpfve.sys,C:\Windows\System32\Drivers\
SB0003YAW,ataport.SYS,C:\Windows\system32\drivers\
SB0003YAW,Beep.SYS,C:\Windows\System32\Drivers\
SB0003YAW,hal.dll,C:\Windows\system32\
SB0003YAW,VBoxSF.sys,C:\Windows\System32\drivers\
SB0003YAW,CmBatt.sys,C:\Windows\system32\DRIVERS\
