hostname,modulename,modulepath
SC0001TAP,iaStorV.sys,C:\Windows\System32\drivers\
SC0001TAP,umpass.sys,C:\Windows\System32\drivers\
SC0001TAP,acpipagr.sys,C:\Windows\System32\drivers\
SC0001TAP,rasacd.sys,C:\Windows\System32\drivers\
SC0001TAP,pnpmem.sys,C:\Windows\System32\drivers\
SC0001TAP,acpi.sys,C:\Windows\System32\drivers\
SC0001TAP,sermouse.sys,C:\Windows\System32\drivers\
SC0001TAP,Ucx01000.sys,C:\Windows\System32\drivers\
SC0001TAP,lsi_sas2i.sys,C:\Windows\System32\drivers\
SC0001TAP,cht4sx64.sys,C:\Windows\System32\drivers\
SC0001TAP,RtsUer.sys,C:\Windows\System32\drivers\
SC0001TAP,pdc.sys,C:\Windows\System32\drivers\
SC0001TAP,usbohci.sys,C:\Windows\System32\drivers\
SC0001TAP,MTConfig.sys,C:\Windows\System32\drivers\
SC0001TAP,AcpiDev.sys,C:\Windows\System32\drivers\
SC0001TAP,irenum.sys,C:\Windows\System32\drivers\
SC0001TAP,mspqm.sys,C:\Windows\System32\drivers\
SC0001TAP,ibtusb.sys,C:\Windows\System32\drivers\
SC0001TAP,cht4vx64.sys,C:\Windows\System32\drivers\
SC0001TAP,CAD.sys,C:\Windows\System32\drivers\
SC0001TAP,CmBatt.sys,C:\Windows\System32\drivers\
SC0001TAP,tcpip.sys,C:\Windows\System32\drivers\
SC0001TAP,volmgrx.sys,C:\Windows\System32\drivers\
SC0001TAP,monitor.sys,C:\Windows\System32\drivers\
SC0001TAP,HyperVideo.sys,C:\Windows\System32\drivers\
SC0001TAP,sdbus.sys,C:\Windows\System32\drivers\
SC0001TAP,pcmcia.sys,C:\Windows\System32\drivers\
SC0001TAP,MegaSas2i.sys,C:\Windows\System32\drivers\
SC0001TAP,swenum.sys,C:\Windows\System32\DriverStore\FileRepository\swenum.inf_amd64_ea7b19c04e7a8136\
SC0001TAP,ipt.sys,C:\Windows\System32\drivers\
SC0001TAP,pciide.sys,C:\Windows\System32\drivers\
SC0001TAP,lsi_sas.sys,C:\Windows\System32\drivers\
SC0001TAP,bthmodem.sys,C:\Windows\System32\drivers\
SC0001TAP,gpuenergydrv.sys,C:\Windows\System32\drivers\
SC0001TAP,iaLPSS2i_I2C.sys,C:\Windows\System32\drivers\
SC0001TAP,nwifi.sys,C:\Windows\System32\drivers\
SC0001TAP,CompositeBus.sys,C:\Windows\System32\DriverStore\FileRepository\compositebus.inf_amd64_bcb89b3386563bd7\
SC0001TAP,bcmfn2.sys,C:\Windows\System32\drivers\
SC0001TAP,EhStorTcgDrv.sys,C:\Windows\System32\drivers\
SC0001TAP,Wdf01000.sys,C:\Windows\System32\drivers\
SC0001TAP,NdisVirtualBus.sys,C:\Windows\System32\drivers\
SC0001TAP,iorate.sys,C:\Windows\System32\drivers\
SC0001TAP,SpbCx.sys,C:\Windows\System32\drivers\
SC0001TAP,bttflt.sys,C:\Windows\System32\drivers\
SC0001TAP,irda.sys,C:\Windows\System32\drivers\
SC0001TAP,cnghwassist.sys,C:\Windows\System32\drivers\
SC0001TAP,tcpipreg.sys,C:\Windows\System32\drivers\
SC0001TAP,nvraid.sys,C:\Windows\System32\drivers\
SC0001TAP,partmgr.sys,C:\Windows\System32\drivers\
SC0001TAP,hvservice.sys,C:\Windows\System32\drivers\
SC0001TAP,storahci.sys,C:\Windows\System32\drivers\
SC0001TAP,usbuhci.sys,C:\Windows\System32\drivers\
SC0001TAP,rfcomm.sys,C:\Windows\System32\drivers\
SC0001TAP,WUDFRd.sys,C:\Windows\System32\drivers\
SC0001TAP,stornvme.sys,C:\Windows\System32\drivers\
SC0001TAP,mshwnclx.sys,C:\Windows\System32\drivers\
SC0001TAP,Microsoft.Bluetooth.Legacy.LEEnumerator.sys,C:\Windows\System32\drivers\
SC0001TAP,vmstorfl.sys,C:\Windows\System32\drivers\
SC0001TAP,hidir.sys,C:\Windows\System32\drivers\
SC0001TAP,afd.sys,C:\Windows\System32\drivers\
SC0001TAP,afunix.sys,C:\Windows\System32\drivers\
SC0001TAP,hidusb.sys,C:\Windows\System32\drivers\
SC0001TAP,bthenum.sys,C:\Windows\System32\drivers\
SC0001TAP,vmswitch.sys,C:\Windows\System32\drivers\
SC0001TAP,evbda.sys,C:\Windows\System32\drivers\
SC0001TAP,iaLPSS2i_GPIO2.sys,C:\Windows\System32\drivers\
SC0001TAP,sbp2port.sys,C:\Windows\System32\drivers\
SC0001TAP,WdmCompanionFilter.sys,C:\Windows\System32\drivers\
SC0001TAP,msgpiowin32.sys,C:\Windows\System32\drivers\
SC0001TAP,applockerfltr.sys,C:\Windows\System32\drivers\
SC0001TAP,vsmraid.sys,C:\Windows\System32\drivers\
SC0001TAP,iaLPSS2i_GPIO2_BXT_P.sys,C:\Windows\System32\drivers\
SC0001TAP,rdpvideominiport.sys,C:\Windows\System32\drivers\
SC0001TAP,usbprint.sys,C:\Windows\System32\drivers\
SC0001TAP,iagpio.sys,C:\Windows\System32\drivers\
SC0001TAP,arcsas.sys,C:\Windows\System32\drivers\
SC0001TAP,modem.sys,C:\Windows\System32\drivers\
SC0001TAP,mlx4_bus.sys,C:\Windows\System32\drivers\
SC0001TAP,flpydisk.sys,C:\Windows\System32\drivers\
SC0001TAP,mrxsmb20.sys,C:\Windows\System32\drivers\
SC0001TAP,storvsc.sys,C:\Windows\System32\drivers\
SC0001TAP,UcmTcpciCx.sys,C:\Windows\System32\drivers\
SC0001TAP,Udecx.sys,C:\Windows\System32\drivers\
SC0001TAP,filetrace.sys,C:\Windows\System32\drivers\
SC0001TAP,tdx.sys,C:\Windows\System32\drivers\
SC0001TAP,vms3cap.sys,C:\Windows\System32\drivers\
SC0001TAP,WdNisDrv.sys,C:\Windows\System32\drivers\wd\
SC0001TAP,umbus.sys,C:\Windows\System32\drivers\
SC0001TAP,mrxdav.sys,C:\Windows\System32\drivers\
SC0001TAP,mrxsmb10.sys,C:\Windows\System32\drivers\
SC0001TAP,mspclock.sys,C:\Windows\System32\drivers\
SC0001TAP,wfplwfs.sys,C:\Windows\System32\drivers\
SC0001TAP,VSTXRAID.SYS,C:\Windows\System32\drivers\
SC0001TAP,bam.sys,C:\Windows\System32\drivers\
SC0001TAP,ItSas35i.sys,C:\Windows\System32\drivers\
SC0001TAP,esif_lf.sys,C:\Windows\System32\drivers\
SC0001TAP,sdstor.sys,C:\Windows\System32\drivers\
SC0001TAP,Synth3dVsc.sys,C:\Windows\System32\drivers\
SC0001TAP,IPMIDrv.sys,C:\Windows\System32\drivers\
SC0001TAP,HpSAMD.sys,C:\Windows\System32\drivers\
SC0001TAP,SgrmAgent.sys,C:\Windows\System32\drivers\
SC0001TAP,bxvbda.sys,C:\Windows\System32\drivers\
SC0001TAP,dxgkrnl.sys,C:\Windows\System32\drivers\
SC0001TAP,UcmUcsi.sys,C:\Windows\System32\drivers\
SC0001TAP,npsvctrig.sys,C:\Windows\System32\drivers\
SC0001TAP,mslldp.sys,C:\Windows\System32\drivers\
SC0001TAP,pci.sys,C:\Windows\System32\drivers\
SC0001TAP,WindowsTrustedRT.sys,C:\Windows\System32\drivers\
SC0001TAP,ETDSMBus.sys,C:\Windows\System32\drivers\
SC0001TAP,amdk8.sys,C:\Windows\System32\drivers\
SC0001TAP,WdFilter.sys,C:\Windows\System32\drivers\wd\
SC0001TAP,hidbth.sys,C:\Windows\System32\drivers\
SC0001TAP,srv2.sys,C:\Windows\System32\drivers\
SC0001TAP,amdxata.sys,C:\Windows\System32\drivers\
SC0001TAP,vmgencounter.sys,C:\Windows\System32\drivers\
SC0001TAP,sisraid2.sys,C:\Windows\System32\drivers\
SC0001TAP,lltdio.sys,C:\Windows\System32\drivers\
SC0001TAP,acpipmi.sys,C:\Windows\System32\drivers\
SC0001TAP,ndfltr.sys,C:\Windows\System32\drivers\
SC0001TAP,ipnat.sys,C:\Windows\System32\drivers\
SC0001TAP,vwifimp.sys,C:\Windows\System32\drivers\
SC0001TAP,usbvideo.sys,C:\Windows\System32\drivers\
SC0001TAP,fvevol.sys,C:\Windows\System32\drivers\
SC0001TAP,http.sys,C:\Windows\System32\drivers\
SC0001TAP,ws2ifsl.sys,C:\Windows\System32\drivers\
SC0001TAP,msisadrv.sys,C:\Windows\System32\drivers\
SC0001TAP,SerCx.sys,C:\Windows\System32\drivers\
SC0001TAP,condrv.sys,C:\Windows\System32\drivers\
SC0001TAP,filecrypt.sys,C:\Windows\System32\drivers\
SC0001TAP,CHDRT64.sys,C:\Windows\System32\drivers\
SC0001TAP,PEAuth.sys,C:\Windows\System32\drivers\
SC0001TAP,iaLPSSi_I2C.sys,C:\Windows\System32\drivers\
SC0001TAP,scfilter.sys,C:\Windows\System32\drivers\
SC0001TAP,adp80xx.sys,C:\Windows\System32\drivers\
SC0001TAP,wmiacpi.sys,C:\Windows\System32\drivers\
SC0001TAP,hidi2c.sys,C:\Windows\System32\drivers\
SC0001TAP,ndproxy.sys,C:\Windows\System32\drivers\
SC0001TAP,winnat.sys,C:\Windows\System32\drivers\
SC0001TAP,vpci.sys,C:\Windows\System32\drivers\
SC0001TAP,ndistapi.sys,C:\Windows\System32\drivers\
