hostname,modulename,modulepath
SE0000IOO,Npfs.SYS,C:\Windows\System32\Drivers\
SE0000IOO,ACPI.sys,C:\Windows\system32\drivers\
SE0000IOO,blbdrive.sys,C:\Windows\system32\drivers\
SE0000IOO,tdtcp.sys,C:\Windows\system32\drivers\
SE0000IOO,netbt.sys,C:\Windows\System32\DRIVERS\
SE0000IOO,vmstorfl.sys,C:\Windows\system32\drivers\
SE0000IOO,HTTP.sys,C:\Windows\system32\drivers\
SE0000IOO,mrxsmb10.sys,C:\Windows\system32\DRIVERS\
SE0000IOO,WMILIB.SYS,C:\Windows\system32\drivers\
SE0000IOO,ksecpkg.sys,C:\Windows\System32\Drivers\
SE0000IOO,sacdrv.sys,C:\Windows\system32\DRIVERS\
SE0000IOO,umbus.sys,C:\Windows\system32\drivers\
SE0000IOO,discache.sys,C:\Windows\System32\drivers\
SE0000IOO,msisadrv.sys,C:\Windows\system32\drivers\
SE0000IOO,mountmgr.sys,C:\Windows\System32\drivers\
SE0000IOO,volmgrx.sys,C:\Windows\System32\drivers\
SE0000IOO,srv2.sys,C:\Windows\System32\DRIVERS\
SE0000IOO,spsys.sys,C:\Windows\system32\drivers\
SE0000IOO,raspptp.sys,C:\Windows\system32\DRIVERS\
SE0000IOO,tdx.sys,C:\Windows\system32\DRIVERS\
SE0000IOO,NETIO.SYS,C:\Windows\system32\DRIVERS\
SE0000IOO,pacer.sys,C:\Windows\system32\DRIVERS\
SE0000IOO,termdd.sys,C:\Windows\system32\drivers\
SE0000IOO,hwpolicy.sys,C:\Windows\System32\drivers\
SE0000IOO,vdrvroot.sys,C:\Windows\system32\drivers\
SE0000IOO,mouclass.sys,C:\Windows\system32\drivers\
SE0000IOO,TSDDD.dll,C:\Windows\System32\
SE0000IOO,WDFLDR.SYS,C:\Windows\system32\drivers\
SE0000IOO,fwpkclnt.sys,C:\Windows\System32\drivers\
SE0000IOO,srvnet.sys,C:\Windows\System32\DRIVERS\
SE0000IOO,Wdf01000.sys,C:\Windows\system32\drivers\
SE0000IOO,pvpanic.sys,C:\Windows\system32\drivers\
SE0000IOO,storport.sys,C:\Windows\system32\drivers\
SE0000IOO,ndiswan.sys,C:\Windows\system32\DRIVERS\
SE0000IOO,netkvm.sys,C:\Windows\system32\DRIVERS\
SE0000IOO,serial.sys,C:\Windows\system32\drivers\
SE0000IOO,CLFS.SYS,C:\Windows\system32\
SE0000IOO,TDI.SYS,C:\Windows\system32\DRIVERS\
SE0000IOO,mpsdrv.sys,C:\Windows\System32\drivers\
SE0000IOO,mup.sys,C:\Windows\System32\Drivers\
SE0000IOO,afd.sys,C:\Windows\system32\drivers\
SE0000IOO,i8042prt.sys,C:\Windows\system32\drivers\
SE0000IOO,dfsc.sys,C:\Windows\System32\Drivers\
SE0000IOO,raspppoe.sys,C:\Windows\system32\DRIVERS\
SE0000IOO,CompositeBus.sys,C:\Windows\system32\drivers\
SE0000IOO,lltdio.sys,C:\Windows\system32\DRIVERS\
SE0000IOO,dump_storport.sys,C:\Windows\System32\Drivers\
SE0000IOO,rdbss.sys,C:\Windows\system32\DRIVERS\
SE0000IOO,luafv.sys,C:\Windows\system32\drivers\
SE0000IOO,VIDEOPRT.SYS,C:\Windows\System32\drivers\
SE0000IOO,RDPWD.SYS,C:\Windows\System32\Drivers\
SE0000IOO,watchdog.sys,C:\Windows\System32\drivers\
SE0000IOO,disk.sys,C:\Windows\system32\drivers\
SE0000IOO,netbios.sys,C:\Windows\system32\DRIVERS\
SE0000IOO,cng.sys,C:\Windows\System32\Drivers\
SE0000IOO,NDProxy.SYS,C:\Windows\System32\Drivers\
SE0000IOO,RDPDD.dll,C:\Windows\System32\
SE0000IOO,Msfs.SYS,C:\Windows\System32\Drivers\
