hostname,modulename,modulepath
SN0007LTK,cng.sys,C:\Windows\System32\drivers\
SN0007LTK,NdisVirtualBus.sys,C:\Windows\System32\drivers\
SN0007LTK,ACPI.sys,C:\Windows\System32\drivers\
SN0007LTK,pci.sys,C:\Windows\System32\drivers\
SN0007LTK,dump_storport.sys,C:\Windows\System32\Drivers\
SN0007LTK,srv2.sys,C:\Windows\System32\DRIVERS\
SN0007LTK,win32kfull.sys,C:\Windows\System32\
SN0007LTK,mmcss.sys,C:\Windows\system32\drivers\
SN0007LTK,WindowsTrustedRTProxy.sys,C:\Windows\System32\drivers\
SN0007LTK,intelppm.sys,C:\Windows\System32\drivers\
SN0007LTK,mpsdrv.sys,C:\Windows\System32\drivers\
SN0007LTK,mrxsmb20.sys,C:\Windows\system32\DRIVERS\
SN0007LTK,fwpkclnt.sys,C:\Windows\System32\drivers\
SN0007LTK,volume.sys,C:\Windows\System32\drivers\
SN0007LTK,acpiex.sys,C:\Windows\System32\Drivers\
SN0007LTK,volsnap.sys,C:\Windows\System32\drivers\
SN0007LTK,vioscsi.sys,C:\Windows\System32\drivers\
SN0007LTK,mrxsmb10.sys,C:\Windows\system32\DRIVERS\
SN0007LTK,FLTMGR.SYS,C:\Windows\System32\drivers\
SN0007LTK,peauth.sys,C:\Windows\system32\drivers\
SN0007LTK,rdpdr.sys,C:\Windows\System32\drivers\
SN0007LTK,dxgkrnl.sys,C:\Windows\System32\drivers\
SN0007LTK,disk.sys,C:\Windows\System32\drivers\
SN0007LTK,registry.sys,C:\Windows\System32\drivers\
SN0007LTK,monitor.sys,C:\Windows\System32\drivers\
SN0007LTK,TDI.SYS,C:\Windows\system32\DRIVERS\
SN0007LTK,CI.dll,C:\Windows\system32\
SN0007LTK,mouclass.sys,C:\Windows\System32\drivers\
SN0007LTK,pvpanic.sys,C:\Windows\System32\drivers\
SN0007LTK,win32k.sys,C:\Windows\System32\
SN0007LTK,filecrypt.sys,C:\Windows\system32\drivers\
SN0007LTK,serenum.sys,C:\Windows\System32\drivers\
SN0007LTK,i8042prt.sys,C:\Windows\System32\drivers\
SN0007LTK,watchdog.sys,C:\Windows\System32\drivers\
SN0007LTK,NDIS.SYS,C:\Windows\system32\DRIVERS\
SN0007LTK,WppRecorder.sys,C:\Windows\System32\Drivers\
SN0007LTK,ks.sys,C:\Windows\System32\drivers\
SN0007LTK,rdbss.sys,C:\Windows\system32\DRIVERS\
SN0007LTK,ksecpkg.sys,C:\Windows\System32\Drivers\
SN0007LTK,msrpc.sys,C:\Windows\System32\drivers\
SN0007LTK,WindowsTrustedRT.sys,C:\Windows\system32\drivers\
SN0007LTK,wfplwfs.sys,C:\Windows\System32\drivers\
SN0007LTK,BasicDisplay.sys,C:\Windows\System32\drivers\
SN0007LTK,rdpvideominiport.sys,C:\Windows\System32\drivers\
SN0007LTK,intelpep.sys,C:\Windows\System32\drivers\
SN0007LTK,gpuenergydrv.sys,C:\Windows\System32\drivers\
SN0007LTK,ntosext.sys,C:\Windows\System32\drivers\
SN0007LTK,srvnet.sys,C:\Windows\System32\DRIVERS\
SN0007LTK,cdd.dll,C:\Windows\System32\
SN0007LTK,clipsp.sys,C:\Windows\System32\drivers\
SN0007LTK,afd.sys,C:\Windows\system32\drivers\
SN0007LTK,ntoskrnl.exe,C:\Windows\system32\
SN0007LTK,WMILIB.SYS,C:\Windows\System32\drivers\
SN0007LTK,serial.sys,C:\Windows\System32\drivers\
SN0007LTK,npsvctrig.sys,C:\Windows\System32\drivers\
SN0007LTK,msisadrv.sys,C:\Windows\System32\drivers\
SN0007LTK,mssmbios.sys,C:\Windows\System32\drivers\
SN0007LTK,CEA.sys,C:\Windows\system32\drivers\
SN0007LTK,mslldp.sys,C:\Windows\system32\drivers\
SN0007LTK,lltdio.sys,C:\Windows\system32\drivers\
SN0007LTK,tbs.sys,C:\Windows\system32\drivers\
SN0007LTK,tcpip.sys,C:\Windows\System32\drivers\
SN0007LTK,tcpipreg.sys,C:\Windows\System32\drivers\
SN0007LTK,NETIO.SYS,C:\Windows\system32\DRIVERS\
SN0007LTK,mountmgr.sys,C:\Windows\System32\drivers\
SN0007LTK,NTFS.sys,C:\Windows\System32\Drivers\
SN0007LTK,tdx.sys,C:\Windows\system32\DRIVERS\
SN0007LTK,tunnel.sys,C:\Windows\System32\drivers\
SN0007LTK,mcupdate.dll,C:\Windows\system32\mcupdate_Genu
SN0007LTK,vdrvroot.sys,C:\Windows\System32\drivers\
SN0007LTK,sacdrv.sys,C:\Windows\system32\DRIVERS\
SN0007LTK,CompositeBus.sys,C:\Windows\System32\DriverStore\FileRepository\compositebus.inf_amd64_a140581a8f8b58b7\
