hostname,modulename,modulepath
SS0004BIA,volmgr.sys,C:\Windows\System32\drivers\
SS0004BIA,srvnet.sys,C:\Windows\System32\DRIVERS\
SS0004BIA,Npfs.SYS,C:\Windows\System32\Drivers\
SS0004BIA,rspndr.sys,C:\Windows\system32\drivers\
SS0004BIA,kdcom.dll,C:\Windows\system
SS0004BIA,mpsdrv.sys,C:\Windows\System32\drivers\
SS0004BIA,CEA.sys,C:\Windows\system32\drivers\
SS0004BIA,rdpdr.sys,C:\Windows\System32\drivers\
SS0004BIA,dfsc.sys,C:\Windows\System32\Drivers\
SS0004BIA,netbios.sys,C:\Windows\system32\drivers\
SS0004BIA,swenum.sys,C:\Windows\System32\drivers\
SS0004BIA,PSHED.dll,C:\Windows\system32\
SS0004BIA,srv.sys,C:\Windows\System32\DRIVERS\
SS0004BIA,ks.sys,C:\Windows\System32\drivers\
SS0004BIA,ACPI.sys,C:\Windows\System32\drivers\
SS0004BIA,ksecdd.sys,C:\Windows\System32\drivers\
SS0004BIA,netbt.sys,C:\Windows\System32\DRIVERS\
SS0004BIA,NTFS.sys,C:\Windows\System32\Drivers\
SS0004BIA,partmgr.sys,C:\Windows\System32\drivers\
SS0004BIA,nsiproxy.sys,C:\Windows\system32\drivers\
SS0004BIA,vioscsi.sys,C:\Windows\System32\drivers\
SS0004BIA,mouclass.sys,C:\Windows\System32\drivers\
SS0004BIA,TSDDD.dll,C:\Windows\System32\
SS0004BIA,CompositeBus.sys,C:\Windows\System32\DriverStore\FileRepository\compositebus.inf_amd64_a140581a8f8b58b7\
SS0004BIA,BasicDisplay.sys,C:\Windows\System32\drivers\
SS0004BIA,FLTMGR.SYS,C:\Windows\System32\drivers\
SS0004BIA,tdx.sys,C:\Windows\system32\DRIVERS\
SS0004BIA,volume.sys,C:\Windows\System32\drivers\
SS0004BIA,wcifs.sys,C:\Windows\system32\drivers\
SS0004BIA,EhStorClass.sys,C:\Windows\System32\drivers\
SS0004BIA,pdc.sys,C:\Windows\system32\drivers\
SS0004BIA,tunnel.sys,C:\Windows\System32\drivers\
SS0004BIA,clipsp.sys,C:\Windows\System32\drivers\
SS0004BIA,acpiex.sys,C:\Windows\System32\Drivers\
SS0004BIA,WindowsTrustedRT.sys,C:\Windows\system32\drivers\
SS0004BIA,condrv.sys,C:\Windows\System32\drivers\
SS0004BIA,disk.sys,C:\Windows\System32\drivers\
SS0004BIA,mcupdate.dll,C:\Windows\system32\mcupdate_Genu
SS0004BIA,tcpipreg.sys,C:\Windows\System32\drivers\
SS0004BIA,storport.sys,C:\Windows\System32\drivers\
SS0004BIA,mountmgr.sys,C:\Windows\System32\drivers\
SS0004BIA,mup.sys,C:\Windows\System32\Drivers\
SS0004BIA,cdd.dll,C:\Windows\System32\
SS0004BIA,NETIO.SYS,C:\Windows\system32\DRIVERS\
SS0004BIA,ksecpkg.sys,C:\Windows\System32\Drivers\
SS0004BIA,rdpbus.sys,C:\Windows\System32\drivers\
SS0004BIA,HIDPARSE.SYS,C:\Windows\System32\drivers\
SS0004BIA,serenum.sys,C:\Windows\System32\drivers\
SS0004BIA,RDPUDD.dll,C:\Windows\System32\
SS0004BIA,WDFLDR.SYS,C:\Windows\system32\drivers\
SS0004BIA,tcpip.sys,C:\Windows\System32\drivers\
SS0004BIA,intelppm.sys,C:\Windows\System32\drivers\
SS0004BIA,cng.sys,C:\Windows\System32\drivers\
SS0004BIA,Null.SYS,C:\Windows\System32\Drivers\
SS0004BIA,spaceport.sys,C:\Windows\System32\drivers\
SS0004BIA,dxgkrnl.sys,C:\Windows\System32\drivers\
SS0004BIA,Wdf01000.sys,C:\Windows\system32\drivers\
SS0004BIA,volmgrx.sys,C:\Windows\System32\drivers\
SS0004BIA,volsnap.sys,C:\Windows\System32\drivers\
SS0004BIA,tbs.sys,C:\Windows\system32\drivers\
SS0004BIA,watchdog.sys,C:\Windows\System32\drivers\
SS0004BIA,vdrvroot.sys,C:\Windows\System32\drivers\
SS0004BIA,HTTP.sys,C:\Windows\system32\drivers\
SS0004BIA,srv2.sys,C:\Windows\System32\DRIVERS\
SS0004BIA,WindowsTrustedRTProxy.sys,C:\Windows\System32\drivers\
SS0004BIA,mrxsmb10.sys,C:\Windows\system32\DRIVERS\
SS0004BIA,WMILIB.SYS,C:\Windows\System32\drivers\
SS0004BIA,ahcache.sys,C:\Windows\system32\DRIVERS\
SS0004BIA,NdisVirtualBus.sys,C:\Windows\System32\drivers\
SS0004BIA,msrpc.sys,C:\Windows\System32\drivers\
SS0004BIA,gpuenergydrv.sys,C:\Windows\System32\drivers\
SS0004BIA,lltdio.sys,C:\Windows\system32\drivers\
SS0004BIA,TDI.SYS,C:\Windows\system32\DRIVERS\
SS0004BIA,sacdrv.sys,C:\Windows\system32\DRIVERS\
SS0004BIA,npsvctrig.sys,C:\Windows\System32\drivers\
SS0004BIA,peauth.sys,C:\Windows\system32\drivers\
SS0004BIA,fwpkclnt.sys,C:\Windows\System32\drivers\
SS0004BIA,dump_vioscsi.sys,C:\Windows\System32\Drivers\
SS0004BIA,WdFilter.sys,C:\Windows\system32\drivers\
SS0004BIA,BasicRender.sys,C:\Windows\System32\drivers\
SS0004BIA,rdbss.sys,C:\Windows\system32\DRIVERS\
SS0004BIA,mslldp.sys,C:\Windows\system32\drivers\
SS0004BIA,ntosext.sys,C:\Windows\System32\drivers\
SS0004BIA,ntoskrnl.exe,C:\Windows\system32\
SS0004BIA,cmimcext.sys,C:\Windows\System32\drivers\
SS0004BIA,Wof.sys,C:\Windows\System32\Drivers\
SS0004BIA,monitor.sys,C:\Windows\System32\drivers\
SS0004BIA,win32kfull.sys,C:\Windows\System32\
SS0004BIA,pacer.sys,C:\Windows\System32\drivers\
SS0004BIA,CI.dll,C:\Windows\system32\
SS0004BIA,pcw.sys,C:\Windows\System32\drivers\
SS0004BIA,umbus.sys,C:\Windows\System32\drivers\
SS0004BIA,rdpvideominiport.sys,C:\Windows\System32\drivers\
SS0004BIA,CLFS.SYS,C:\Windows\System32\drivers\
SS0004BIA,netkvm.sys,C:\Windows\System32\drivers\
SS0004BIA,serial.sys,C:\Windows\System32\drivers\
SS0004BIA,win32kbase.sys,C:\Windows\System32\
SS0004BIA,kbdclass.sys,C:\Windows\System32\drivers\
SS0004BIA,mssmbios.sys,C:\Windows\System32\drivers\
SS0004BIA,pci.sys,C:\Windows\System32\drivers\
SS0004BIA,WppRecorder.sys,C:\Windows\System32\Drivers\
SS0004BIA,i8042prt.sys,C:\Windows\System32\drivers\
SS0004BIA,CLASSPNP.SYS,C:\Windows\System32\drivers\
SS0004BIA,BOOTVID.dll,C:\Windows\system32\
SS0004BIA,terminpt.sys,C:\Windows\System32\drivers\
SS0004BIA,pvpanic.sys,C:\Windows\System32\drivers\
SS0004BIA,afd.sys,C:\Windows\system32\drivers\
SS0004BIA,storqosflt.sys,C:\Windows\system32\drivers\
SS0004BIA,mrxsmb20.sys,C:\Windows\system32\DRIVERS\
SS0004BIA,dump_storport.sys,C:\Windows\System32\Drivers\
SS0004BIA,mmcss.sys,C:\Windows\system32\drivers\
SS0004BIA,wfplwfs.sys,C:\Windows\System32\drivers\
SS0004BIA,luafv.sys,C:\Windows\system32\drivers\
SS0004BIA,hal.dll,C:\Windows\system32\
SS0004BIA,tm.sys,C:\Windows\System32\drivers\
SS0004BIA,kdnic.sys,C:\Windows\System32\drivers\
SS0004BIA,mrxsmb.sys,C:\Windows\system32\DRIVERS\
SS0004BIA,bowser.sys,C:\Windows\system32\DRIVERS\
SS0004BIA,filecrypt.sys,C:\Windows\system32\drivers\
SS0004BIA,NDIS.SYS,C:\Windows\system32\DRIVERS\
SS0004BIA,werkernel.sys,C:\Windows\System32\drivers\
SS0004BIA,crashdmp.sys,C:\Windows\System32\Drivers\
SS0004BIA,intelpep.sys,C:\Windows\System32\drivers\
SS0004BIA,msisadrv.sys,C:\Windows\System32\drivers\
SS0004BIA,dxgmms2.sys,C:\Windows\System32\drivers\
SS0004BIA,registry.sys,C:\Windows\System32\drivers\
SS0004BIA,Msfs.SYS,C:\Windows\System32\Drivers\
SS0004BIA,Fs_Rec.sys,C:\Windows\System32\Drivers\
SS0004BIA,win32k.sys,C:\Windows\System32\
