hostname,modulename,modulepath
ST0003XHH,dfsc.sys,C:\Windows\System32\Drivers\
ST0003XHH,Beep.SYS,C:\Windows\System32\Drivers\
ST0003XHH,swenum.sys,C:\Windows\system32\DRIVERS\
ST0003XHH,dump_msahci.sys,C:\Windows\System32\Drivers\
ST0003XHH,fileinfo.sys,C:\Windows\system32\drivers\
ST0003XHH,ACPI.sys,C:\Windows\system32\drivers\
ST0003XHH,HIDCLASS.SYS,C:\Windows\system32\DRIVERS\
ST0003XHH,mrxsmb20.sys,C:\Windows\system32\DRIVERS\
ST0003XHH,tcpipreg.sys,C:\Windows\System32\drivers\
ST0003XHH,rdyboost.sys,C:\Windows\System32\drivers\
ST0003XHH,dump_pciidex.sys,C:\Windows\System32\Drivers\
ST0003XHH,raspptp.sys,C:\Windows\system32\DRIVERS\
ST0003XHH,tdx.sys,C:\Windows\system32\DRIVERS\
ST0003XHH,blbdrive.sys,C:\Windows\system32\DRIVERS\
ST0003XHH,HdAudio.sys,C:\Windows\system32\drivers\
ST0003XHH,VIDEOPRT.SYS,C:\Windows\System32\drivers\
ST0003XHH,hwpolicy.sys,C:\Windows\System32\drivers\
ST0003XHH,kdcom.dll,C:\Windows\system32\
ST0003XHH,Fs_Rec.sys,C:\Windows\System32\Drivers\
ST0003XHH,disk.sys,C:\Windows\system32\drivers\
ST0003XHH,CLASSPNP.SYS,C:\Windows\system32\drivers\
ST0003XHH,ndis.sys,C:\Windows\system32\drivers\
ST0003XHH,nsiproxy.sys,C:\Windows\system32\drivers\
ST0003XHH,lltdio.sys,C:\Windows\system32\DRIVERS\
ST0003XHH,PSHED.dll,C:\Windows\system32\
ST0003XHH,intelppm.sys,C:\Windows\system32\DRIVERS\
ST0003XHH,msahci.sys,C:\Windows\system32\drivers\
ST0003XHH,CLFS.SYS,C:\Windows\system32\
ST0003XHH,ndiswan.sys,C:\Windows\system32\DRIVERS\
ST0003XHH,USBD.SYS,C:\Windows\system32\DRIVERS\
ST0003XHH,cng.sys,C:\Windows\System32\Drivers\
ST0003XHH,cdrom.sys,C:\Windows\system32\DRIVERS\
ST0003XHH,luafv.sys,C:\Windows\system32\drivers\
ST0003XHH,pci.sys,C:\Windows\system32\drivers\
ST0003XHH,rdpencdd.sys,C:\Windows\system32\drivers\
ST0003XHH,VBoxMouse.sys,C:\Windows\system32\DRIVERS\
ST0003XHH,pacer.sys,C:\Windows\system32\DRIVERS\
ST0003XHH,Wdf01000.sys,C:\Windows\system32\drivers\
ST0003XHH,msisadrv.sys,C:\Windows\system32\drivers\
ST0003XHH,WDFLDR.SYS,C:\Windows\system32\drivers\
ST0003XHH,mssmbios.sys,C:\Windows\system32\DRIVERS\
ST0003XHH,rassstp.sys,C:\Windows\system32\DRIVERS\
ST0003XHH,csc.sys,C:\Windows\system32\drivers\
ST0003XHH,discache.sys,C:\Windows\System32\drivers\
ST0003XHH,BATTC.SYS,C:\Windows\system32\DRIVERS\
ST0003XHH,NETIO.SYS,C:\Windows\system32\drivers\
ST0003XHH,srvnet.sys,C:\Windows\System32\DRIVERS\
ST0003XHH,rasl2tp.sys,C:\Windows\system32\DRIVERS\
ST0003XHH,VBoxDisp.dll,C:\Windows\System32\
ST0003XHH,portcls.sys,C:\Windows\system32\drivers\
ST0003XHH,spldr.sys,C:\Windows\System32\Drivers\
ST0003XHH,VBoxGuest.sys,C:\Windows\system32\DRIVERS\
