hostname,modulename,modulepath
SW0009SMQ,pcw.sys,C:\Windows\System32\drivers\
SW0009SMQ,Microsoft.Bluetooth.Legacy.LEEnumerator.sys,C:\Windows\System32\drivers\
SW0009SMQ,sisraid2.sys,C:\Windows\System32\drivers\
SW0009SMQ,clfs.sys,C:\Windows\System32\drivers\
SW0009SMQ,AcpiDev.sys,C:\Windows\System32\drivers\
SW0009SMQ,netbios.sys,C:\Windows\System32\drivers\
SW0009SMQ,RtsUer.sys,C:\Windows\System32\drivers\
SW0009SMQ,WindowsTrustedRT.sys,C:\Windows\System32\drivers\
SW0009SMQ,winmad.sys,C:\Windows\System32\drivers\
SW0009SMQ,ndistapi.sys,C:\Windows\System32\drivers\
SW0009SMQ,WdFilter.sys,C:\Windows\System32\drivers\wd\
SW0009SMQ,scfilter.sys,C:\Windows\System32\drivers\
SW0009SMQ,agilevpn.sys,C:\Windows\System32\drivers\
SW0009SMQ,TsUsbGD.sys,C:\Windows\System32\drivers\
SW0009SMQ,Udecx.sys,C:\Windows\System32\drivers\
SW0009SMQ,acpi.sys,C:\Windows\System32\drivers\
SW0009SMQ,luafv.sys,C:\Windows\System32\drivers\
SW0009SMQ,ksecdd.sys,C:\Windows\System32\drivers\
SW0009SMQ,capimg.sys,C:\Windows\System32\drivers\
SW0009SMQ,vmbus.sys,C:\Windows\System32\drivers\
SW0009SMQ,mslldp.sys,C:\Windows\System32\drivers\
SW0009SMQ,pdc.sys,C:\Windows\System32\drivers\
SW0009SMQ,Synth3dVsc.sys,C:\Windows\System32\drivers\
SW0009SMQ,BTHUSB.SYS,C:\Windows\System32\drivers\
SW0009SMQ,UcmCx.sys,C:\Windows\System32\drivers\
SW0009SMQ,sdstor.sys,C:\Windows\System32\drivers\
SW0009SMQ,vwifimp.sys,C:\Windows\System32\drivers\
SW0009SMQ,sisraid4.sys,C:\Windows\System32\drivers\
SW0009SMQ,megasr.sys,C:\Windows\System32\drivers\
SW0009SMQ,iaLPSS2i_GPIO2_BXT_P.sys,C:\Windows\System32\drivers\
SW0009SMQ,urscx01000.sys,C:\Windows\System32\drivers\
SW0009SMQ,TeeDriverW8x64.sys,C:\Windows\System32\drivers\
SW0009SMQ,EhStorTcgDrv.sys,C:\Windows\System32\drivers\
SW0009SMQ,iai2c.sys,C:\Windows\System32\drivers\
SW0009SMQ,acpitime.sys,C:\Windows\System32\drivers\
SW0009SMQ,rdpdr.sys,C:\Windows\System32\drivers\
SW0009SMQ,mup.sys,C:\Windows\System32\drivers\
SW0009SMQ,cdfs.sys,C:\Windows\System32\drivers\
SW0009SMQ,irenum.sys,C:\Windows\System32\drivers\
SW0009SMQ,usbvideo.sys,C:\Windows\System32\drivers\
SW0009SMQ,iaStorV.sys,C:\Windows\System32\drivers\
SW0009SMQ,genericusbfn.sys,C:\Windows\System32\drivers\
SW0009SMQ,bthenum.sys,C:\Windows\System32\drivers\
SW0009SMQ,iaLPSSi_GPIO.sys,C:\Windows\System32\drivers\
SW0009SMQ,bttflt.sys,C:\Windows\System32\drivers\
SW0009SMQ,VmsProxyHNic.sys,C:\Windows\System32\drivers\
SW0009SMQ,tcpipreg.sys,C:\Windows\System32\drivers\
SW0009SMQ,pcmcia.sys,C:\Windows\System32\drivers\
SW0009SMQ,cht4vx64.sys,C:\Windows\System32\drivers\
SW0009SMQ,tpm.sys,C:\Windows\System32\drivers\
SW0009SMQ,mouhid.sys,C:\Windows\System32\drivers\
SW0009SMQ,megasas.sys,C:\Windows\System32\drivers\
SW0009SMQ,usbhub.sys,C:\Windows\System32\drivers\
SW0009SMQ,WdiWiFi.sys,C:\Windows\System32\drivers\
SW0009SMQ,fileinfo.sys,C:\Windows\System32\drivers\
SW0009SMQ,tcpip.sys,C:\Windows\System32\drivers\
SW0009SMQ,vhf.sys,C:\Windows\System32\drivers\
SW0009SMQ,stornvme.sys,C:\Windows\System32\drivers\
SW0009SMQ,rfcomm.sys,C:\Windows\System32\drivers\
SW0009SMQ,kbdhid.sys,C:\Windows\System32\drivers\
SW0009SMQ,mssmbios.sys,C:\Windows\System32\drivers\
SW0009SMQ,hidinterrupt.sys,C:\Windows\System32\drivers\
SW0009SMQ,NetAdapterCx.sys,C:\Windows\System32\drivers\
SW0009SMQ,ws2ifsl.sys,C:\Windows\System32\drivers\
SW0009SMQ,sermouse.sys,C:\Windows\System32\drivers\
