hostname,modulename,modulepath
WC0003VXR,srv2.sys,C:\Windows\System32\drivers\
WC0003VXR,iaLPSS2i_I2C.sys,C:\Windows\System32\drivers\
WC0003VXR,irda.sys,C:\Windows\System32\drivers\
WC0003VXR,ndiswan.sys,C:\Windows\System32\drivers\
WC0003VXR,volume.sys,C:\Windows\System32\drivers\
WC0003VXR,filecrypt.sys,C:\Windows\System32\drivers\
WC0003VXR,TsUsbFlt.sys,C:\Windows\System32\drivers\
WC0003VXR,WindowsTrustedRTProxy.sys,C:\Windows\System32\drivers\
WC0003VXR,drmkaud.sys,C:\Windows\System32\drivers\
WC0003VXR,ahcache.sys,C:\Windows\System32\drivers\
WC0003VXR,VmsProxyHNic.sys,C:\Windows\System32\drivers\
WC0003VXR,ipfltdrv.sys,C:\Windows\System32\drivers\
WC0003VXR,Ucx01000.sys,C:\Windows\System32\drivers\
WC0003VXR,hidbth.sys,C:\Windows\System32\drivers\
WC0003VXR,ksthunk.sys,C:\Windows\System32\drivers\
WC0003VXR,rhproxy.sys,C:\Windows\System32\drivers\
WC0003VXR,amdppm.sys,C:\Windows\System32\drivers\
WC0003VXR,ksecpkg.sys,C:\Windows\System32\drivers\
WC0003VXR,mspqm.sys,C:\Windows\System32\drivers\
WC0003VXR,ibbus.sys,C:\Windows\System32\drivers\
WC0003VXR,tcpip.sys,C:\Windows\System32\drivers\
WC0003VXR,processr.sys,C:\Windows\System32\drivers\
WC0003VXR,lxss.sys,C:\Windows\System32\drivers\
WC0003VXR,ipnat.sys,C:\Windows\System32\drivers\
WC0003VXR,capimg.sys,C:\Windows\System32\drivers\
WC0003VXR,pmem.sys,C:\Windows\System32\drivers\
WC0003VXR,acpitime.sys,C:\Windows\System32\drivers\
WC0003VXR,RtsUer.sys,C:\Windows\System32\drivers\
WC0003VXR,vwifibus.sys,C:\Windows\System32\drivers\
WC0003VXR,ksecdd.sys,C:\Windows\System32\drivers\
WC0003VXR,wcnfs.sys,C:\Windows\System32\drivers\
WC0003VXR,ufx01000.sys,C:\Windows\System32\drivers\
WC0003VXR,megasas.sys,C:\Windows\System32\drivers\
WC0003VXR,asyncmac.sys,C:\Windows\System32\drivers\
WC0003VXR,iai2c.sys,C:\Windows\System32\drivers\
WC0003VXR,mausbip.sys,C:\Windows\System32\drivers\
WC0003VXR,Udecx.sys,C:\Windows\System32\drivers\
WC0003VXR,usbcir.sys,C:\Windows\System32\drivers\
WC0003VXR,BasicDisplay.sys,C:\Windows\System32\drivers\
WC0003VXR,bthhfenum.sys,C:\Windows\System32\drivers\
WC0003VXR,hvcrash.sys,C:\Windows\System32\drivers\
WC0003VXR,mvumis.sys,C:\Windows\System32\drivers\
WC0003VXR,UfxChipidea.sys,C:\Windows\System32\drivers\
WC0003VXR,SgrmAgent.sys,C:\Windows\System32\drivers\
