hostname,modulename,modulepath
WL0002JFY,MegaSas2i.sys,C:\Windows\System32\drivers\
WL0002JFY,nwifi.sys,C:\Windows\System32\drivers\
WL0002JFY,netvsc.sys,C:\Windows\System32\drivers\
WL0002JFY,iai2c.sys,C:\Windows\System32\drivers\
WL0002JFY,mskssrv.sys,C:\Windows\System32\drivers\
WL0002JFY,usbccgp.sys,C:\Windows\System32\drivers\
WL0002JFY,umbus.sys,C:\Windows\System32\drivers\
WL0002JFY,ETDSMBus.sys,C:\Windows\System32\drivers\
WL0002JFY,WdiWiFi.sys,C:\Windows\System32\drivers\
WL0002JFY,arcsas.sys,C:\Windows\System32\drivers\
WL0002JFY,ETD.sys,C:\Windows\System32\drivers\
WL0002JFY,serenum.sys,C:\Windows\System32\drivers\
WL0002JFY,spaceport.sys,C:\Windows\System32\drivers\
WL0002JFY,vwififlt.sys,C:\Windows\System32\drivers\
WL0002JFY,circlass.sys,C:\Windows\System32\drivers\
WL0002JFY,irenum.sys,C:\Windows\System32\drivers\
WL0002JFY,pdc.sys,C:\Windows\System32\drivers\
WL0002JFY,WdFilter.sys,C:\Windows\System32\drivers\wd\
WL0002JFY,SDFRd.sys,C:\Windows\System32\drivers\
WL0002JFY,esif_lf.sys,C:\Windows\System32\drivers\
WL0002JFY,BasicDisplay.sys,C:\Windows\System32\drivers\
WL0002JFY,ndistapi.sys,C:\Windows\System32\drivers\
WL0002JFY,mspqm.sys,C:\Windows\System32\drivers\
WL0002JFY,parport.sys,C:\Windows\System32\drivers\
WL0002JFY,vmstorfl.sys,C:\Windows\System32\drivers\
WL0002JFY,vmswitch.sys,C:\Windows\System32\drivers\
WL0002JFY,AcpiVpc.sys,C:\Windows\System32\drivers\
WL0002JFY,WdmCompanionFilter.sys,C:\Windows\System32\drivers\
WL0002JFY,intelide.sys,C:\Windows\System32\drivers\
WL0002JFY,urssynopsys.sys,C:\Windows\System32\drivers\
WL0002JFY,cng.sys,C:\Windows\System32\drivers\
WL0002JFY,scmbus.sys,C:\Windows\System32\drivers\
WL0002JFY,mssmbios.sys,C:\Windows\System32\drivers\
WL0002JFY,lsi_sas2i.sys,C:\Windows\System32\drivers\
WL0002JFY,fltMgr.sys,C:\Windows\System32\drivers\
WL0002JFY,Netwtw04.sys,C:\Windows\System32\drivers\
WL0002JFY,svchost.exe,C:\Windows\System32\
WL0002JFY,fvevol.sys,C:\Windows\System32\drivers\
WL0002JFY,iaLPSS2i_I2C_BXT_P.sys,C:\Windows\System32\drivers\
WL0002JFY,UcmTcpciCx.sys,C:\Windows\System32\drivers\
WL0002JFY,TsUsbGD.sys,C:\Windows\System32\drivers\
WL0002JFY,msisadrv.sys,C:\Windows\System32\drivers\
WL0002JFY,hvservice.sys,C:\Windows\System32\drivers\
WL0002JFY,wanarp.sys,C:\Windows\System32\drivers\
WL0002JFY,pmem.sys,C:\Windows\System32\drivers\
WL0002JFY,VMBusHID.sys,C:\Windows\System32\drivers\
WL0002JFY,rassstp.sys,C:\Windows\System32\drivers\
WL0002JFY,vsmraid.sys,C:\Windows\System32\drivers\
WL0002JFY,dxgkrnl.sys,C:\Windows\System32\drivers\
WL0002JFY,hidusb.sys,C:\Windows\System32\drivers\
WL0002JFY,amdk8.sys,C:\Windows\System32\drivers\
WL0002JFY,mspclock.sys,C:\Windows\System32\drivers\
WL0002JFY,stornvme.sys,C:\Windows\System32\drivers\
WL0002JFY,acpipmi.sys,C:\Windows\System32\drivers\
WL0002JFY,vhdmp.sys,C:\Windows\System32\drivers\
WL0002JFY,bindflt.sys,C:\Windows\System32\drivers\
WL0002JFY,IPMIDrv.sys,C:\Windows\System32\drivers\
WL0002JFY,percsas3i.sys,C:\Windows\System32\drivers\
WL0002JFY,nvstor.sys,C:\Windows\System32\drivers\
WL0002JFY,vhf.sys,C:\Windows\System32\drivers\
WL0002JFY,swenum.sys,C:\Windows\System32\DriverStore\FileRepository\swenum.inf_amd64_ea7b19c04e7a8136\
WL0002JFY,cht4sx64.sys,C:\Windows\System32\drivers\
WL0002JFY,bttflt.sys,C:\Windows\System32\drivers\
WL0002JFY,mshidkmdf.sys,C:\Windows\System32\drivers\
WL0002JFY,Udecx.sys,C:\Windows\System32\drivers\
WL0002JFY,NdisVirtualBus.sys,C:\Windows\System32\drivers\
WL0002JFY,agilevpn.sys,C:\Windows\System32\drivers\
WL0002JFY,CompositeBus.sys,C:\Windows\System32\DriverStore\FileRepository\compositebus.inf_amd64_bcb89b3386563bd7\
WL0002JFY,gpuenergydrv.sys,C:\Windows\System32\drivers\
WL0002JFY,sdstor.sys,C:\Windows\System32\drivers\
WL0002JFY,USBHUB3.SYS,C:\Windows\System32\drivers\
WL0002JFY,applockerfltr.sys,C:\Windows\System32\drivers\
WL0002JFY,HpSAMD.sys,C:\Windows\System32\drivers\
WL0002JFY,sermouse.sys,C:\Windows\System32\drivers\
WL0002JFY,volsnap.sys,C:\Windows\System32\drivers\
WL0002JFY,ksecpkg.sys,C:\Windows\System32\drivers\
WL0002JFY,SpatialGraphFilter.sys,C:\Windows\System32\drivers\
WL0002JFY,usbuhci.sys,C:\Windows\System32\drivers\
WL0002JFY,tpm.sys,C:\Windows\System32\drivers\
WL0002JFY,mvumis.sys,C:\Windows\System32\drivers\
WL0002JFY,MTConfig.sys,C:\Windows\System32\drivers\
WL0002JFY,iaLPSSi_GPIO.sys,C:\Windows\System32\drivers\
WL0002JFY,appid.sys,C:\Windows\System32\drivers\
WL0002JFY,dmvsc.sys,C:\Windows\System32\drivers\
WL0002JFY,vmgid.sys,C:\Windows\System32\drivers\
WL0002JFY,hidbatt.sys,C:\Windows\System32\drivers\
WL0002JFY,cldflt.sys,C:\Windows\System32\drivers\
WL0002JFY,ufxsynopsys.sys,C:\Windows\System32\drivers\
WL0002JFY,errdev.sys,C:\Windows\System32\drivers\
WL0002JFY,iaLPSSi_I2C.sys,C:\Windows\System32\drivers\
WL0002JFY,CHDRT64.sys,C:\Windows\System32\drivers\
WL0002JFY,SerCx2.sys,C:\Windows\System32\drivers\
WL0002JFY,sisraid2.sys,C:\Windows\System32\drivers\
WL0002JFY,ibtusb.sys,C:\Windows\System32\drivers\
WL0002JFY,capimg.sys,C:\Windows\System32\drivers\
WL0002JFY,volmgr.sys,C:\Windows\System32\drivers\
WL0002JFY,urscx01000.sys,C:\Windows\System32\drivers\
WL0002JFY,mmcss.sys,C:\Windows\System32\drivers\
WL0002JFY,mshwnclx.sys,C:\Windows\System32\drivers\
WL0002JFY,ipt.sys,C:\Windows\System32\drivers\
WL0002JFY,stexstor.sys,C:\Windows\System32\drivers\
WL0002JFY,vwifimp.sys,C:\Windows\System32\drivers\
WL0002JFY,mausbhost.sys,C:\Windows\System32\drivers\
WL0002JFY,rdpdr.sys,C:\Windows\System32\drivers\
WL0002JFY,AcpiDev.sys,C:\Windows\System32\drivers\
WL0002JFY,mrxsmb.sys,C:\Windows\System32\drivers\
WL0002JFY,umpass.sys,C:\Windows\System32\drivers\
WL0002JFY,ramdisk.sys,C:\Windows\System32\drivers\
WL0002JFY,ibbus.sys,C:\Windows\System32\drivers\
WL0002JFY,UfxChipidea.sys,C:\Windows\System32\drivers\
WL0002JFY,bridge.sys,C:\Windows\System32\drivers\
WL0002JFY,raspppoe.sys,C:\Windows\System32\drivers\
WL0002JFY,sbp2port.sys,C:\Windows\System32\drivers\
WL0002JFY,ahcache.sys,C:\Windows\System32\drivers\
WL0002JFY,wmiacpi.sys,C:\Windows\System32\drivers\
WL0002JFY,HdAudio.sys,C:\Windows\System32\drivers\
WL0002JFY,kbdclass.sys,C:\Windows\System32\drivers\
WL0002JFY,vwifibus.sys,C:\Windows\System32\drivers\
WL0002JFY,rdyboost.sys,C:\Windows\System32\drivers\
WL0002JFY,vpci.sys,C:\Windows\System32\drivers\
WL0002JFY,SPUVCbv64.sys,C:\Windows\System32\drivers\
WL0002JFY,mshidumdf.sys,C:\Windows\System32\drivers\
WL0002JFY,intelppm.sys,C:\Windows\System32\drivers\
WL0002JFY,mausbip.sys,C:\Windows\System32\drivers\
WL0002JFY,NetAdapterCx.sys,C:\Windows\System32\drivers\
WL0002JFY,IndirectKmd.sys,C:\Windows\System32\drivers\
WL0002JFY,rasacd.sys,C:\Windows\System32\drivers\
WL0002JFY,nsiproxy.sys,C:\Windows\System32\drivers\
WL0002JFY,UcmUcsi.sys,C:\Windows\System32\drivers\
WL0002JFY,hidi2c.sys,C:\Windows\System32\drivers\
WL0002JFY,ndiswan.sys,C:\Windows\System32\drivers\
WL0002JFY,sfloppy.sys,C:\Windows\System32\drivers\
WL0002JFY,SerCx.sys,C:\Windows\System32\drivers\
WL0002JFY,usbehci.sys,C:\Windows\System32\drivers\
WL0002JFY,uefi.sys,C:\Windows\System32\drivers\
WL0002JFY,mrxdav.sys,C:\Windows\System32\drivers\
WL0002JFY,storahci.sys,C:\Windows\System32\drivers\
WL0002JFY,bthpan.sys,C:\Windows\System32\drivers\
WL0002JFY,tunnel.sys,C:\Windows\System32\drivers\
WL0002JFY,kbdhid.sys,C:\Windows\System32\drivers\
