hostname,fullpath,filepath,drive,filename,fileextension,username
SL0006FEZ,c:\Windows\System32\rdpencom.dll,Windows\System32,c,rdpencom.dll,dll,NT SERVICE\TrustedInstaller
SL0006FEZ,c:\Windows\System32\rdpendp.dll,Windows\System32,c,rdpendp.dll,dll,NT SERVICE\TrustedInstaller
SL0006FEZ,c:\Windows\System32\onedrivesettingsyncprovider.dll,Windows\System32,c,onedrivesettingsyncprovider.dll,dll,NT SERVICE\TrustedInstaller
SL0006FEZ,c:\Windows\System32\msrdpwebaccess.dll,Windows\System32,c,msrdpwebaccess.dll,dll,NT SERVICE\TrustedInstaller
SL0006FEZ,c:\Windows\System32\umrdp.dll,Windows\System32,c,umrdp.dll,dll,NT SERVICE\TrustedInstaller
SL0006FEZ,c:\program files (x86)\openoffice 4\program\shlxthdl\shlxthdl.dll,program files (x86)\openoffice 4\program\shlxthdl,c,shlxthdl.dll,dll,NT AUTHORITY\SYSTEM
SL0006FEZ,c:\program files (x86)\panda security\panda security protection\PSUAMain.exe,program files (x86)\panda security\panda security protection,c,PSUAMain.exe,exe,NT AUTHORITY\SYSTEM
SL0006FEZ,c:\Windows\System32\drivers\rdpdr.sys,Windows\System32\drivers,c,rdpdr.sys,sys,NT SERVICE\TrustedInstaller
SL0006FEZ,c:\program files (x86)\mozilla thunderbird\mapiproxy_inuse.dll,program files (x86)\mozilla thunderbird,c,mapiproxy_inuse.dll,dll,BUILTIN\Administrators
SL0006FEZ,c:\program files (x86)\openoffice 4\program\shlxthdl\propertyhdl.dll,program files (x86)\openoffice 4\program\shlxthdl,c,propertyhdl.dll,dll,NT AUTHORITY\SYSTEM
SL0006FEZ,c:\Windows\SysWOW64\onedrivesetup.exe,Windows\SysWOW64,c,onedrivesetup.exe,exe,NT SERVICE\TrustedInstaller
SL0006FEZ,c:\Windows\System32\rdpcorets.dll,Windows\System32,c,rdpcorets.dll,dll,NT SERVICE\TrustedInstaller
SL0006FEZ,c:\program files (x86)\openoffice 4\program\shlxthdl\ooofilt.dll,program files (x86)\openoffice 4\program\shlxthdl,c,ooofilt.dll,dll,NT AUTHORITY\SYSTEM
SL0006FEZ,c:\program files (x86)\mozilla thunderbird\accessiblemarshal.dll,program files (x86)\mozilla thunderbird,c,accessiblemarshal.dll,dll,BUILTIN\Administrators
SL0006FEZ,c:\program files (x86)\openoffice 4\program\shlxthdl\ooofilt_x64.dll,program files (x86)\openoffice 4\program\shlxthdl,c,ooofilt_x64.dll,dll,NT AUTHORITY\SYSTEM
SL0006FEZ,c:\program files (x86)\openoffice 4\program\shlxthdl\shlxthdl_x64.dll,program files (x86)\openoffice 4\program\shlxthdl,c,shlxthdl_x64.dll,dll,NT AUTHORITY\SYSTEM
SL0006FEZ,c:\program files (x86)\openoffice 4\program\shlxthdl\propertyhdl_x64.dll,program files (x86)\openoffice 4\program\shlxthdl,c,propertyhdl_x64.dll,dll,NT AUTHORITY\SYSTEM
SL0006FEZ,c:\Windows\System32\RdpSaPs.dll,Windows\System32,c,RdpSaPs.dll,dll,NT SERVICE\TrustedInstaller
SL0006FEZ,c:\Windows\System32\drivers\rdpvideominiport.sys,Windows\System32\drivers,c,rdpvideominiport.sys,sys,NT SERVICE\TrustedInstaller
SL0006FEZ,c:\program files (x86)\panda security\panda security protection\PSANHost.exe,program files (x86)\panda security\panda security protection,c,PSANHost.exe,exe,NT AUTHORITY\SYSTEM
SL0006FEZ,c:\program files (x86)\panda security\panda security protection\psuaservice.exe,program files (x86)\panda security\panda security protection,c,psuaservice.exe,exe,NT AUTHORITY\SYSTEM
SL0006FEZ,c:\program files (x86)\panda security\panda devices agent\AgentSvc.exe,program files (x86)\panda security\panda devices agent,c,AgentSvc.exe,exe,NT AUTHORITY\SYSTEM
SL0006FEZ,c:\program files (x86)\panda security\panda security protection\hydra.sdk.windows.service.exe,program files (x86)\panda security\panda security protection,c,hydra.sdk.windows.service.exe,exe,NT AUTHORITY\SYSTEM
SL0006FEZ,c:\program files (x86)\panda security\panda security protection\psuashell.dll,program files (x86)\panda security\panda security protection,c,psuashell.dll,dll,NT AUTHORITY\SYSTEM
SL0006FEZ,C:\Windows\system32\rdpclip.EXE,Windows\system32,C,rdpclip.EXE,EXE,NT SERVICE\TrustedInstaller
SL0006FEZ,c:\Windows\System32\drivers\rdpbus.sys,Windows\System32\drivers,c,rdpbus.sys,sys,NT SERVICE\TrustedInstaller
SL0006FEZ,c:\Users\$user\AppData\Local\microsoft\OneDrive\OneDrive.exe,Users\$user\AppData\Local\microsoft\OneDrive,c,OneDrive.exe,exe,$domain\$user
