hostname,keypath,type,valuename,username,path,text
WW0000FVL,Classes\CLSID\{745a5add-6a71-47b9-9bb9-31dd3a6913d4}\InProcServer32,REG_EXPAND_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{745a5add-6a71-47b9-9bb9-31dd3a6913d4}\InProcServer32\,%SystemRoot%\system32\authui.dll
WW0000FVL,Classes\CLSID\{1C97EF1D-74ED-3D21-84A4-8631D959634A}\InProcServer32,REG_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{1C97EF1D-74ED-3D21-84A4-8631D959634A}\InProcServer32\,C:\Windows\System32\mscoree.dll
WW0000FVL,Classes\CLSID\{4F23C296-F56E-45AF-904D-D245BF750759}\InProcServer32,REG_EXPAND_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{4F23C296-F56E-45AF-904D-D245BF750759}\InProcServer32\,%SystemRoot%\System32\explorerframe.dll
WW0000FVL,Classes\CLSID\{18619969-3835-41E5-B457-44FE0DB77653}\InProcServer32,REG_EXPAND_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{18619969-3835-41E5-B457-44FE0DB77653}\InProcServer32\,%SystemRoot%\System32\AppxStreamingDataSourcePS.dll
WW0000FVL,Classes\CLSID\{00020422-0000-0000-C000-000000000046}\InProcServer32,REG_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{00020422-0000-0000-C000-000000000046}\InProcServer32\,C:\Windows\System32\oleaut32.dll
WW0000FVL,Classes\CLSID\{74b077e8-32de-40ab-be4e-65609f575459}\InProcServer32,REG_EXPAND_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{74b077e8-32de-40ab-be4e-65609f575459}\InProcServer32\,%SystemRoot%\System32\wdc.dll
WW0000FVL,Classes\CLSID\{3D112E22-62B2-11D1-9FEF-00600832DB4A}\InProcServer32,REG_EXPAND_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{3D112E22-62B2-11D1-9FEF-00600832DB4A}\InProcServer32\,%SystemRoot%\system32\cic.dll
WW0000FVL,Classes\CLSID\{DD468E14-AF42-4D63-8908-EDAC4A9E67AE}\InProcServer32,REG_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{DD468E14-AF42-4D63-8908-EDAC4A9E67AE}\InProcServer32\,C:\Windows\System32\wlangpui.dll
WW0000FVL,Classes\CLSID\{01D0A625-782D-4777-8D4E-547E6457FAD5}\InProcServer32,REG_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{01D0A625-782D-4777-8D4E-547E6457FAD5}\InProcServer32\,C:\Windows\System32\wercplsupport.dll
WW0000FVL,Classes\CLSID\{a5a3563a-5755-4a6f-854e-afa3230b199f}\InProcServer32,REG_EXPAND_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{a5a3563a-5755-4a6f-854e-afa3230b199f}\InProcServer32\,%SystemRoot%\system32\shell32.dll
