hostname,name,pid,descriptivename,description,path,pathmd5sum,arguments,pathcertificatesubject,pathsignatureverified,pathsignaturedescription,pathcertificateissuer
WB0005ISU,vpci,0,Microsoft Hyper-V Virtual PCI Bus,,C:\Windows\System32\drivers\vpci.sys,8e53d0c7aafbaec6786cf6a7b760252a,\SystemRoot\System32\drivers\vpci.sys,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Production PCA 2011
WB0005ISU,RasAgileVpn,0,WAN Miniport (IKEv2),WAN Miniport (IKEv2),C:\Windows\System32\drivers\agilevpn.sys,97b2c54f49816303781e859069ddc547,\SystemRoot\System32\drivers\AgileVpn.sys,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Production PCA 2011
WB0005ISU,RetailDemo,0,Retail Demo Service,The Retail Demo service controls device activity while the device is in retail demo mode.,C:\Windows\System32\svchost.exe,27c66ea69e7bc0ac570d92087b2e2f5d,C:\Windows\System32\svchost.exe -k rdxgroup,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Production PCA 2011
WB0005ISU,s3cap,0,s3cap,,C:\Windows\System32\drivers\vms3cap.sys,91b4c9dfa256b3ba0ddf9f146eafcf87,\SystemRoot\System32\drivers\vms3cap.sys,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Production PCA 2011
WB0005ISU,RasSstp,0,WAN Miniport (SSTP),WAN Miniport (SSTP),C:\Windows\System32\drivers\rassstp.sys,2cfedeff7c23a49a44f501c6f5948793,\SystemRoot\System32\drivers\rassstp.sys,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Production PCA 2011
WB0005ISU,WindowsTrustedRT,0,Windows Trusted Execution Environment Class Extension,,C:\Windows\System32\drivers\WindowsTrustedRT.sys,c6b1264abe3d01e86257afebf8a2023f,\SystemRoot\system32\drivers\WindowsTrustedRT.sys,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Production PCA 2011
WB0005ISU,tcpipreg,0,TCP/IP Registry Compatibility,Provides compatibility for legacy applications which interact with TCP/IP through the registry. If this service is stopped  certain applications may have impaired functionality.,C:\Windows\System32\drivers\tcpipreg.sys,950096eac84c9463cde9aef9be9268a5,System32\drivers\tcpipreg.sys,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Production PCA 2011
WB0005ISU,HdAudAddService,0,Microsoft 1.1 UAA Function Driver for High Definition Audio Service,,C:\Windows\System32\drivers\HdAudio.sys,e76bb599a43f59427e20eae20d18cd43,\SystemRoot\System32\drivers\HdAudio.sys,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Production PCA 2011
WB0005ISU,WUDFWpdFs,0,WUDFWpdFs,,C:\Windows\System32\drivers\WUDFRd.sys,35b6cdcc311652ab54e31620039efa57,\SystemRoot\system32\DRIVERS\WUDFRd.sys,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Production PCA 2011
WB0005ISU,wscsvc,1324,Security Center,The WSCSVC (Windows Security Center) service monitors and reports security health settings on the computer.  The health settings include firewall (on/off)  antivirus (on/off/out of date)  antispyware (on/off/out of date)  Windows Update (automatically/manually download and install updates)  User Account Control (on/off)  and Internet settings (recommended/not recommended). The service provides COM APIs for independent software vendors to register and record the state of their products to the Security Center service.  The Security and Maintenance UI uses the service to provide systray alerts and a graphical view of the security health states in the Security and Maintenance control panel.  Network Access Protection (NAP) uses the service to report the security health states of clients to the NAP Network Policy Server to make network quarantine decisions.  The service also has a public API that allows external consumers to programmatically retrieve the aggregated security health state of the system.,C:\Windows\System32\svchost.exe,27c66ea69e7bc0ac570d92087b2e2f5d,C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Production PCA 2011
