hostname,name,pid,descriptivename,description,path,pathmd5sum,arguments,pathcertificatesubject,pathsignatureverified,pathsignaturedescription,pathcertificateissuer
WN0001CYN,ProtectedStorage,0,Protected Storage,Provides protected storage for sensitive data  such as passwords  to prevent access by unauthorized services  processes  or users.,C:\Windows\System32\lsass.exe,7e258b8d82a7d7235aa14dde418ea198,C:\Windows\system32\lsass.exe,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Verification PCA
WN0001CYN,FontCache,828,Windows Font Cache Service,Optimizes performance of applications by caching commonly used font data. Applications will start this service if it is not already running. It can be disabled  though doing so will degrade application performance.,C:\Windows\System32\svchost.exe,ac9a2c2236f32ee618adc841e9a3b673,C:\Windows\system32\svchost.exe -k LocalService,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Verification PCA
WN0001CYN,TermDD,0,Terminal Device Driver,,C:\Windows\System32\drivers\termdd.sys,e01187435335490f7c4d505f93bf2a1a,\SystemRoot\system32\drivers\termdd.sys,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Verification PCA
WN0001CYN,msdsm,0,msdsm,,C:\Windows\System32\drivers\msdsm.sys,b9f86124e50f84d5d8c8a3c52ca25fc1,\SystemRoot\system32\drivers\msdsm.sys,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Verification PCA
WN0001CYN,NdisCap,0,NDIS Capture LightWeight Filter,NDIS Capture LightWeight Filter,C:\Windows\System32\drivers\ndiscap.sys,1f55edda32f9ab44a0e8b5e720d46140,system32\DRIVERS\ndiscap.sys,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Verification PCA
WN0001CYN,RasPppoe,0,Remote Access PPPOE Driver,Remote Access PPPOE Driver,C:\Windows\System32\drivers\raspppoe.sys,a965e3ce287a7bfdf98252a86270d0c9,system32\DRIVERS\raspppoe.sys,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Verification PCA
WN0001CYN,rspndr,0,Link-Layer Topology Discovery Responder,,C:\Windows\System32\drivers\rspndr.sys,21ac7393771c93f673fa619399311844,system32\DRIVERS\rspndr.sys,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Verification PCA
WN0001CYN,sffdisk,0,SFF Storage Class Driver,,C:\Windows\System32\drivers\sffdisk.sys,7aa18ccf149af5b35a9a8a7f34446367,\SystemRoot\system32\drivers\sffdisk.sys,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Verification PCA
WN0001CYN,clr_optimization_v4.0.30319_32,0,Microsoft .NET Framework NGEN v4.0.30319_X86,Microsoft .NET Framework NGEN,C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe,b27f709ae1344cf59ea8f7bc324c7f05,C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe,Microsoft Dynamic Code Publisher,true,The file is signed and the signature was verified.,Microsoft Code Signing PCA
WN0001CYN,WPDBusEnum,0,Portable Device Enumerator Service,Enforces group policy for removable mass-storage devices. Enables applications such as Windows Media Player and Image Import Wizard to transfer and synchronize content using removable mass-storage devices.,C:\Windows\System32\svchost.exe,ac9a2c2236f32ee618adc841e9a3b673,C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Verification PCA
WN0001CYN,wmiApSrv,0,WMI Performance Adapter,Provides performance library information from Windows Management Instrumentation (WMI) providers to clients on the network. This service only runs when Performance Data Helper is activated.,C:\Windows\System32\wbem\WmiApSrv.exe,94e9193b21381d0102c42104d37f1262,C:\Windows\system32\wbem\WmiApSrv.exe,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Verification PCA
WN0001CYN,discache,0,System Attribute Cache,Attribute Cache Indexer,C:\Windows\System32\drivers\discache.sys,be6a6de184ce1bef0e56df2ffb99760a,System32\drivers\discache.sys,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Verification PCA
WN0001CYN,Parport,0,Parallel port driver,,C:\Windows\System32\drivers\parport.sys,87b1c7b568902ba7e9e114a2d845e6da,\SystemRoot\system32\drivers\parport.sys,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Verification PCA
WN0001CYN,WinRM,852,Windows Remote Management (WS-Management),Windows Remote Management (WinRM) service implements the WS-Management protocol for remote management. WS-Management is a standard web services protocol used for remote software and hardware management. The WinRM service listens on the network for WS-Management requests and processes them. The WinRM Service needs to be configured with a listener using winrm.cmd command line tool or through Group Policy in order for it to listen over the network. The WinRM service provides access to WMI data and enables event collection. Event collection and subscription to events require that the service is running. WinRM messages use HTTP and HTTPS as transports. The WinRM service does not depend on IIS but is preconfigured to share a port with IIS on the same machine.  The WinRM service reserves the /wsman URL prefix. To prevent conflicts with IIS  administrators should ensure that any websites hosted on IIS do not use the /wsman URL prefix.,C:\Windows\System32\svchost.exe,ac9a2c2236f32ee618adc841e9a3b673,C:\Windows\System32\svchost.exe -k NetworkService,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Verification PCA
WN0001CYN,Dhcp,932,DHCP Client,Registers and updates IP addresses and DNS records for this computer. If this service is stopped  this computer will not receive dynamic IP addresses and DNS updates. If this service is disabled  any services that explicitly depend on it will fail to start.,C:\Windows\System32\svchost.exe,ac9a2c2236f32ee618adc841e9a3b673,C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Verification PCA
WN0001CYN,sppsvc,0,Software Protection,Enables the download  installation and enforcement of digital licenses for Windows and Windows applications. If the service is disabled  the operating system and licensed applications may run in a notification mode. It is strongly recommended that you not disable the Software Protection service.,C:\Windows\System32\sppsvc.exe,e7917876120393ede8c10377e89621ee,C:\Windows\system32\sppsvc.exe,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Verification PCA
WN0001CYN,CLFS,0,Common Log (CLFS),General-purpose logging service,C:\Windows\System32\clfs.sys,f94a64a6ddcf7fb6dfe11090542041ae,\SystemRoot\System32\CLFS.sys,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Verification PCA
WN0001CYN,ohci1394,0,1394 OHCI Compliant Host Controller (Legacy),,C:\Windows\System32\drivers\ohci1394.sys,956ed56f9433a2514e836425e9a52970,\SystemRoot\system32\drivers\ohci1394.sys,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Verification PCA
WN0001CYN,NetPipeActivator,0,Net.Pipe Listener Adapter,Receives activation requests over the net.pipe protocol and passes them to the Windows Process Activation Service.,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\SMSvcHost.exe,2621a1b039936feac9c268e834dcd168,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\SMSvcHost.exe,Microsoft Corporation,true,The file is signed and the signature was verified.,Microsoft Code Signing PCA
