hostname,pid,name,md5sum,signatureexists,signatureverified,description,certificatesubject,certificateissuer
NN0006WMC,620,C:\Windows\System32\ncrypt.dll,c541efb7503e5aed1a9a00afb67859e3,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN0006WMC,1472,C:\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac\comctl32.dll,4b2e60c677d649b63fa2de05d97278b6,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN0006WMC,2760,C:\Windows\System32\IPHLPAPI.DLL,89903f6fc1ec22024a079ba404924dc4,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN0006WMC,1144,C:\Windows\System32\pnrpnsp.dll,041fbf767a598f3e9ea3b4ee3f789aa7,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN0006WMC,2268,C:\Windows\System32\gdi32.dll,178681afc60e2c20916d89f232002edd,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN0006WMC,1312,C:\Windows\System32\wship6.dll,089e997d3bc4a83c809cd6c5e7c029f2,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN0006WMC,2548,C:\Windows\System32\authz.dll,c6d4c4f3a46bb03ac5199f90cad17bcd,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN0006WMC,5176,C:\Windows\System32\RpcRtRemote.dll,ab1470b066d8a3eb41336daada1aabee,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN0006WMC,5340,C:\Windows\System32\usp10.dll,766905b33bbe153495a2ef03c20bcfe6,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN0006WMC,2368,C:\Windows\System32\profapi.dll,ccc6b9d5a9fa3c4fce651629b755b023,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN0006WMC,3432,C:\Windows\System32\ssdpapi.dll,fe4d749da5fdd71819810bc49587c33c,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN0006WMC,1312,C:\Windows\System32\bcrypt.dll,194996dc9da64d2f66ea7715e4bcc856,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN0006WMC,520,C:\Windows\System32\credssp.dll,a568e12d063c027e3969350d0eae657c,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN0006WMC,880,C:\Windows\System32\advapi32.dll,c9ab540cfaa87bc974d32469c3d79867,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN0006WMC,624,C:\Windows\System32\clbcatq.dll,9bdb615054a7426057b5f1c1011565ab,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN0006WMC,836,C:\Windows\Fonts\StaticCache.dat,1d80b194a02e38c39b5b898995f8eaac,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN0006WMC,3220,C:\Windows\System32\crypt32.dll,bd19679a3b59725bf0ee2856b2368946,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN0006WMC,2584,C:\Windows\System32\schannel.dll,e30cfdf63c1e1088303526c6baa676f5,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN0006WMC,2584,C:\Windows\System32\cryptsp.dll,0e866ebaefcd4b7a6317bf6cd0b14082,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN0006WMC,3632,C:\Windows\System32\IPHLPAPI.DLL,89903f6fc1ec22024a079ba404924dc4,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN0006WMC,1056,C:\Windows\System32\secur32.dll,e4ed6021dcf4ea409195e632b7ca34a3,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN0006WMC,1288,C:\Windows\System32\slc.dll,3daa0478705a99b3d51313857d6eddfa,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN0006WMC,3968,C:\Windows\System32\msasn1.dll,36022a99b1d9b2c864c80f9bda79e2e6,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN0006WMC,732,C:\Windows\System32\cryptsp.dll,0e866ebaefcd4b7a6317bf6cd0b14082,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN0006WMC,424,C:\Windows\System32\ws2_32.dll,cd9210560e4be5aab0ea3976120d24aa,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN0006WMC,2188,C:\Windows\System32\apisetschema.dll,1e2f54cb7dd04f340ac82f3f85676bca,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN0006WMC,2368,C:\Windows\System32\gdi32.dll,178681afc60e2c20916d89f232002edd,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN0006WMC,1472,C:\Windows\System32\oleaut32.dll,3d44e67069e65d6ca9cd50dcd738b1ac,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN0006WMC,804,C:\Windows\System32\sspicli.dll,a83ef5789864fb492d0ae22ed18b7327,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN0006WMC,2516,C:\Windows\System32\devobj.dll,c216352a2350f35c8402652af81c9bed,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN0006WMC,1044,C:\Windows\System32\en-US\p2psvc.dll.mui,1bfbd4262d0e1064d0ca805d54c84603,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN0006WMC,2496,C:\Windows\System32\advapi32.dll,c9ab540cfaa87bc974d32469c3d79867,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN0006WMC,880,C:\Windows\System32\ntmarta.dll,16d2f142141cbcd6f13c76925193fef4,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN0006WMC,2584,C:\Windows\System32\drt.dll,95d2871367eed5988b719783068397d9,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN0006WMC,688,C:\Windows\System32\nsi.dll,d0854c3161ef99ac4a0eb85684289cec,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN0006WMC,1800,C:\Windows\System32\advapi32.dll,c9ab540cfaa87bc974d32469c3d79867,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN0006WMC,424,C:\Windows\System32\schannel.dll,e30cfdf63c1e1088303526c6baa676f5,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN0006WMC,1732,C:\Windows\System32\shell32.dll,95140abf6450f0c2a1b4ea57e3322963,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN0006WMC,2584,C:\Windows\System32\esent.dll,4964802259598b2f32415c1ab18a2c27,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN0006WMC,3416,C:\Windows\System32\en-US\p2psvc.dll.mui,1bfbd4262d0e1064d0ca805d54c84603,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN0006WMC,5656,C:\Windows\System32\esent.dll,4964802259598b2f32415c1ab18a2c27,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN0006WMC,3432,C:\Windows\System32\ole32.dll,c134ffd903e685247bea16f8e751d4c6,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN0006WMC,5720,C:\Windows\System32\pcwum.dll,efcf72cef8d686d16f0f8c5c48770dd9,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN0006WMC,4216,C:\Windows\System32\msxml6r.dll,dfe2cdf1fb708e88907d8dec5086bdf2,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN0006WMC,4216,C:\Windows\System32\netutils.dll,5dff93c38fe20f672aa897151f681ea7,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN0006WMC,732,C:\Windows\System32\pnrpsvc.dll,6fc60c079b0f3873789bce5c3ce4a757,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN0006WMC,2760,C:\Windows\System32\ntdll.dll,6fcda05c91b79090a51b8e73f57ae545,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN0006WMC,708,C:\Windows\System32\user32.dll,4e0b4977031671f03654fb4cf8d387a4,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN0006WMC,880,C:\Windows\System32\P2PGraph.dll,00f04ffe805f34f36ff13ab78bb5b466,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN0006WMC,3248,C:\Windows\System32\shlwapi.dll,51395c2a06ddbe4b90e37c8c11386a6c,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN0006WMC,2516,C:\Windows\System32\ELSCore.dll,68c7ba65a85047cf9801605b270084a5,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN0006WMC,2268,C:\Windows\Globalization\Sorting\SortDefault.nls,aaf7d16b3845dcf03f6e10cf38d2b1ae,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN0006WMC,1044,C:\Windows\System32\RpcRtRemote.dll,ab1470b066d8a3eb41336daada1aabee,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN0006WMC,3220,C:\Windows\System32\ole32.dll,c134ffd903e685247bea16f8e751d4c6,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN0006WMC,5656,C:\Windows\System32\nsi.dll,d0854c3161ef99ac4a0eb85684289cec,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN0006WMC,5340,C:\Windows\System32\p2psvc.dll,af8c2f607f0e0f204ab8aa53c4b744f4,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN0006WMC,5160,C:\Windows\System32\drttransport.dll,88811ca30df7b7696fda1dd4740da01e,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN0006WMC,5224,C:\Windows\System32\slc.dll,3daa0478705a99b3d51313857d6eddfa,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN0006WMC,256,C:\Windows\System32\ntmarta.dll,16d2f142141cbcd6f13c76925193fef4,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN0006WMC,256,C:\Windows\System32\oleaut32.dll,3d44e67069e65d6ca9cd50dcd738b1ac,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN0006WMC,3432,C:\Windows\System32\usp10.dll,766905b33bbe153495a2ef03c20bcfe6,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
