hostname,pid,name,md5sum,signatureexists,signatureverified,description,certificatesubject,certificateissuer
WE0002GOO,1088,C:\Windows\System32\gdi32.dll,0922e70397b235fc269bbd97df30e733,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WE0002GOO,3528,C:\Windows\System32\profapi.dll,b401e877bf02fd231da2b0217ff7433b,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WE0002GOO,4488,C:\Windows\System32\KernelBase.dll,70a7898e8edbb48857e8a8557c0a6e8a,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WE0002GOO,3236,C:\Windows\System32\slc.dll,bbc9d637b5397f7d16ae57570cace3d4,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WE0002GOO,2872,C:\Windows\System32\ws2_32.dll,3bba4d3ad250d72292811ddcd3182d85,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WE0002GOO,2376,C:\Windows\Globalization\Sorting\SortDefault.nls,2fb269f54055aa36ad20a042c78d90ff,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WE0002GOO,1788,C:\Windows\System32\locale.nls,94b5b14037f964e1e1dd155e72a7cc9a,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WE0002GOO,808,C:\Windows\System32\shell32.dll,d244172b805704d43d99d3e403666582,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WE0002GOO,1240,C:\Windows\System32\profapi.dll,b401e877bf02fd231da2b0217ff7433b,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WE0002GOO,324,C:\Windows\System32\urlmon.dll,71b79e1fddf340ba4b80d8db172ca783,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WE0002GOO,3252,C:\Windows\System32\msctf.dll,bf67833b690ab70abe1cab0bbcb42b34,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WE0002GOO,4424,C:\Windows\System32\credssp.dll,5ddd23c1300578c3616e45f36e6d2375,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WE0002GOO,1040,C:\Windows\System32\rsaenh.dll,d8af78e9e9f0e06046744727d1c36136,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WE0002GOO,828,C:\Windows\System32\rpcrt4.dll,a65df12c53e427899686fd40a1a24c6c,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WE0002GOO,5368,C:\Windows\System32\lpk.dll,36313a70ecb95db38b11f5c274487b4a,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WE0002GOO,3236,C:\Windows\System32\msasn1.dll,7cf2632f0a85c5c89c0efc0ea2727aea,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WE0002GOO,2324,C:\Windows\System32\lpk.dll,36313a70ecb95db38b11f5c274487b4a,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WE0002GOO,4992,C:\Windows\System32\psapi.dll,75cedc2907ba273c84672c8508563da4,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WE0002GOO,4992,C:\Windows\System32\shlwapi.dll,71b116a10ad80a279045e542932a6487,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WE0002GOO,4516,C:\Windows\System32\en-US\crypt32.dll.mui,9a43bd723da22b48ecbfd82b6cbcde86,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WE0002GOO,4992,C:\Windows\System32\locale.nls,94b5b14037f964e1e1dd155e72a7cc9a,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WE0002GOO,3412,C:\Windows\System32\oleaut32.dll,de7dfe13d59a75d11a8dbf1888b3c7e0,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WE0002GOO,1232,C:\Windows\System32\ntmarta.dll,cbdff4f32cda1a5c0703ffdc3e886fd5,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WE0002GOO,2396,C:\Windows\System32\sspicli.dll,2b065394967fcd6276d5aaa90ed981ca,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WE0002GOO,4452,C:\Windows\System32\shlwapi.dll,71b116a10ad80a279045e542932a6487,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WE0002GOO,2188,C:\Windows\System32\profapi.dll,b401e877bf02fd231da2b0217ff7433b,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WE0002GOO,5600,C:\Windows\System32\slc.dll,bbc9d637b5397f7d16ae57570cace3d4,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WE0002GOO,2384,C:\Windows\System32\en-US\svchost.exe.mui,3181b08f3b3227adb1a92ee16a849d68,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WE0002GOO,2396,C:\Windows\System32\credssp.dll,5ddd23c1300578c3616e45f36e6d2375,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WE0002GOO,3232,C:\Windows\System32\locale.nls,94b5b14037f964e1e1dd155e72a7cc9a,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WE0002GOO,1456,C:\Windows\System32\shlwapi.dll,71b116a10ad80a279045e542932a6487,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WE0002GOO,6300,C:\Windows\System32\cryptbase.dll,f88deb5346796a8c4f9b6a1337c8db34,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WE0002GOO,1288,C:\Windows\system32\ApplicationFrameHost.exe,e9ba48f3a634e3ba25a1123fceb9f557,false,false,,,
WE0002GOO,4516,C:\Windows\System32\psapi.dll,75cedc2907ba273c84672c8508563da4,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WE0002GOO,4076,C:\Windows\System32\dhcpcsvc.dll,216242674575e160736d2133a1497ab2,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WE0002GOO,6008,C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe,3e02c76dd5f9f6109b0b217983765064,false,false,,,
WE0002GOO,324,C:\Windows\System32\imageres.dll,82f6cbdf75a483ada37d9c851671fda1,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WE0002GOO,888,C:\Windows\System32\rpcrt4.dll,a65df12c53e427899686fd40a1a24c6c,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WE0002GOO,412,C:\Windows\System32\profapi.dll,b401e877bf02fd231da2b0217ff7433b,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WE0002GOO,5160,C:\Windows\System32\kernel32.dll,78b99640c2fb66017d301fe05f1c44bc,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WE0002GOO,6464,C:\Windows\System32\ws2_32.dll,3bba4d3ad250d72292811ddcd3182d85,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WE0002GOO,3856,C:\Windows\System32\apisetschema.dll,1c4c7035079be9331e4f249220c32d72,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WE0002GOO,240,C:\Windows\System32\drttransport.dll,9e2396c1864b1af826a569392bd82d87,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WE0002GOO,1040,C:\Windows\System32\rpcrt4.dll,a65df12c53e427899686fd40a1a24c6c,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WE0002GOO,2224,C:\Windows\System32\crypt32.dll,0fd9462b023905d52caacb84e55620cd,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WE0002GOO,4312,C:\Windows\System32\wship6.dll,f2162051bf0a3dfae7296bf89afadcb9,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WE0002GOO,5444,C:\Windows\System32\slc.dll,bbc9d637b5397f7d16ae57570cace3d4,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WE0002GOO,3856,C:\Windows\System32\sqmapi.dll,c9340d326eb1c6cea096defa0bfdfeeb,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WE0002GOO,3360,C:\Windows\System32\advapi32.dll,03d1c162bbbdf45806e670ebb91e82dc,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WE0002GOO,3412,C:\Windows\System32\en-US\p2psvc.dll.mui,5d5c6e6a657049b5ba7dc2cd01924911,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
