hostname,pid,name,md5sum,signatureexists,signatureverified,description,certificatesubject,certificateissuer
WL0002JFY,2096,C:\Windows\System32\ntdll.dll,dea109d72b5381e009cbfae7cf96266a,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0002JFY,408,C:\Program Files\Common Files\Microsoft Shared\ink\tiptsf.dll,2503d2e0e379dfb8448daff2b4acd2f8,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0002JFY,716,C:\Windows\System32\cryptbase.dll,4f8107b5853ba4b50265363fcd339d39,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0002JFY,3476,C:\Windows\System32\user32.dll,e4943beef7acbf2416cf8e008491dd6c,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0002JFY,2136,C:\Windows\System32\credssp.dll,b1c7da48831935e9a352bfd0ddf0b591,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0002JFY,5812,C:\Windows\System32\ncrypt.dll,c541efb7503e5aed1a9a00afb67859e3,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0002JFY,6440,C:\Windows\System32\oleaut32.dll,a8a6cdb71f074fa4906eaea0c8cdf4cd,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0002JFY,1580,C:\Windows\System32\apisetschema.dll,e7d695f4ba1f008575a5fb168f62b322,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0002JFY,2716,C:\Windows\System32\bcrypt.dll,1cb8ff991d94fa983305b2c2ce6bbfcf,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0002JFY,4088,C:\Windows\System32\sechost.dll,a27c840acb54ec4adee0f321446e9cb1,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0002JFY,860,C:\Windows\System32\ssdpapi.dll,36043ddb7aca0b07691ebd76e884587a,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0002JFY,4852,C:\Windows\System32\rasadhlp.dll,be80610bc953f373b2016a50091e325a,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0002JFY,1964,C:\Windows\System32\usp10.dll,607ed7c8611d49b06bd50a2ffb543c97,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0002JFY,1012,C:\Windows\System32\authz.dll,5828091f311bc14886228804a0f00522,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0002JFY,1220,C:\Windows\System32\userenv.dll,b6418573c1287bc1b99edb7e1d802971,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0002JFY,4296,C:\Windows\System32\schannel.dll,4ffd897c52d33d0469c419256af8597f,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0002JFY,2136,C:\Windows\System32\pcwum.dll,efcf72cef8d686d16f0f8c5c48770dd9,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0002JFY,1948,C:\Windows\System32\svchost.exe,ac9a2c2236f32ee618adc841e9a3b673,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0002JFY,1948,C:\Windows\System32\en-US\crypt32.dll.mui,5dbfeeb214ec4dbfe89a00a134aeba50,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0002JFY,408,C:\Windows\System32\imapi2.dll,5c5b6956480ad92c0d85cbb44c8437b0,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0002JFY,2036,C:\Windows\System32\gdi32.dll,612d3e7d5d3b6eb355a8c12276f57f70,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0002JFY,408,C:\Windows\System32\DXP.dll,5d906ebab5b485acad9e6c9e932ba576,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0002JFY,2720,C:\Windows\System32\shlwapi.dll,0f1f3fe24b64a48b112c5a5624ca9609,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0002JFY,2512,C:\Windows\System32\srvcli.dll,844f652b70480974f802b1428c4a1c67,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
